event_class	reads	mean	median	distinct values	% at 0.95	% at 0.30/0.33
no recombination	200912	0.9499462451222425	0.95	2	99.89249024448515	0.0
Y'	24147	0.3439367209177124	0.33	5	0.0	82.96268687621651
X+Y'	4511	0.788550365772556	0.8095	1798	0.8423852804256263	0.3990246065174019
X	3047	0.8215814899901542	0.9141	1281	18.14899901542501	0.0
X+Y' (complex)	1542	0.539141504539559	0.5204	863	0.0	0.0
spacer+Y'	259	0.1882096525096525	0.058	123	0.0	42.084942084942085
spacer+X+Y'	159	0.8383911949685535	0.9	38	0.628930817610063	0.628930817610063
spacer+X+Y' (complex)	159	0.5933540880503144	0.6409	70	0.0	1.257861635220126
spacer+X	88	0.9026556818181818	0.9	27	1.1363636363636365	0.0
spacer	51	0.7188725490196078	0.9	18	0.0	0.0
spacer+X (complex)	17	0.6166941176470588	0.6389	9	0.0	0.0
spacer+Y' (complex)	7	0.2697142857142857	0.0002	5	0.0	0.0
