sample	scheme	n_groups	n_elements	reads_scored	copies_scored	mismatch_copies	copy_mismatch_pct	mismatch_reads	read_mismatch_pct
6991_day0_TeloTag	95	9	27	7428	7790	4	0.051	4	0.054
6991_day0_TeloTag	96	10	27	7428	7790	4	0.051	4	0.054
6991_day0_TeloTag	97	11	27	7428	7790	5	0.064	5	0.067
6991_day0_TeloTag	98	11	27	7428	7790	5	0.064	5	0.067
6991_day0_TeloTag	99	13	27	7428	7790	6	0.077	6	0.081
6991_day0_TeloTag	99.5	15	27	7428	7790	26	0.334	26	0.35
6991_day0_TeloTag	silhouette	8	27	7428	7790	4	0.051	4	0.054
6991_day0_TeloTag_with_selection	95	9	34	8765	9355	11	0.118	11	0.125
6991_day0_TeloTag_with_selection	96	10	34	8765	9355	11	0.118	11	0.125
6991_day0_TeloTag_with_selection	97	10	34	8765	9355	11	0.118	11	0.125
6991_day0_TeloTag_with_selection	98	11	34	8765	9355	11	0.118	11	0.125
6991_day0_TeloTag_with_selection	99	12	34	8765	9355	11	0.118	11	0.125
6991_day0_TeloTag_with_selection	99.5	14	34	8765	9355	12	0.128	12	0.137
6991_day0_TeloTag_with_selection	silhouette	8	34	8765	9355	11	0.118	11	0.125
6991_day0	95	9	34	3489	4361	4	0.092	4	0.115
6991_day0	96	10	34	3489	4361	4	0.092	4	0.115
6991_day0	97	10	34	3489	4361	4	0.092	4	0.115
6991_day0	98	11	34	3489	4361	4	0.092	4	0.115
6991_day0	99	12	34	3489	4361	4	0.092	4	0.115
6991_day0	99.5	14	34	3489	4361	4	0.092	4	0.115
6991_day0	silhouette	8	34	3489	4361	4	0.092	4	0.115
6991_day0_reference	95	9	33	7511	8573	27	0.315	27	0.359
6991_day0_reference	96	10	33	7511	8573	27	0.315	27	0.359
6991_day0_reference	97	10	33	7511	8573	27	0.315	27	0.359
6991_day0_reference	98	11	33	7511	8573	27	0.315	27	0.359
6991_day0_reference	99	12	33	7511	8573	27	0.315	27	0.359
6991_day0_reference	99.5	14	33	7511	8573	28	0.327	28	0.373
6991_day0_reference	silhouette	8	33	7511	8573	26	0.303	26	0.346
6991_day0_reference_promethion	95	9	34	7180	8508	11	0.129	11	0.153
6991_day0_reference_promethion	96	10	34	7180	8508	11	0.129	11	0.153
6991_day0_reference_promethion	97	10	34	7180	8508	11	0.129	11	0.153
6991_day0_reference_promethion	98	11	34	7180	8508	11	0.129	11	0.153
6991_day0_reference_promethion	99	12	34	7180	8508	12	0.141	12	0.167
6991_day0_reference_promethion	99.5	14	34	7180	8508	12	0.141	12	0.167
6991_day0_reference_promethion	silhouette	8	34	7180	8508	10	0.118	10	0.139
6991_day0_with_selection	95	10	34	27409	32225	437	1.356	437	1.594
6991_day0_with_selection	96	11	34	27409	32225	438	1.359	438	1.598
6991_day0_with_selection	97	11	34	27409	32225	438	1.359	438	1.598
6991_day0_with_selection	98	12	34	27409	32225	438	1.359	438	1.598
6991_day0_with_selection	99	13	34	27409	32225	439	1.362	439	1.602
6991_day0_with_selection	99.5	15	34	27409	32225	440	1.365	440	1.605
6991_day0_with_selection	silhouette	8	34	27409	32225	49	0.152	49	0.179
6991_day0_with_selection_repeat2	95	9	34	5391	6083	13	0.214	13	0.241
6991_day0_with_selection_repeat2	96	10	34	5391	6083	13	0.214	13	0.241
6991_day0_with_selection_repeat2	97	10	34	5391	6083	13	0.214	13	0.241
6991_day0_with_selection_repeat2	98	11	34	5391	6083	13	0.214	13	0.241
6991_day0_with_selection_repeat2	99	12	34	5391	6083	13	0.214	13	0.241
6991_day0_with_selection_repeat2	99.5	14	34	5391	6083	13	0.214	13	0.241
6991_day0_with_selection_repeat2	silhouette	8	34	5391	6083	11	0.181	11	0.204
6991_day0_with_selection_repeat	95	9	34	12420	14464	18	0.124	18	0.145
6991_day0_with_selection_repeat	96	10	34	12420	14464	18	0.124	18	0.145
6991_day0_with_selection_repeat	97	10	34	12420	14464	18	0.124	18	0.145
6991_day0_with_selection_repeat	98	11	34	12420	14464	18	0.124	18	0.145
6991_day0_with_selection_repeat	99	12	34	12420	14464	18	0.124	18	0.145
6991_day0_with_selection_repeat	99.5	14	34	12420	14464	18	0.124	18	0.145
6991_day0_with_selection_repeat	silhouette	8	34	12420	14464	17	0.118	17	0.137
7172_day0_with_selection	95	9	35	4471	5630	4	0.071	4	0.089
7172_day0_with_selection	96	10	35	4471	5630	4	0.071	4	0.089
7172_day0_with_selection	97	10	35	4471	5630	4	0.071	4	0.089
7172_day0_with_selection	98	11	35	4471	5630	4	0.071	4	0.089
7172_day0_with_selection	99	12	35	4471	5630	4	0.071	4	0.089
7172_day0_with_selection	99.5	14	35	4471	5630	4	0.071	4	0.089
7172_day0_with_selection	silhouette	8	35	4471	5630	4	0.071	4	0.089
7302_day0_with_selection	95	9	36	7112	9589	14	0.146	14	0.197
7302_day0_with_selection	96	10	36	7112	9589	14	0.146	14	0.197
7302_day0_with_selection	97	10	36	7112	9589	14	0.146	14	0.197
7302_day0_with_selection	98	11	36	7112	9589	14	0.146	14	0.197
7302_day0_with_selection	99	12	36	7112	9589	14	0.146	14	0.197
7302_day0_with_selection	99.5	14	36	7112	9589	15	0.156	15	0.211
7302_day0_with_selection	silhouette	8	36	7112	9589	14	0.146	14	0.197
