sample	strain	chr_end	read_id	copy_index	n_copies	true_element	matched_element	matched_end	yp_start	yp_end	read_length	telo_side	true_len	matched_len
6991_day0	6991	chr10L	SRR33298461.57209	1	1	E-chr10L-1	E-chr7R-1	chr7R	119	6701	25597	beginning	6869	6655
6991_day0	6991	chr13L	SRR33298461.44252	1	1	E-chr13L-1	E-chr2L-1	chr2L	183	5933	16211	beginning	5483	5975
6991_day0	6991	chr14L	SRR33298461.168936	5	5	E-chr14L-5	E-chr4R-6	chr4R	12741	38320	38536	end	5485	6651
6991_day0	6991	chr6L	SRR33298461.181020	1	1	E-chr6L-1	E-chr13L-1	chr13L	218	5636	23796	beginning	5975	5483
6991_day0_TeloTag	6991	chr13L	SRR33298460.150620	1	1	E-chr13L-1	E-chr8R-1	chr8R	261	5650	15662	beginning	5482	5469
6991_day0_TeloTag	6991	chr14R	SRR33298460.274149	1	1	E-chr14R-1	E-chr14L-1	chr14L	177	6784	15968	beginning	6530	6653
6991_day0_TeloTag	6991	chr14R	SRR33298460.568401	1	1	E-chr14R-1	E-chr14L-1	chr14L	9132	15745	15899	end	6530	6653
6991_day0_TeloTag	6991	chr14R	SRR33298460.108378	1	1	E-chr14R-1	E-chr13L-1	chr13L	8436	13915	14079	end	6530	5482
6991_day0_TeloTag	6991	chr16R	SRR33298460.275124	1	1	E-chr16R-1	E-chr13L-1	chr13L	6346	11149	11285	end	5302	5482
6991_day0_TeloTag	6991	chr7R	SRR33298460.128649	1	1	E-chr7R-1	E-chr5R-1	chr5R	252	6911	20835	beginning	6655	6693
6991_day0_TeloTag_with_selection	6991	chr13L	SRR33298434.76895	1	1	E-chr13L-1	E-chr15R-1	chr15R	201	6825	17040	beginning	5483	6649
6991_day0_TeloTag_with_selection	6991	chr14L	SRR33298434.530414	1	5	E-chr14L-1	E-chr12R-1	chr12R	183	30410	45688	beginning	6654	6483
6991_day0_TeloTag_with_selection	6991	chr16L	SRR33298434.79614	1	1	E-chr16L-1	E-chr12R-1	chr12R	19124	25505	25779	end	6654	6483
6991_day0_TeloTag_with_selection	6991	chr16R	SRR33298434.378016	1	1	E-chr16R-1	E-chr14L-5	chr14L	140	5338	11671	beginning	5302	5486
6991_day0_TeloTag_with_selection	6991	chr16R	SRR33298434.64148	1	1	E-chr16R-1	E-chr14L-3	chr14L	5247	10427	10556	end	5302	5485
6991_day0_TeloTag_with_selection	6991	chr2L	SRR33298434.94939	1	1	E-chr2L-1	E-chr16L-1	chr16L	122	6710	16516	beginning	5975	6654
6991_day0_TeloTag_with_selection	6991	chr5L	SRR33298434.226995	1	1	E-chr5L-1	E-chr12R-1	chr12R	256	6563	12361	beginning	6481	6483
6991_day0_TeloTag_with_selection	6991	chr5L	SRR33298434.116145	1	1	E-chr5L-1	E-chr12R-1	chr12R	5803	12114	12344	end	6481	6483
6991_day0_TeloTag_with_selection	6991	chr7R	SRR33298434.164214	1	1	E-chr7R-1	E-chr14R-1	chr14R	258	6845	20884	beginning	6655	6530
6991_day0_TeloTag_with_selection	6991	chr8L	SRR33298434.497585	1	1	E-chr8L-1	E-chr2L-1	chr2L	235	5528	11295	beginning	5058	5975
6991_day0_TeloTag_with_selection	6991	chr8R	SRR33298434.515556	1	1	E-chr8R-1	E-chr14R-1	chr14R	35304	41823	42110	end	5469	6530
6991_day0_reference	6991	chr12L	SRR33298378.151832	1	1	E-chr12L-1	E-chr2L-1	chr2L	5614	11056	11173	end	5191	5975
6991_day0_reference	6991	chr12L	SRR33298378.55891	1	1	E-chr12L-1	E-chr16R-1	chr16R	5609	10881	10993	end	5191	5302
6991_day0_reference	6991	chr13L	SRR33298378.275479	1	1	E-chr13L-1	E-chr9L-1	chr9L	260	6969	17357	beginning	5482	6870
