strain	PD	read_uuid	sample	our_read_id	paper_chr_end	paper_n_yprime	paper_ids	paper_switch	our_chr_end	our_n_yprime	our_ids	our_status	our_path	our_entries	our_source	our_mechanism	our_blocks	our_switch
7172	33	0034f09f-9d69-409f-af4e-cbdaa81ca565	7172_day4_with_selection_repeat	SRR33298428.435348	chr14L	8	ID4,ID2,ID4,ID2,ID4,ID4,ID2,ID5	Y	chr14L	8.0	ID5_Blue-Dark,ID2_Red,ID4_Green-Light,ID4_Green-Light,ID2_Red,ID4_Green-Light,ID2_Red,ID4_Green-Light	1st Y' Change	chr16L[1-2]:ID5_Blue-Dark,ID2_Red > chr2L|chr6L:ID4_Green-Light > chr2L|chr6L:ID4_Green-Light > self[2]:ID2_Red > chr2L|chr6L:ID4_Green-Light > self[2]:ID2_Red > chr2L|chr6L:ID4_Green-Light	chr16L1|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3|chr2L1|chr2L1|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3|chr2L1|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3|chr2L1	chr16L	donor_transfer	chr16L > chr2L|chr6L > chr14L > chr2L|chr6L > chr14L > chr2L|chr6L	True
7302	28	0056f9ba-78d3-46fe-9ca0-1e78dbbd6bcc	7302_day3_with_selection	SRR33298450.79362	chr13L	10	ID7,ID8,ID7,ID2,ID2,ID2,ID2,ID2,ID2,ID2	N	chr13L	10.0	ID7_Yellow,ID2_Red-Light,ID7_Yellow,ID2_Red-Light,ID2_Red-Light,ID2_Red-Light,ID2_Red-Light,ID2_Red-Light,ID2_Red-Light,ID2_Red-Light	Y' Gain	chr4R[3-4]:ID2_Red-Light,ID2_Red-Light,ID2_Red-Light,ID2_Red-Light,ID2_Red-Light,ID2_Red-Light(circ x3.0 moderate | alt chr4R[5-7] + chr4R[3-5])	chr13L3|chr13L4|chr13L3|chr4R4,7;chr12R3,4,5;chr14L2|chr4R5|chr4R1,2,3,6|chr4R4,7;chr12R3,4,5;chr14L2|chr4R5|chr4R4,7;chr12R3,4,5;chr14L2|chr4R5	chr4R	donor_transfer	chr4R	False
7172	33	00ee23fe-8978-4350-8d27-2daddf5bacaf	7172_day4_with_selection	SRR33298429.368996	chr11L	2	ID3,ID5	Y	chr11L	2.0	ID5_Blue-Dark,ID3_Orange	Y' Gain	chr16L?[1]:ID5_Blue-Dark > chr14L[3]:ID3_Orange	chr16L1|chr14L3	chr11R	subtelomere_switch	chr16L > chr14L	True
7172	33	01e49b46-033f-4cee-8447-f9d5eafaa0ab	7172_day4_with_selection	SRR33298429.686669	chr15R	4	ID2,ID2,ID2,ID2	N	chr15R	4.0	ID2_Red,ID2_Red,ID2_Red,ID2_Red	Y' Gain	chr4R[5-7]:ID2_Red,ID2_Red,ID2_Red	chr15R1|chr4R5|chr4R1,2,6;chr16L2|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3	chr4R	donor_transfer	chr4R	False
7172	33	0219eb43-dbef-4635-9ca0-06f8b95642bd	7172_day4_with_selection	SRR33298429.512175	chr2L	4	ID4,ID2,ID2,ID3	N	chr2L	4.0	ID4_Green-Light,ID2_Red,ID2_Red,ID3_Orange	Y' Gain	chr4R[3-4]:ID2_Red,ID2_Red > chr14L[3]:ID3_Orange	chr2L1|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3|chr14L3	chr14L	donor_transfer	chr4R > chr14L	True
7302	33	021d8c83-cd5a-47b8-83cb-d911e29adad7	7302_day4_with_selection	SRR33298449.430392	chr2L	3	ID2,ID2,ID3	N	chr2L	3.0	ID3_Orange,ID2_Red-Light,ID2_Red-Light	1st Y' Change	chr14L[3]:ID3_Orange > chr12R|chr4R:ID2_Red-Light,ID2_Red-Light	chr14L3,4,5|chr4R5|chr4R5	chr14L	donor_transfer	chr14L > chr12R|chr4R	True
7302	28	03d23b38-e99b-4e22-be8c-296d2dbced48	7302_day3_with_selection	SRR33298450.79363	chr12R	8	ID1,ID2,ID2,ID2,ID2,ID2,ID2,ID2	N	chr12R	8.0	ID1_Gray,ID2_Red-Light,ID2_Red-Light,ID2_Red-Light,ID2_Red-Light,ID2_Red-Light,ID2_Red-Light,ID2_Red-Light	Y' Gain	self[2-3]:ID2_Red-Light,ID2_Red-Light	chr12R1|chr4R1,2,3,6|chr4R1,2,3,6|chr4R1,2,3,6|chr4R4,7;chr12R3,4,5;chr14L2|chr4R4,7;chr12R3,4,5;chr14L2|chr4R4,7;chr12R3,4,5;chr14L2|chr12R6	chr12R	tandem_amplification_same_end	chr12R	False
7302	28	03fc793d-98eb-485d-9509-b4a19363a998	7302_day3_with_selection	SRR33298450.141449	chr2R	3	ID7,ID8,ID8	N	chr2R	3.0	ID7_Yellow,ID2_Red-Light,ID2_Red-Light	Y' Gain	chr13L[1-2]:ID7_Yellow,ID2_Red-Light > chr12R|chr13L|chr14L|chr4R:ID2_Red-Light	chr13L3|chr4R4,7;chr12R3,4,5;chr14L2|chr13L4	chr13L	donor_transfer	chr13L	False
7302	28	04b24219-58a8-44a7-bcf6-018e7f9bd353	7302_day3_with_selection	SRR33298450.37633	chr14L	7	ID3,ID3,ID3,ID3,ID3,ID2,ID5	N	chr14L	7.0	ID5_Blue-Dark,ID2_Red-Light,ID3_Orange,ID3_Orange,ID3_Orange,ID3_Orange,ID3_Orange	1st Y' Change	chr16L|chr7R:ID5_Blue-Dark > self[2-5]:ID2_Red-Light,ID3_Orange,ID3_Orange,ID3_Orange > self[3-4]:ID3_Orange,ID3_Orange	chr16L1|chr4R4,7;chr12R3,4,5;chr14L2|chr14L3,4,5|chr14L3,4,5|chr14L3,4,5|chr14L3,4,5|chr14L3,4,5	chr14L	tandem_amplification_same_end	chr16L|chr7R > chr14L	True
7172	33	0602a7d2-bddc-45b5-9b7f-2cd8d5ec8434	7172_day4_with_selection	SRR33298429.341840	chr2L	3	ID3,ID2,ID2	N	chr2L	3.0	ID1_Gray,ID2_Red,ID2_Red	1st Y' Change	chr12R[1-3]:ID1_Gray,ID2_Red,ID2_Red	chr8R1|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3|chr12R6,8	chr12R	donor_transfer	chr12R	False
