sample	read_id	chr_end	observed_array	window_len	expected_source
7302_day4_with_selection	SRR33298449.327615	chr10R	ID7,ID2,ID7,ID2,ID7	5	chr13L
7302_day4_with_selection	SRR33298449.274261	chr10R	ID7,ID2,ID7,ID2	4	chr13L
7302_day4_with_selection	SRR33298449.368231	chr14R	ID7,ID2,ID7	3	chr13L
7302_day4_with_selection	SRR33298449.497101	chr15L	ID7,ID2,ID7,ID2	4	chr13L
7302_day4_with_selection	SRR33298449.293351	chr16L	ID5,ID2,ID7,ID2	3	chr13L
7302_day4_with_selection	SRR33298449.444426	chr2R	ID7,ID2,ID7,ID2,ID7	5	chr13L
7302_day4_with_selection	SRR33298449.196678	chr2R	ID7,ID2,ID7,ID2	4	chr13L
7302_day4_with_selection	SRR33298449.507268	chr2R	ID7,ID2,ID7,ID2	4	chr13L
7302_day4_with_selection	SRR33298449.564793	chr2R	ID7,ID2,ID7,ID2	4	chr13L
7302_day4_with_selection	SRR33298449.567566	chr3R	ID5,ID2,ID7,ID2	3	chr13L
7302_day4_with_selection	SRR33298449.486235	chr3R	ID7,ID2,ID7,ID2	4	chr13L
7302_day4_with_selection	SRR33298449.43071	chr3R	ID7,ID2,ID7,ID2	4	chr13L
7302_day4_with_selection	SRR33298449.277608	chr3R	ID7,ID2,ID7,ID2	4	chr13L
7302_day4_with_selection	SRR33298449.4646	chr3R	ID7,ID2,ID7	3	chr13L
7302_day4_with_selection	SRR33298449.23058	chr4L	ID7,ID2,ID7,ID2,ID7	5	chr13L
7302_day4_with_selection	SRR33298449.141373	chr4L	ID7,ID2,ID7,ID2	4	chr13L
7302_day4_with_selection	SRR33298449.131857	chr5R	ID1,ID2,ID7,ID2,ID7,ID2	5	chr13L
7302_day4_with_selection	SRR33298449.347234	chr7R	ID5,ID7,ID2,ID7	3	chr13L
7302_day4_with_selection	SRR33298449.17944	chr8L	ID2,ID7,ID2,ID7	4	chr13L
7302_day5_with_selection	SRR33298447.322782	chr10R	ID7,ID2,ID7,ID2	4	chr13L
7302_day5_with_selection	SRR33298447.490537	chr11L	ID7,ID2,ID7,ID2,ID7,ID3,ID3,ID3,ID3,ID3,ID3	5	chr13L
7302_day5_with_selection	SRR33298447.146060	chr11L	ID7,ID2,ID7	3	chr13L
7302_day5_with_selection	SRR33298447.268817	chr11R	ID7,ID2,ID7,ID7,ID2,ID2	3	chr13L
7302_day5_with_selection	SRR33298447.12915	chr11R	ID7,ID2,ID7,ID2	4	chr13L
7302_day5_with_selection	SRR33298447.28086	chr12L	ID1,ID2,ID7,ID2	3	chr13L
7302_day5_with_selection	SRR33298447.170876	chr13R	ID7,ID2,ID7,ID2,ID2,ID7,ID2	4	chr13L
7302_day5_with_selection	SRR33298447.85642	chr14R	ID2,ID7,ID2,ID7	4	chr13L
7302_day5_with_selection	SRR33298447.151294	chr15R	ID2,ID7,ID2,ID7,ID2,ID2	5	chr13L
7302_day5_with_selection	SRR33298447.78734	chr15R	ID2,ID2,ID7,ID2	3	chr13L
7302_day5_with_selection	SRR33298447.328635	chr1L	ID5,ID7,ID2,ID7	3	chr13L
7302_day5_with_selection	SRR33298447.148608	chr1R	ID7,ID2,ID7,ID2,ID7	5	chr13L
7302_day5_with_selection	SRR33298447.118629	chr1R	ID7,ID2,ID7	3	chr13L
7302_day5_with_selection	SRR33298447.151907	chr2L	ID4,ID2,ID7,ID2	3	chr13L
7302_day5_with_selection	SRR33298447.318819	chr2R	ID7,ID2,ID7,ID2,ID2,ID2	4	chr13L
7302_day5_with_selection	SRR33298447.149253	chr2R	ID7,ID2,ID7,ID7,ID2	3	chr13L
7302_day5_with_selection	SRR33298447.129927	chr2R	ID7,ID2,ID7,ID2	4	chr13L
7302_day5_with_selection	SRR33298447.74716	chr2R	ID7,ID2,ID7,ID2	4	chr13L
7302_day5_with_selection	SRR33298447.460402	chr2R	ID7,ID2,ID7,ID2	4	chr13L
7302_day5_with_selection	SRR33298447.33469	chr2R	ID7,ID2,ID7,ID2	4	chr13L
7302_day5_with_selection	SRR33298447.9362	chr3R	ID6,ID2,ID7,ID2,ID2,ID7,ID2,ID7	4	chr13L
7302_day5_with_selection	SRR33298447.180074	chr3R	ID7,ID2,ID7,ID7,ID2,ID7	3	chr13L
7302_day5_with_selection	SRR33298447.490300	chr3R	ID7,ID2,ID7,ID2,ID2	4	chr13L
7302_day5_with_selection	SRR33298447.207200	chr3R	ID7,ID2,ID7,ID2	4	chr13L
7302_day5_with_selection	SRR33298447.168241	chr4L	ID7,ID2,ID7,ID2	4	chr13L
7302_day5_with_selection	SRR33298447.434153	chr4L	ID7,ID2,ID7,ID2	4	chr13L
7302_day5_with_selection	SRR33298447.295395	chr5L	ID6,ID2,ID7,ID2	3	chr13L
7302_day5_with_selection	SRR33298447.318447	chr5R	ID1,ID7,ID2,ID7,ID7,ID7,ID7,ID7,ID4	3	chr13L
7302_day5_with_selection	SRR33298447.22803	chr7R	ID5,ID7,ID2,ID7,ID2	4	chr13L
7302_day5_with_selection	SRR33298447.508772	chr7R	ID5,ID7,ID2,ID7,ID3	3	chr13L
