sample	read_id	chr_end	copy_index	n_copies	true_element	true_group	matched_element	matched_group	donor_end	same_end	telo_side	read_length	yp_start	yp_end
6991_day0_TeloTag_with_selection	SRR33298434.76895	chr13L	1	1	E-chr13L-1	G2	E-chr15R-1	G8	chr15R	False	beginning	17040	201	6825
6991_day0_TeloTag_with_selection	SRR33298434.530414	chr14L	1	5	E-chr14L-1	G8	E-chr12R-1	G11	chr12R	False	beginning	45688	183	30410
6991_day0_TeloTag_with_selection	SRR33298434.79614	chr16L	1	1	E-chr16L-1	G8	E-chr12R-1	G11	chr12R	False	end	25779	19124	25505
6991_day0_TeloTag_with_selection	SRR33298434.378016	chr16R	1	1	E-chr16R-1	G6	E-chr14L-5	G2	chr14L	False	beginning	11671	140	5338
6991_day0_TeloTag_with_selection	SRR33298434.64148	chr16R	1	1	E-chr16R-1	G6	E-chr14L-3	G2	chr14L	False	end	10556	5247	10427
6991_day0_TeloTag_with_selection	SRR33298434.94939	chr2L	1	1	E-chr2L-1	G1	E-chr16L-1	G8	chr16L	False	beginning	16516	122	6710
6991_day0_TeloTag_with_selection	SRR33298434.226995	chr5L	1	1	E-chr5L-1	G12	E-chr12R-1	G11	chr12R	False	beginning	12361	256	6563
6991_day0_TeloTag_with_selection	SRR33298434.116145	chr5L	1	1	E-chr5L-1	G12	E-chr12R-1	G11	chr12R	False	end	12344	5803	12114
6991_day0_TeloTag_with_selection	SRR33298434.164214	chr7R	1	1	E-chr7R-1	G8	E-chr14R-1	G10	chr14R	False	beginning	20884	258	6845
6991_day0_TeloTag_with_selection	SRR33298434.497585	chr8L	1	1	E-chr8L-1	G5	E-chr2L-1	G1	chr2L	False	beginning	11295	235	5528
6991_day0_TeloTag_with_selection	SRR33298434.515556	chr8R	1	1	E-chr8R-1	G3	E-chr14R-1	G10	chr14R	False	end	42110	35304	41823
