read_id	chr_end	y_prime_observed_array	y_prime_gained_segment	y_prime_path	cat	recombination_source	overall_confidence
SRR33298446.59094	chr10L	ID3,ID1,ID1,ID2,ID2	ID1,ID1,ID2,ID2	chr14L:ID1,ID1,ID2,ID2	unique donor by IDs	chr14L	0.66
SRR33298446.171546	chr10R	ID4,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1	ID4,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1	chr2L|chr6L:ID4 > chr12R|chr14L:ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1(circ[ID1,ID1]x5.5)	unique donor by IDs	chr6L	0.2777
SRR33298446.84303	chr12L	ID2,ID2,ID2,ID2	ID2,ID2,ID2	self:ID2,ID2,ID2(circ[ID2]x3.0)	self (tandem amplification)	chr14L	0.66
SRR33298446.121688	chr12R	ID5,ID1,ID1,ID1,ID1,ID1,ID2,ID2	ID2,ID2	chr14L:ID2,ID2	unique donor by IDs	chr14L	0.44
SRR33298446.114340	chr12R	ID5,ID1,ID1,ID1,ID1,ID1,ID2,ID2	ID2,ID2	chr14L:ID2,ID2	unique donor by IDs	chr14L	0.44
SRR33298446.312069	chr12R	ID5,ID1,ID1,ID1,ID1,ID1,ID2,ID2	ID2,ID2	chr14L:ID2,ID2	unique donor by IDs	chr14L	0.44
SRR33298446.376072	chr12R	ID5,ID1,ID1,ID1,ID1,ID1,ID2,ID2	ID2,ID2	chr14L:ID2,ID2	unique donor by IDs	chr14L	0.44
SRR33298446.281564	chr12R	ID5,ID1,ID1,ID1,ID1,ID1,ID2,ID2	ID2,ID2	chr14L:ID2,ID2	unique donor by IDs	chr14L	0.44
SRR33298446.198795	chr12R	ID5,ID1,ID1,ID1,ID1,ID1,ID2,ID2	ID2,ID2	chr14L:ID2,ID2	unique donor by IDs	chr14L	0.44
SRR33298446.144544	chr12R	ID5,ID1,ID1,ID1,ID1,ID1,ID2,ID2	ID2,ID2	chr14L:ID2,ID2	unique donor by IDs	chr14L	0.44
SRR33298446.87364	chr12R	ID5,ID1,ID1,ID1,ID1,ID1,ID2,ID2	ID2,ID2	chr14L:ID2,ID2	unique donor by IDs	chr14L	0.44
SRR33298446.156612	chr12R	ID5,ID1,ID1,ID1,ID1,ID1,ID2,ID2	ID2,ID2	chr14L:ID2,ID2	unique donor by IDs	chr14L	0.44
SRR33298446.310835	chr12R	ID5,ID1,ID1,ID1,ID1,ID1,ID2,ID2	ID2,ID2	chr14L:ID2,ID2	unique donor by IDs	chr14L	0.44
