read_id	PD	chr_end	paper_switch	n_copies	orient_used	kept_native	ids	variants	path	blocks	n_blocks	our_switch
0034f09f-9d69-409f-af4e-cbdaa81ca565	33	chr14L	Y	8	rev	2	ID5,ID2,ID4,ID4,ID2,ID4,ID2,ID4	ID5,ID2,ID4,ID4,ID2,ID4,ID2,ID4	chr2L|chr6L:ID4 > chr2L|chr6L:ID4 > self[2]:ID2 > chr2L|chr6L:ID4 > self[2]:ID2 > chr2L|chr6L:ID4	chr2L|chr6L > chr14L > chr2L|chr6L > chr14L > chr2L|chr6L	5	True
00ee23fe-8978-4350-8d27-2daddf5bacaf	33	chr11L	Y	2	rev	0	ID5,ID3	ID5,ID3	chr14L|chr16L:ID5 > chr14L[3]:ID3	chr14L	1	False
01e49b46-033f-4cee-8447-f9d5eafaa0ab	33	chr15R	N	4	fwd	1	ID2,ID2,ID2,ID2	ID2,ID2,ID2,ID2	chr4R[5-7]:ID2,ID2,ID2	chr4R	1	False
0219eb43-dbef-4635-9ca0-06f8b95642bd	33	chr2L	N	4	fwd	1	ID4,ID2,ID2,ID3	ID4,ID2,ID2,ID3	chr4R[3-4]:ID2,ID2 > chr14L[3]:ID3	chr4R > chr14L	2	True
0602a7d2-bddc-45b5-9b7f-2cd8d5ec8434	33	chr2L	N	3	fwd	0	ID3,ID2,ID2	ID3,ID2,ID2	chr14L[3]:ID3 > chr12R|chr4R:ID2,ID2	chr14L > chr12R|chr4R	2	True
071bf86a-0fef-463d-9562-6490210aa669	33	chr12L	N	3	rev	1	ID1,ID2,ID2	ID1,ID2,ID2	chr12R|chr4R:ID2,ID2	chr12R|chr4R	1	False
07478c11-e720-40d6-aad3-878567790570	33	chr2R	N	3	fwd	0	ID1,ID2,ID2	ID1,ID2,ID2	chr12L|chr12R|chr13L|chr16R|chr5R|chr8L|chr8R:ID1 > chr16L|chr4R:ID2,ID2	chr12L|chr12R|chr13L|chr16R|chr5R|chr8L|chr8R > chr16L|chr4R	2	True
084b2f5a-f893-4e03-b1ca-cd752d1ae81a	33	chr12L	N	3	fwd	1	ID1,ID2,ID2	ID1,ID2,ID2	chr12R[6-7]:ID2,ID2	chr12R	1	False
09fddbd6-523f-40f2-b6e3-dd1136ba7ba3	33	chr7R	N	3	fwd	1	ID5,ID2,ID2	ID5,ID2,ID2	chr16L|chr4R:ID2,ID2	chr16L|chr4R	1	False
0acbd3e7-636f-4eeb-8751-b0a956189c73	28	chr5L	N	4	rev	1	ID6,ID2,ID2,ID2	ID6,ID2,ID2,ID2	chr4R[5-7]:ID2,ID2,ID2	chr4R	1	False
0b001fe1-ce97-429b-800b-025e088c5bc7	33	chr15R	Y	3	rev	1	ID2,ID2,ID4	ID2,ID2,ID4	chr12R|chr14L|chr4R:ID2 > chr2L|chr6L:ID4	chr12R|chr14L|chr4R > chr2L|chr6L	2	True
0b17dd01-3958-44f2-bb26-4d7c38b5dc29	33	chr2R	N	2	rev	0	ID5,ID2	ID5,ID2	chr14L|chr16L:ID5,ID2	chr14L|chr16L	1	False
0ba91cb7-2985-4634-a712-0cb992e044f1	33	chr12R	Y	13	rev	8	ID1,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID4	ID1,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID4	self[6-7]:ID2,ID2,ID2,ID2(circ x2.0 moderate | alt chr12R[2] + chr12R[6-8]) > chr2L|chr6L:ID4	chr12R > chr2L|chr6L	2	True
0c79052a-6bb0-45b4-967a-26b3e42cd550	28	chr13R	N	10	rev	0	ID1,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2	ID1,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2	chr12R[1-6]:ID1,ID2,ID2,ID2,ID2,ID2 > chr12R[2-5]:ID2,ID2,ID2,ID2	chr12R	1	False
0e41f331-97a2-42ec-b551-6a1c79e08106	28	chr6L	Y	3	rev	0	ID3,ID3,ID5	ID3,ID3,ID5	chr14L[3]:ID3 > chr14L[3]:ID3 > chr14L|chr16L|chr7R:ID5	chr14L	1	False
0ed499ed-9c7c-45e3-86ce-b554f48b4b87	33	chr5L	N	3	rev	1	ID6,ID2,ID2	ID6,ID2,ID2	chr16L|chr4R:ID2,ID2	chr16L|chr4R	1	False
1055cac6-b8b4-4597-88bd-5edeb197a668	33	chr9R	N	2	fwd	0	ID5,ID2	ID5,ID2	chr14L|chr16L:ID5,ID2	chr14L|chr16L	1	False
144ffab0-e609-47b1-89e1-251e862b27ad	33	chr2L	N	3	fwd	1	ID4,ID2,ID2	ID4,ID2,ID2	chr12R|chr4R:ID2,ID2	chr12R|chr4R	1	False
14b778a7-01ee-4123-b7c2-841fe75cd701	33	chr12R	N	10	rev	8	ID1,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2	ID1,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2	self[6-7]:ID2,ID2	chr12R	1	False
17768f45-19e3-4618-ab26-d42e07974d02	33	chr5R	N	5	fwd	1	ID1,ID3,ID3,ID2,ID2	ID1,ID3,ID3,ID2,ID2	chr14L[3]:ID3 > chr14L[3]:ID3 > chr16L|chr4R:ID2,ID2	chr14L > chr16L|chr4R	2	True
1b5f6478-1b99-4079-b264-48976da1a9a5	28	chr9L	N	4	rev	1	ID6,ID2,ID2,ID2	ID6,ID2,ID2,ID2	chr4R[5-7]:ID2,ID2,ID2	chr4R	1	False
1c5362de-1cdf-43c4-9488-a133b9f22b0a	33	chr16L	N	6	fwd	3	ID5,ID2,ID2,ID2,ID2,ID2	ID5,ID2,ID2,ID2,ID2,ID2	chr12R[6-7]:ID2,ID2,ID2(circ x1.5 moderate | alt chr12R[2] + chr12R[6-7])	chr12R	1	False
1cacdbe0-f84a-4851-a6b4-4230136aad4c	33	chr10R	Y	3	rev	0	ID5,ID2,ID4	ID5,ID2,ID4	chr14L[1-2]:ID5,ID2 > chr2L|chr6L:ID4	chr14L > chr2L|chr6L	2	True
1d0f0030-6fb0-4ca6-b85d-a51c5426cde2	28	chr1R	Y	2	rev	0	ID1,ID3	ID1,ID3	chr12L|chr12R|chr13L|chr16R|chr5R|chr8L|chr8R:ID1 > chr14L[3]:ID3	chr12L|chr12R|chr13L|chr16R|chr5R|chr8L|chr8R > chr14L	2	True
1e6da8a1-b592-4336-9c88-062d2e362637	28	chr16L	N	18	rev	3	ID5,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2	ID5,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2	self[2]:ID2 > chr12R[6-8]:ID2,ID2,ID2,ID2(circ x1.3 moderate | alt chr12R[6-8] + chr12R[2]) > chr12R[6-7]:ID2,ID2,ID2,ID2(circ x2.0 moderate) > self[2]:ID2,ID2,ID2,ID2,ID2,ID2(circ x6.0 strong)	chr16L > chr12R > chr16L	3	True
