chr_end	feature	ftype	length_curated	length_ours	dlen	offset_curated	offset_ours	doffset	verdict	severity
chr1L	anchor	anchor	5040	5040.0	0.0	-5039	-5039.0	0.0	ok	
chr1L	space_between_anchor	spacer	10020	10019.0	-1.0	1	1.0	0.0	ok	
chr1L	x_core_element	x_core	463	461.0	-2.0	10021	10020.0	-1.0	ok	
chr1L	x_variable_element	x_variable	287	287.0	0.0	10484	10480.0	-4.0	ok	
chr1L	Telomere_Repeat	telomere	212			10771			expected_absent_in_ours	
chr1R	anchor	anchor	5040	5040.0	0.0	-5039	-5039.0	0.0	ok	
chr1R	space_between_anchor	spacer	24971	24980.0	9.0	1	1.0	0.0	ok	
chr1R	x_core_element	x_core	458	453.0	-5.0	24972	24981.0	9.0	ok	
chr1R	x_variable_element	x_variable	285	285.0	0.0	25430	25433.0	3.0	ok	
chr1R	Telomere_Repeat	telomere	323			25715			expected_absent_in_ours	
chr2L	anchor	anchor	5040	5040.0	0.0	-5039	-5039.0	0.0	ok	
chr2L	space_between_anchor	spacer	3994	3997.0	3.0	1	1.0	0.0	ok	
chr2L	x_core_element	x_core	470	468.0	-2.0	3995	3998.0	3.0	ok	
chr2L	x_variable_element	x_variable	292	293.0	1.0	4465	4465.0	0.0	ok	
chr2L	Y_Prime_1	y_prime	5976	5976.0	0.0	4757	4757.0	0.0	ok	
chr2L	Telomere_Repeat	telomere	262			10733			expected_absent_in_ours	
chr2R	anchor	anchor	5040	5038.0	-2.0	-5039	-5037.0	2.0	ok	
chr2R	space_between_anchor	spacer	10002	10002.0	0.0	1	1.0	0.0	ok	
chr2R	x_core_element	x_core	470	469.0	-1.0	10003	10003.0	0.0	ok	
chr2R	x_variable_element	x_variable	289	287.0	-2.0	10473	10471.0	-2.0	ok	
chr2R	Telomere_Repeat	telomere	269			10762			expected_absent_in_ours	
chr3L	anchor	anchor	5040	5040.0	0.0	-5039	-5039.0	0.0	ok	
chr3L	space_between_anchor	spacer	9930	9931.0	1.0	1	1.0	0.0	ok	
chr3L	x_core_element	x_core	460	459.0	-1.0	9931	9932.0	1.0	ok	
chr3L	x_variable_element	x_variable	297	295.0	-2.0	10391	10390.0	-1.0	ok	
chr3L	Telomere_Repeat	telomere	298			10688			expected_absent_in_ours	
chr3R	anchor	anchor	5040	5040.0	0.0	-5039	-5039.0	0.0	ok	
chr3R	space_between_anchor	spacer	9993	9999.0	6.0	1	1.0	0.0	ok	
chr3R	x_core_element	x_core	407	401.0	-6.0	9994	10000.0	6.0	ok	
chr3R	x_variable_element	x_variable	311	311.0	0.0	10401	10400.0	-1.0	ok	
chr3R	Telomere_Repeat	telomere	292			10712			expected_absent_in_ours	
chr4L	anchor	anchor	5040	5040.0	0.0	-5039	-5039.0	0.0	ok	
chr4L	space_between_anchor	spacer	20088	20089.0	1.0	1	1.0	0.0	ok	
chr4L	x_core_element	x_core	460	459.0	-1.0	20089	20090.0	1.0	ok	
chr4L	x_variable_element	x_variable	258	256.0	-2.0	20549	20548.0	-1.0	ok	
chr4L	Telomere_Repeat	telomere	198			20807			expected_absent_in_ours	
chr4R	anchor	anchor	5040	5041.0	1.0	-5039	-5040.0	-1.0	ok	
chr4R	space_between_anchor	spacer	1898	1899.0	1.0	1	1.0	0.0	ok	
chr4R	x_core_element	x_core	465	464.0	-1.0	1899	1900.0	1.0	ok	
chr4R	x_variable_element	x_variable	275	272.0	-3.0	2364	2363.0	-1.0	ok	
chr4R	ITS_Y_Prime_0-1	its	381	386.0	5.0	2639	2635.0	-4.0	ok	
chr4R	Y_Prime_1	y_prime	6654	6652.0	-2.0	3020	3021.0	1.0	ok	
chr4R	ITS_Y_Prime_1-2	its	8	10.0	2.0	9674	9673.0	-1.0	ok	
chr4R	Y_Prime_2	y_prime	6654	6652.0	-2.0	9682	9683.0	1.0	ok	
chr4R	ITS_Y_Prime_2-3	its	8	10.0	2.0	16336	16335.0	-1.0	ok	
chr4R	Y_Prime_3	y_prime	6654	6652.0	-2.0	16344	16345.0	1.0	ok	
chr4R	ITS_Y_Prime_3-4	its	8	10.0	2.0	22998	22997.0	-1.0	ok	
chr4R	Y_Prime_4	y_prime	6655	6653.0	-2.0	23006	23007.0	1.0	ok	
chr4R	ITS_Y_Prime_4-5	its	169	171.0	2.0	29661	29660.0	-1.0	ok	
chr4R	Y_Prime_5	y_prime	6654	6653.0	-1.0	29830	29831.0	1.0	ok	
chr4R	ITS_Y_Prime_5-6	its	170	172.0	2.0	36484	36484.0	0.0	ok	
chr4R	Y_Prime_6	y_prime	6654	6653.0	-1.0	36654	36656.0	2.0	ok	
chr4R	ITS_Y_Prime_6-7	its	8	10.0	2.0	43308	43309.0	1.0	ok	
chr4R	Y_Prime_7	y_prime	6654	6653.0	-1.0	43316	43319.0	3.0	ok	
chr4R	Telomere_Repeat	telomere	220			49970			expected_absent_in_ours	
chr5L	anchor	anchor	5040	5040.0	0.0	-5039	-5039.0	0.0	ok	
chr5L	space_between_anchor	spacer	635	636.0	1.0	1	1.0	0.0	ok	
chr5L	x_core_element	x_core	91	111.0	20.0	636	637.0	1.0	ok	
chr5L	ITS_Y_Prime_0-1	its	25			747			missing_in_ours	minor
chr5L	Y_Prime_1	y_prime	6482	6481.0	-1.0	772	772.0	0.0	ok	
chr5L	Telomere_Repeat	telomere	255			7254			expected_absent_in_ours	
chr5R	anchor	anchor	5040	5040.0	0.0	-5039	-5039.0	0.0	ok	
chr5R	space_between_anchor	spacer	1481	1483.0	2.0	1	1.0	0.0	ok	
chr5R	x_core_element	x_core	462	460.0	-2.0	1482	1484.0	2.0	ok	
chr5R	x_variable_element	x_variable	164	165.0	1.0	1944	1943.0	-1.0	ok	
chr5R	ITS_Y_Prime_0-1	its	15	16.0	1.0	2108	2108.0	0.0	ok	
chr5R	Y_Prime_1	y_prime	6695	6693.0	-2.0	2123	2124.0	1.0	ok	
chr5R	Telomere_Repeat	telomere	195			8818			expected_absent_in_ours	
chr6L	anchor	anchor	5040	5040.0	0.0	-5039	-5039.0	0.0	ok	
chr6L	space_between_anchor	spacer	12321	12325.0	4.0	1	1.0	0.0	ok	
chr6L	x_core_element	x_core	463	461.0	-2.0	12322	12326.0	4.0	ok	
chr6L	x_variable_element	x_variable	245	246.0	1.0	12785	12786.0	1.0	ok	
chr6L	ITS_Y_Prime_0-1	its	114	115.0	1.0	13030	13032.0	2.0	ok	
chr6L	Y_Prime_1	y_prime	5978	5976.0	-2.0	13144	13147.0	3.0	ok	
chr6L	Telomere_Repeat	telomere	185			19122			expected_absent_in_ours	
chr6R	anchor	anchor	5040	5040.0	0.0	-5039	-5039.0	0.0	ok	
chr6R	space_between_anchor	spacer	5446	5446.0	0.0	1	1.0	0.0	ok	
chr6R	x_core_element	x_core	382	381.0	-1.0	5447	5447.0	0.0	ok	
chr6R	Telomere_Repeat	telomere	204			5831			expected_absent_in_ours	
chr7L	anchor	anchor	5040	5040.0	0.0	-5039	-5039.0	0.0	ok	
chr7L	space_between_anchor	spacer	987	988.0	1.0	1	1.0	0.0	ok	
chr7L	x_core_element	x_core	464	463.0	-1.0	988	989.0	1.0	ok	
chr7L	x_variable_element	x_variable	284	284.0	0.0	1452	1451.0	-1.0	ok	
chr7L	Telomere_Repeat	telomere	225			1736			expected_absent_in_ours	
chr7R	anchor	anchor	5040	5041.0	1.0	-5039	-5040.0	-1.0	ok	
chr7R	space_between_anchor	spacer	8284	8287.0	3.0	1	1.0	0.0	ok	
chr7R	x_core_element	x_core	458	456.0	-2.0	8285	8288.0	3.0	ok	
chr7R	x_variable_element	x_variable	253	255.0	2.0	8743	8743.0	0.0	ok	
chr7R	Y_Prime_1	y_prime	6656	6655.0	-1.0	8996	8996.0	0.0	ok	
chr7R	Telomere_Repeat	telomere	226			15696			expected_absent_in_ours	
chr8L	anchor	anchor	5040	5040.0	0.0	-5039	-5039.0	0.0	ok	
chr8L	space_between_anchor	spacer	203	205.0	2.0	1	1.0	0.0	ok	
chr8L	x_core_element	x_core	454	454.0	0.0	204	206.0	2.0	ok	
chr8L	Y_Prime_1	y_prime	5061	5059.0	-2.0	757	758.0	1.0	ok	
chr8L	Telomere_Repeat	telomere	253			5818			expected_absent_in_ours	
chr8R	anchor	anchor	5040	5040.0	0.0	-5039	-5039.0	0.0	ok	
chr8R	space_between_anchor	spacer	29406	29423.0	17.0	1	1.0	0.0	ok	
chr8R	x_core_element	x_core	471	469.0	-2.0	29407	29424.0	17.0	ok	
chr8R	x_variable_element	x_variable	253	254.0	1.0	29878	29892.0	14.0	ok	
chr8R	ITS_Y_Prime_0-1	its	157	158.0	1.0	30131	30146.0	15.0	ok	
chr8R	Y_Prime_1	y_prime	5472	5469.0	-3.0	30288	30304.0	16.0	ok	
chr8R	Telomere_Repeat	telomere	228			35760			expected_absent_in_ours	
chr9L	anchor	anchor	5040	5040.0	0.0	-5039	-5039.0	0.0	ok	
chr9L	space_between_anchor	spacer	18015	18015.0	0.0	1	1.0	0.0	ok	
chr9L	x_core_element	x_core	463	463.0	0.0	18016	18016.0	0.0	ok	
chr9L	x_variable_element	x_variable	373	375.0	2.0	18479	18478.0	-1.0	ok	
chr9L	Y_Prime_1	y_prime	6871	6871.0	0.0	18852	18850.0	-2.0	ok	
chr9L	Telomere_Repeat	telomere	290			25723			expected_absent_in_ours	
chr9R	anchor	anchor	5040	5041.0	1.0	-5039	-5040.0	-1.0	ok	
chr9R	space_between_anchor	spacer	9953	9954.0	1.0	1	1.0	0.0	ok	
chr9R	x_core_element	x_core	466	465.0	-1.0	9954	9955.0	1.0	ok	
chr9R	x_variable_element	x_variable	282	282.0	0.0	10420	10419.0	-1.0	ok	
chr9R	Telomere_Repeat	telomere	291			10702			expected_absent_in_ours	
chr10L	anchor	anchor	5040	5040.0	0.0	-5039	-5039.0	0.0	ok	
chr10L	space_between_anchor	spacer	13034	13034.0	0.0	1	1.0	0.0	ok	
chr10L	x_core_element	x_core	463	463.0	0.0	13035	13035.0	0.0	ok	
chr10L	x_variable_element	x_variable	373	375.0	2.0	13498	13497.0	-1.0	ok	
chr10L	Y_Prime_1	y_prime	6870	6870.0	0.0	13871	13869.0	-2.0	ok	
chr10L	Telomere_Repeat	telomere	309			20741			expected_absent_in_ours	
chr10R	anchor	anchor	5040	5040.0	0.0	-5039	-5039.0	0.0	ok	
chr10R	space_between_anchor	spacer	15003	15002.0	-1.0	1	1.0	0.0	ok	
chr10R	x_core_element	x_core	460	459.0	-1.0	15004	15003.0	-1.0	ok	
chr10R	x_variable_element	x_variable	302	302.0	0.0	15464	15461.0	-3.0	ok	
chr10R	Telomere_Repeat	telomere	201			15766			expected_absent_in_ours	
chr11L	anchor	anchor	5040	5038.0	-2.0	-5039	-5037.0	2.0	ok	
chr11L	space_between_anchor	spacer	5088	5090.0	2.0	1	1.0	0.0	ok	
chr11L	x_core_element	x_core	462	460.0	-2.0	5089	5091.0	2.0	ok	
chr11L	x_variable_element	x_variable	279	279.0	0.0	5551	5550.0	-1.0	ok	
chr11L	Telomere_Repeat	telomere	230			5830			expected_absent_in_ours	
chr11R	anchor	anchor	5040	5040.0	0.0	-5039	-5039.0	0.0	ok	
chr11R	space_between_anchor	spacer	10005	10001.0	-4.0	1	1.0	0.0	ok	
chr11R	x_core_element	x_core	461	463.0	2.0	10006	10002.0	-4.0	ok	
chr11R	x_variable_element	x_variable	242	239.0	-3.0	10467	10464.0	-3.0	ok	
chr11R	Telomere_Repeat	telomere	293			10709			expected_absent_in_ours	
chr12L	anchor	anchor	5040	5041.0	1.0	-5039	-5040.0	-1.0	ok	
chr12L	space_between_anchor	spacer	129	130.0	1.0	1	1.0	0.0	ok	
chr12L	x_core_element	x_core	421	416.0	-5.0	130	131.0	1.0	ok	
chr12L	Y_Prime_1	y_prime	5192	5191.0	-1.0	575	574.0	-1.0	ok	
chr12L	Telomere_Repeat	telomere	237			5767			expected_absent_in_ours	
chr12R	anchor	anchor	5040	5039.0	-1.0	-5039	-5038.0	1.0	ok	
chr12R	space_between_anchor	spacer	5099	5100.0	1.0	1	1.0	0.0	ok	
chr12R	x_core_element	x_core	467	466.0	-1.0	5100	5101.0	1.0	ok	
chr12R	x_variable_element	x_variable	283	282.0	-1.0	5567	5566.0	-1.0	ok	
chr12R	ITS_Y_Prime_0-1	its	125	128.0	3.0	5850	5848.0	-2.0	ok	
chr12R	Y_Prime_1	y_prime	6486	6484.0	-2.0	5975	5976.0	1.0	ok	
chr12R	ITS_Y_Prime_1-2	its	193	160.0	-33.0	12461	12460.0	-1.0	length_diff	minor
chr12R	Y_Prime_2	y_prime	6620	6653.0	33.0	12654	12620.0	-34.0	ok	
chr12R	ITS_Y_Prime_2-3	its	168	170.0	2.0	19274	19273.0	-1.0	ok	
chr12R	Y_Prime_3	y_prime	6655	6653.0	-2.0	19442	19443.0	1.0	ok	
chr12R	ITS_Y_Prime_3-4	its	205	172.0	-33.0	26097	26096.0	-1.0	length_diff	minor
chr12R	Y_Prime_4	y_prime	6619	6653.0	34.0	26302	26268.0	-34.0	ok	
chr12R	ITS_Y_Prime_4-5	its	170	172.0	2.0	32921	32921.0	0.0	ok	
chr12R	Y_Prime_5	y_prime	6655	6653.0	-2.0	33091	33093.0	2.0	ok	
chr12R	ITS_Y_Prime_5-6	its	172	174.0	2.0	39746	39746.0	0.0	ok	
chr12R	Y_Prime_6	y_prime	6654	6653.0	-1.0	39918	39920.0	2.0	ok	
chr12R	ITS_Y_Prime_6-7	its	170	172.0	2.0	46572	46573.0	1.0	ok	
chr12R	Y_Prime_7	y_prime	6654	6653.0	-1.0	46742	46745.0	3.0	ok	
chr12R	Telomere_Repeat	telomere	151			53396			expected_absent_in_ours	
chr13L	anchor	anchor	5040	5040.0	0.0	-5039	-5039.0	0.0	ok	
chr13L	space_between_anchor	spacer	4462	4463.0	1.0	1	1.0	0.0	ok	
chr13L	x_core_element	x_core	470	470.0	0.0	4463	4464.0	1.0	ok	
chr13L	x_variable_element	x_variable	286	286.0	0.0	4933	4933.0	0.0	ok	
chr13L	ITS_Y_Prime_0-1	its	51	52.0	1.0	5219	5219.0	0.0	ok	
chr13L	Y_Prime_1	y_prime	5485	5484.0	-1.0	5270	5271.0	1.0	ok	
chr13L	Telomere_Repeat	telomere	237			10755			expected_absent_in_ours	
chr13R	anchor	anchor	5040	5039.0	-1.0	-5039	-5038.0	1.0	ok	
chr13R	space_between_anchor	spacer	5047	5050.0	3.0	1	1.0	0.0	ok	
chr13R	x_core_element	x_core	465	464.0	-1.0	5048	5051.0	3.0	ok	
chr13R	x_variable_element	x_variable	301	299.0	-2.0	5513	5514.0	1.0	ok	
