chr_end	read_id	sample	own_elem	own_pct	donor_group	donor_elem	donor_pct	gap	window_scan_class	verdict
chr10L	SRR33298384.498901	6991_day0_with_selection_repeat2	chr10L-1	94.72	G8	chr7R-1	98.32	+3.60	strong	likely recombinant (mid-Y' partial junction)
chr10L	SRR33298384.151130	6991_day0_with_selection_repeat2	chr10L-1	91.25	G8	chr7R-1	94.82	+3.57	weak	likely recombinant (mid-Y' partial junction)
chr10L	SRR33298461.57209	6991_day0	chr10L-1	94.18	G8	chr7R-1	97.57	+3.39	strong	likely recombinant (mid-Y' partial junction)
chr10L	SRR33298373.545529	6991_day0_with_selection_repeat	chr10L-1	95.37	G8	chr16L-1	97.93	+2.56	strong	likely recombinant (mid-Y' partial junction)
chr10L	SRR33298373.491903	6991_day0_with_selection_repeat	chr10L-1	95.04	G8	chr16L-1	97.58	+2.54	FAILS	likely recombinant (mid-Y' partial junction)
chr10L	SRR33298373.122658	6991_day0_with_selection_repeat	chr10L-1	92.98	G8	chr12R-2	95.35	+2.37	weak	likely recombinant (mid-Y' partial junction)
chr12L	SRR33298384.550794	6991_day0_with_selection_repeat2	chr12L-1	98.34	G2	chr13L-1	96.04	-2.30	weak	not supported
chr12L	SRR33298384.443822	6991_day0_with_selection_repeat2	chr12L-1	98.96	G2	chr14L-3	96.55	-2.41	weak	not supported
chr13L	SRR33298434.76895	6991_day0_TeloTag_with_selection	chr13L-1	80.28	G8	chr15R-1	95.47	+15.19	no junction	RECOMBINANT (whole element)
chr13L	SRR33298384.185796	6991_day0_with_selection_repeat2	chr13L-1	87.74	G1	chr6L-1	98.63	+10.88	FAILS	RECOMBINANT (whole element)
chr13L	SRR33298373.896473	6991_day0_with_selection_repeat	chr13L-1	88.05	G1	chr6L-1	98.93	+10.87	no junction	RECOMBINANT (whole element)
chr13L	SRR33298373.797552	6991_day0_with_selection_repeat	chr13L-1	88.86	G1	chr6L-1	99.68	+10.83	no junction	RECOMBINANT (whole element)
