chr_end	read_id	own_elem	own_pct	donor_group	donor_elem	donor_pct	gap	verdict	yp_start	yp_end
chr10L	SRR33298452.573441	chr10L-1	94.07	G10	chr14R-1	98.47	+4.39	mid-Y' partial junction (unconfirmed breakpoint)	18900	25405
chr14R	SRR33298452.217955	chr14R-1	96.71	G8	chr14L-1	98.35	+1.64	mid-Y' partial junction (unconfirmed breakpoint)	9170	15786
chr14R	SRR33298452.246202	chr14R-1	97.04	G8	chr14L-1	98.18	+1.14	mid-Y' partial junction (unconfirmed breakpoint)	160	6783
chr2L	SRR33298452.59861	chr2L-1	90.93	G3	chr8R-1	99.76	+8.83	RECOMBINANT (whole element)	9773	15242
chr5R	SRR33298452.485827	chr5R-1	91.18	G7	chr10L-1	93.35	+2.16	mid-Y' partial junction (unconfirmed breakpoint)	7293	14368
chr5R	SRR33298452.241882	chr5R-1	96.65	G10	chr14R-1	98.18	+1.52	mid-Y' partial junction (unconfirmed breakpoint)	7260	13762
chr6L	SRR33298452.419935	chr6L-1	73.71	G10	chr14R-1	98.47	+24.76	RECOMBINANT (whole element)	18163	24677
chr6L	SRR33298452.485661	chr6L-1	75.92	G8	chr16L-1	99.17	+23.26	RECOMBINANT (whole element)	187	6820
chr6L	SRR33298452.400002	chr6L-1	90.96	G2	chr14L-3	98.78	+7.82	RECOMBINANT (whole element)	176	5644
chr6L	SRR33298452.220014	chr6L-1	89.09	G3	chr8R-1	96.58	+7.49	RECOMBINANT (whole element)	111	5589
chr6L	SRR33298452.400093	chr6L-1	87.00	G2	chr14L-3	94.31	+7.32	RECOMBINANT (whole element)	18076	23504
chr6L	SRR33298452.272227	chr6L-1	90.24	G2	chr14L-3	97.56	+7.31	RECOMBINANT (whole element)	18180	23635
chr6L	SRR33298452.427945	chr6L-1	90.54	G2	chr14L-3	97.34	+6.79	RECOMBINANT (whole element)	143	5635
chr8R	SRR33298452.555243	chr8R-1	89.29	G1	chr2L-1	98.91	+9.63	RECOMBINANT (whole element)	151	6116
