expected_element	donor_element	expected_len	donor_len	n_blocks	total_homologous_bp	longest_block_bp	longest_block_identity	longest_block_in_expected	longest_block_in_donor	usable_for_crossover
chr13L-1	chr15R-1	5483	6649	2	5307	3656	99.56%	1826-5481	2994-6645	yes
chr14L-1	chr12R-1	6654	6483	2	5044	4520	99.09%	2138-6654	1968-6482	yes
chr16L-1	chr12R-1	6654	6483	2	5044	4520	99.11%	2138-6654	1968-6482	yes
chr16R-1	chr14L-5	5302	5486	2	5625	3589	98.52%	1-3583	295-3872	yes
chr16R-1	chr14L-3	5302	5485	2	5624	3588	98.55%	1-3583	295-3871	yes
chr2L-1	chr16L-1	5975	6654	3	5747	2047	97.36%	1812-3858	2999-5043	yes
chr5L-1	chr12R-1	6481	6483	2	6752	4719	97.03%	1-4689	174-4872	yes
chr7R-1	chr14R-1	6655	6530	2	6920	4973	96.70%	2-4971	1-4926	yes
chr8L-1	chr2L-1	5058	5975	2	5497	3457	97.37%	1-3445	419-3858	yes
chr8R-1	chr14R-1	5469	6530	2	3912	1960	96.53%	1809-3744	2966-4923	yes
