read_id	anchor_name	Repeat_Type	repeat_length	Adapter_After_Telomere	Tag_After_Telomere	both_adapter_and_tag	either_adapter_or_tag	trimmed_read_length_past_anchor	length_to_trim_end_of_read	y_prime_probe_count	reference_y_primes	y_primes_relative_to_ref	delta_y_prime_sign	reference_y_prime_end_status	read_y_prime_end_status	y_prime_type_delta_y_prime_sign	chr_end	chr_end_rank
657f0591-37de-4694-9f55-56880793596a	chr1L_anchor	TG		False	False	False	False			0.0	0	0.0	same	Reference Y Primes = 0	Read Y Primes = 0	same Reference Y Primes = 0	1L	0
65aa917e-fd4c-44a0-9039-ac42ae42e12d	chr1L_anchor	TG	161.0	True	False	False	True	10930.0	6.0	0.0	0	0.0	same	Reference Y Primes = 0	Read Y Primes = 0	same Reference Y Primes = 0	1L	0
94dbae6d-3468-4229-9147-4b141de324d2	chr1L_anchor	AC		True	False	False	True			0.0	0	0.0	same	Reference Y Primes = 0	Read Y Primes = 0	same Reference Y Primes = 0	1L	0
53e6e9f4-503b-419c-8ce3-c42e10375f26	chr1L_anchor	AC		True	False	False	True			0.0	0	0.0	same	Reference Y Primes = 0	Read Y Primes = 0	same Reference Y Primes = 0	1L	0
f20c5565-979c-41f9-89c0-3821ac085291	chr1L_anchor	TG	142.0	True	False	False	True	10909.0	6.0	0.0	0	0.0	same	Reference Y Primes = 0	Read Y Primes = 0	same Reference Y Primes = 0	1L	0
02495382-4104-42db-9449-bccf93cd6adb	chr1L_anchor	TG	102.0	False	False	False	False	10646.0	13.0	0.0	0	0.0	same	Reference Y Primes = 0	Read Y Primes = 0	same Reference Y Primes = 0	1L	0
a5b8cf00-6ae3-4b97-850b-7796ff785ad0	chr1L_anchor	TG	87.0	False	False	False	False	10847.0	0.0	0.0	0	0.0	same	Reference Y Primes = 0	Read Y Primes = 0	same Reference Y Primes = 0	1L	0
d1e7c1de-4a5f-4f09-badd-49f57977cf43	chr1L_anchor	TG	231.0	False	False	False	False	10983.0	16.0	0.0	0	0.0	same	Reference Y Primes = 0	Read Y Primes = 0	same Reference Y Primes = 0	1L	0
d2040082-4846-470b-8c0b-bc80235ef146	chr1L_anchor	TG	90.0	True	False	False	True	10859.0	8.0	0.0	0	0.0	same	Reference Y Primes = 0	Read Y Primes = 0	same Reference Y Primes = 0	1L	0
0bbbf86d-80c1-4315-a3d3-f8498ac59aeb	chr1L_anchor	TG	155.0	True	False	False	True	10903.0	6.0	0.0	0	0.0	same	Reference Y Primes = 0	Read Y Primes = 0	same Reference Y Primes = 0	1L	0
cd2a9717-2c3b-438e-b887-9ac3bd3bd418	chr1L_anchor	TG		True	False	False	True			0.0	0	0.0	same	Reference Y Primes = 0	Read Y Primes = 0	same Reference Y Primes = 0	1L	0
b23631ff-3a54-462c-9f7d-461e553a5e03	chr1L_anchor	TG	166.0	True	False	False	True	10833.0	7.0	0.0	0	0.0	same	Reference Y Primes = 0	Read Y Primes = 0	same Reference Y Primes = 0	1L	0
a3f6f7df-d9ec-47d7-9f09-48113cc4c186	chr1L_anchor	TG	23.0	False	False	False	False	11294.0	0.0	0.0	0	0.0	same	Reference Y Primes = 0	Read Y Primes = 0	same Reference Y Primes = 0	1L	0
8b6e869f-7c42-4dde-ae16-826151ae1aee	chr1L_anchor	TG		True	False	False	True			0.0	0	0.0	same	Reference Y Primes = 0	Read Y Primes = 0	same Reference Y Primes = 0	1L	0
34069f8d-dfaf-45c1-b3e7-48554f6b6b97	chr1L_anchor	TG	212.0	True	False	False	True	11110.0	23.0	0.0	0	0.0	same	Reference Y Primes = 0	Read Y Primes = 0	same Reference Y Primes = 0	1L	0
87a1bcd1-9554-4bfa-9cfa-66ab4c00a5ea	chr1L_anchor	TG	104.0	True	False	False	True	10865.0	8.0	0.0	0	0.0	same	Reference Y Primes = 0	Read Y Primes = 0	same Reference Y Primes = 0	1L	0
f5cc6790-bb26-4037-958f-a30d84eaf8c3	chr1L_anchor	AC		True	False	False	True			0.0	0	0.0	same	Reference Y Primes = 0	Read Y Primes = 0	same Reference Y Primes = 0	1L	0
b95e55c8-ad74-4cb5-84da-0af1458537d4	chr1L_anchor	TG		False	False	False	False			0.0	0	0.0	same	Reference Y Primes = 0	Read Y Primes = 0	same Reference Y Primes = 0	1L	0
9efbd3d5-d095-4279-8f31-616832f016a3	chr1L_anchor	TG	259.0	True	False	False	True	11030.0	7.0	0.0	0	0.0	same	Reference Y Primes = 0	Read Y Primes = 0	same Reference Y Primes = 0	1L	0
38d8071b-e521-4edd-99dc-5c4bea3de49c	chr1L_anchor	TG	145.0	True	False	False	True	10910.0	8.0	0.0	0	0.0	same	Reference Y Primes = 0	Read Y Primes = 0	same Reference Y Primes = 0	1L	0
01c1203a-2cab-44ea-8f88-47fdaa9713c1	chr1L_anchor	TG		False	False	False	False			0.0	0	0.0	same	Reference Y Primes = 0	Read Y Primes = 0	same Reference Y Primes = 0	1L	0
ffb8250d-dcfe-4feb-a8f6-a66b438b19a2	chr1L_anchor	TG		True	False	False	True			0.0	0	0.0	same	Reference Y Primes = 0	Read Y Primes = 0	same Reference Y Primes = 0	1L	0
020ac084-5439-4b56-873a-eae5ae530864	chr1L_anchor	TG	118.0	False	False	False	False	10831.0	1.0	0.0	0	0.0	same	Reference Y Primes = 0	Read Y Primes = 0	same Reference Y Primes = 0	1L	0
3aa0d16e-7958-4758-ab43-d01a2c5fa8ca	chr1L_anchor	TG	124.0	False	False	False	False	10883.0	3.0	0.0	0	0.0	same	Reference Y Primes = 0	Read Y Primes = 0	same Reference Y Primes = 0	1L	0
396556c5-309e-46a6-b5e6-ef2f1c16c87f	chr1L_anchor	TG		True	False	False	True			0.0	0	0.0	same	Reference Y Primes = 0	Read Y Primes = 0	same Reference Y Primes = 0	1L	0
1c0700cd-c952-4d01-8fc0-27c5fdef5aab	chr1L_anchor	TG	82.0	True	False	False	True	10826.0	7.0	0.0	0	0.0	same	Reference Y Primes = 0	Read Y Primes = 0	same Reference Y Primes = 0	1L	0
1c32c2fb-dfec-464f-af53-1e0bf6e1bbf4	chr1L_anchor	AC		True	False	False	True			0.0	0	0.0	same	Reference Y Primes = 0	Read Y Primes = 0	same Reference Y Primes = 0	1L	0
85ccc4c5-be05-4ccb-adc7-bd736c7f0f85	chr1L_anchor	TG		True	False	False	True			0.0	0	0.0	same	Reference Y Primes = 0	Read Y Primes = 0	same Reference Y Primes = 0	1L	0
e79168e8-08a0-413f-ab21-4b0c04dd88b5	chr1L_anchor	AC	109.0	True	False	False	True	10867.0	34.0	0.0	0	0.0	same	Reference Y Primes = 0	Read Y Primes = 0	same Reference Y Primes = 0	1L	0
9f9b4a9a-db8c-4a7b-8d23-0273c9b06b1b	chr1L_anchor	TG	55.0	True	False	False	True	10792.0	6.0	0.0	0	0.0	same	Reference Y Primes = 0	Read Y Primes = 0	same Reference Y Primes = 0	1L	0
e80ff1fe-f88e-4aef-9ff0-9ede41f19671	chr1L_anchor	TG	170.0	True	False	False	True	10948.0	7.0	0.0	0	0.0	same	Reference Y Primes = 0	Read Y Primes = 0	same Reference Y Primes = 0	1L	0
fbc0d365-fb14-49c6-b728-3c6d2534021a	chr1L_anchor	TG	199.0	True	False	False	True	10948.0	8.0	0.0	0	0.0	same	Reference Y Primes = 0	Read Y Primes = 0	same Reference Y Primes = 0	1L	0
6bad0cbf-c1ce-4889-b1bd-a8e6e90f5b81	chr1L_anchor	TG		True	False	False	True			0.0	0	0.0	same	Reference Y Primes = 0	Read Y Primes = 0	same Reference Y Primes = 0	1L	0
