sample	read_id	chr_end	copy_index	n_copies	true_element	true_group	matched_element	matched_group	donor_end	same_end	telo_side	read_length	yp_start	yp_end
6991_day0_with_selection	SRR33298395.1154314	chr10L	1	1	E-chr10L-1	G7	E-chr16L-1	G8	chr16L	False	beginning	25652	249	6856
6991_day0_with_selection	SRR33298395.850311	chr10L	1	1	E-chr10L-1	G7	E-chr16L-1	G8	chr16L	False	beginning	25688	236	6821
6991_day0_with_selection	SRR33298395.1509441	chr10L	1	1	E-chr10L-1	G7	E-chr7R-1	G8	chr7R	False	end	25591	18883	25479
6991_day0_with_selection	SRR33298395.1158890	chr10L	1	1	E-chr10L-1	G7	E-chr13L-1	G2	chr13L	False	beginning	24418	109	5536
6991_day0_with_selection	SRR33298395.1286062	chr10L	1	1	E-chr10L-1	G7	E-chr5R-1	G9	chr5R	False	end	21096	16214	21037
6991_day0_with_selection	SRR33298395.790631	chr12L	1	1	E-chr12L-1	G4	E-chr2L-1	G1	chr2L	False	end	12000	5937	11908
6991_day0_with_selection	SRR33298395.198323	chr12L	1	1	E-chr12L-1	G4	E-chr8L-1	G5	chr8L	False	end	11039	5751	10803
6991_day0_with_selection	SRR33298395.1185585	chr13L	1	1	E-chr13L-1	G2	E-chr7R-1	G8	chr7R	False	beginning	17314	175	6822
6991_day0_with_selection	SRR33298395.1573029	chr13L	1	1	E-chr13L-1	G2	E-chr15R-1	G8	chr15R	False	beginning	15996	227	6873
6991_day0_with_selection	SRR33298395.1020823	chr13L	1	1	E-chr13L-1	G2	E-chr16L-1	G8	chr16L	False	end	15465	8608	15240
6991_day0_with_selection	SRR33298395.1472813	chr13L	1	1	E-chr13L-1	G2	E-chr14L-2	G8	chr14L	False	end	17040	10273	16899
6991_day0_with_selection	SRR33298395.1438229	chr13L	1	1	E-chr13L-1	G2	E-chr2L-1	G1	chr2L	False	beginning	16520	281	6260
6991_day0_with_selection	SRR33298395.1400154	chr13L	1	1	E-chr13L-1	G2	E-chr2L-1	G1	chr2L	False	beginning	16495	188	6175
6991_day0_with_selection	SRR33298395.836889	chr13L	1	1	E-chr13L-1	G2	E-chr2L-1	G1	chr2L	False	beginning	16457	199	6180
6991_day0_with_selection	SRR33298395.398286	chr13L	1	1	E-chr13L-1	G2	E-chr6L-1	G1	chr6L	False	beginning	16446	154	6126
6991_day0_with_selection	SRR33298395.1088166	chr13L	1	1	E-chr13L-1	G2	E-chr6L-1	G1	chr6L	False	end	16404	10313	16272
6991_day0_with_selection	SRR33298395.705953	chr13L	1	1	E-chr13L-1	G2	E-chr2L-1	G1	chr2L	False	end	16400	10268	16239
6991_day0_with_selection	SRR33298395.1740335	chr13L	1	1	E-chr13L-1	G2	E-chr2L-1	G1	chr2L	False	end	16371	10308	16295
6991_day0_with_selection	SRR33298395.931252	chr13L	1	1	E-chr13L-1	G2	E-chr2L-1	G1	chr2L	False	end	16114	10017	15993
6991_day0_with_selection	SRR33298395.240085	chr13L	1	1	E-chr13L-1	G2	E-chr2L-1	G1	chr2L	False	beginning	16303	257	6006
6991_day0_with_selection	SRR33298395.91673	chr13L	1	1	E-chr13L-1	G2	E-chr6L-1	G1	chr6L	False	beginning	15978	233	5988
6991_day0_with_selection	SRR33298395.167741	chr13L	1	1	E-chr13L-1	G2	E-chr2L-1	G1	chr2L	False	end	15906	9956	15705
6991_day0_with_selection	SRR33298395.30875	chr13L	1	1	E-chr13L-1	G2	E-chr8R-1	G3	chr8R	False	end	15791	10286	15723
6991_day0_with_selection	SRR33298395.1334307	chr13L	1	1	E-chr13L-1	G2	E-chr6L-1	G1	chr6L	False	beginning	14557	147	4520
6991_day0_with_selection	SRR33298395.634165	chr13L	1	1	E-chr13L-1	G2	E-chr5R-1	G9	chr5R	False	end	11346	10070	10400
6991_day0_with_selection	SRR33298395.325275	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	46211	425	30870
6991_day0_with_selection	SRR33298395.528253	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	end	46193	15317	45743
6991_day0_with_selection	SRR33298395.1612775	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	end	46143	15328	45784
6991_day0_with_selection	SRR33298395.1062822	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	46107	367	30829
6991_day0_with_selection	SRR33298395.677200	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	46125	217	30761
6991_day0_with_selection	SRR33298395.766619	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	end	46077	15321	45726
6991_day0_with_selection	SRR33298395.1020947	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	46066	149	30727
6991_day0_with_selection	SRR33298395.1837458	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	end	46068	15330	45742
6991_day0_with_selection	SRR33298395.54408	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	end	46038	15393	45929
6991_day0_with_selection	SRR33298395.1511669	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	46054	261	30719
6991_day0_with_selection	SRR33298395.446747	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	46041	295	30723
6991_day0_with_selection	SRR33298395.1594070	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	46032	242	30711
6991_day0_with_selection	SRR33298395.123855	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	46035	276	30734
6991_day0_with_selection	SRR33298395.1788836	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45996	298	30718
6991_day0_with_selection	SRR33298395.142127	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	46035	238	30681
6991_day0_with_selection	SRR33298395.428780	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	end	46055	15388	45904
6991_day0_with_selection	SRR33298395.816978	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	46026	248	30686
6991_day0_with_selection	SRR33298395.1211427	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	46023	247	30678
6991_day0_with_selection	SRR33298395.1167915	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	46020	223	30685
6991_day0_with_selection	SRR33298395.988630	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	46024	243	30695
