read_id	chr_end	y_prime_recombination_status_a	recombination_source_a	recombination_detected_a	overall_confidence_a	is_complex_event_a	recombination_mechanism_a	y_prime_recombination_status_b	recombination_source_b	recombination_detected_b	overall_confidence_b	is_complex_event_b	recombination_mechanism_b	status_changed	source_changed	detected_changed	dconf
SRR33298449.420345	chr10R	Y' Gain	chr13	True	0.0049	False	subtelomere_switch	Y' Gain	chr12R	True	0.9	False	subtelomere_switch	False	True	False	0.895
SRR33298449.42794	chr10R	Y' Gain	chr13	True	0.0011	False	subtelomere_switch	Y' Gain	chr12R	True	0.9	False	subtelomere_switch	False	True	False	0.899
SRR33298449.515361	chr10R	No Change	chr13L	True	0.9474	False	subtelomere_switch	No Change	chr2R	True	0.6632	True	subtelomere_switch	False	True	False	-0.284
SRR33298449.347394	chr10R	No Change	chr13L	True	0.99	False	subtelomere_switch	No Change	chr2R	True	0.693	True	subtelomere_switch	False	True	False	-0.297
SRR33298449.303591	chr11R	Y' Gain	chr2L	True	0.0106	False	subtelomere_switch	Y' Gain	chr12R	True	0.9	False	subtelomere_switch	False	True	False	0.889
SRR33298449.435515	chr13R	Y' Gain	ambiguous	True	0.0053	False	subtelomere_switch	Y' Gain	chr16R	True	0.9	False	subtelomere_switch	False	True	False	0.895
SRR33298449.294954	chr14R	1st Y' Change	ambiguous	True	-0.0198	False	subtelomere_switch	1st Y' Change	chr4R	True	0.99	False	subtelomere_switch	False	True	False	1.01
SRR33298449.433991	chr15L	Y' Gain	chr14L	True	0.0018	True	subtelomere_switch	Y' Gain	chr12R	True	0.63	True	subtelomere_switch	False	True	False	0.628
SRR33298449.497101	chr15L	Y' Gain	chr13L	True	-0.0009	True	subtelomere_switch	Y' Gain	chr4R	True	0.63	True	subtelomere_switch	False	True	False	0.631
SRR33298449.374837	chr15L	Y' Gain	chr8	True	0.0004	False	subtelomere_switch	Y' Gain	chr12R	True	0.9	False	subtelomere_switch	False	True	False	0.9
SRR33298449.190342	chr1L	Y' Gain	ambiguous	True	-0.0096	False	subtelomere_switch	Y' Gain	chr12R	True	0.9	False	subtelomere_switch	False	True	False	0.91
SRR33298449.308961	chr1L	Y' Gain	chr8R	True	0.8199	False	subtelomere_switch	Y' Gain	chr4R	True	0.63	True	subtelomere_switch	False	True	False	-0.19
SRR33298449.290818	chr2R	Y' Gain	chr7R	True	0.0045	False	subtelomere_switch	Y' Gain	chr13L	True	0.9	False	subtelomere_switch	False	True	False	0.896
SRR33298449.1586	chr2R	Y' Gain	chr7	True	0.0094	False	subtelomere_switch	Y' Gain	chr12R	True	0.9	False	subtelomere_switch	False	True	False	0.891
SRR33298449.421389	chr3R	Y' Gain	chr14L	True	0.0001	False	subtelomere_switch	Y' Gain	chr4R	True	0.63	True	subtelomere_switch	False	True	False	0.63
SRR33298449.369629	chr3R	Y' Gain	chr7R	True	1.0	False	subtelomere_switch	Y' Gain	chr4R	True	0.7	True	subtelomere_switch	False	True	False	-0.3
SRR33298449.149758	chr3R	Y' Gain	chr14R	True	0.0158	False	subtelomere_switch	Y' Gain	chr12R	True	0.9	False	subtelomere_switch	False	True	False	0.884
SRR33298449.448780	chr4L	Y' Gain	chr14L	True	0.0015	False	subtelomere_switch	Y' Gain	chr12R	True	0.99	False	subtelomere_switch	False	True	False	0.988
SRR33298449.402907	chr6L	Y' Gain	chr13	True	0.0124	False	subtelomere_switch	Y' Gain	chr12R	True	0.9	False	subtelomere_switch	False	True	False	0.888
SRR33298449.531567	chr9R	Y' Gain	chr14R	True	0.0065	False	subtelomere_switch	Y' Gain	chr12R	True	0.9	False	subtelomere_switch	False	True	False	0.894
