read_id	own_elem	yp_start	yp_end
SRR33298373.1095097	chr13L-1	10308	15792
SRR33298373.506002	chr13L-1	11251	16729
SRR33298373.945724	chr13L-1	149	3762
SRR33298373.610541	chr13L-1	10959	16437
SRR33298373.641207	chr13L-1	1758	5591
SRR33298373.1152182	chr13L-1	8579	14061
SRR33298373.121809	chr16R-1	9259	12066
SRR33298373.943498	chr16R-1	162	5466
SRR33298373.239569	chr16R-1	8037	13177
SRR33298373.749336	chr16R-1	6348	11649
SRR33298373.971134	chr16R-1	6345	11643
SRR33298373.47477	chr16R-1	7983	12644
SRR33298373.45603	chr10L-1	18885	25756
SRR33298373.473704	chr10L-1	16889	22443
SRR33298373.1329173	chr10L-1	19441	26318
SRR33298373.55237	chr10L-1	188	7052
SRR33298373.133073	chr10L-1	253	7122
SRR33298373.677286	chr10L-1	18888	25761
SRR33298373.115279	chr2L-1	7893	13661
SRR33298373.424818	chr2L-1	9674	15593
SRR33298373.1377147	chr2L-1	9786	15752
SRR33298373.972119	chr2L-1	9792	12960
SRR33298373.1374317	chr2L-1	185	4806
SRR33298373.725627	chr2L-1	9745	15631
