sample	strain	chr_end	read_id	copy_index	n_copies	true_element	matched_element	matched_end	yp_start	yp_end	read_length	telo_side
6991_day0_TeloTag	6991	chr10L	SRR33298460.591433	1	1	E-chr10L-1	E-chr9L-1	chr9L	273	7107	25772	beginning
6991_day0_TeloTag	6991	chr12R	SRR33298460.487981	3	7	E-chr12R-3	E-chr14L-2	chr14L	289	47688	58696	beginning
6991_day0_TeloTag	6991	chr12R	SRR33298460.487981	6	7	E-chr12R-6	E-chr14L-2	chr14L	289	47688	58696	beginning
6991_day0_TeloTag	6991	chr12R	SRR33298460.89640	3	7	E-chr12R-3	E-chr14L-2	chr14L	11022	58367	58585	end
6991_day0_TeloTag	6991	chr12R	SRR33298460.89640	4	7	E-chr12R-4	E-chr14L-2	chr14L	11022	58367	58585	end
6991_day0_TeloTag	6991	chr12R	SRR33298460.417467	2	7	E-chr12R-2	E-chr14L-2	chr14L	68	47505	58509	beginning
6991_day0_TeloTag	6991	chr12R	SRR33298460.493838	2	7	E-chr12R-2	E-chr14L-2	chr14L	162	47145	57823	beginning
6991_day0_TeloTag	6991	chr12R	SRR33298460.493838	3	7	E-chr12R-3	E-chr14L-2	chr14L	162	47145	57823	beginning
6991_day0_TeloTag	6991	chr12R	SRR33298460.493838	5	7	E-chr12R-5	E-chr14L-2	chr14L	162	47145	57823	beginning
6991_day0_TeloTag	6991	chr12R	SRR33298460.82770	3	7	E-chr12R-3	E-chr14L-2	chr14L	10885	57655	57810	end
6991_day0_TeloTag	6991	chr12R	SRR33298460.82770	5	7	E-chr12R-5	E-chr14L-2	chr14L	10885	57655	57810	end
6991_day0_TeloTag	6991	chr12R	SRR33298460.82770	6	7	E-chr12R-6	E-chr14L-2	chr14L	10885	57655	57810	end
6991_day0_TeloTag	6991	chr12R	SRR33298460.82770	7	7	E-chr12R-7	E-chr14L-2	chr14L	10885	57655	57810	end
6991_day0_TeloTag	6991	chr12R	SRR33298460.334509	2	7	E-chr12R-2	E-chr14L-2	chr14L	10989	57565	57824	end
6991_day0_TeloTag	6991	chr12R	SRR33298460.334509	4	7	E-chr12R-4	E-chr14L-2	chr14L	10989	57565	57824	end
6991_day0_TeloTag	6991	chr12R	SRR33298460.334509	5	7	E-chr12R-5	E-chr14L-2	chr14L	10989	57565	57824	end
6991_day0_TeloTag	6991	chr12R	SRR33298460.2365	3	7	E-chr12R-3	E-chr14L-2	chr14L	251	46183	57199	beginning
6991_day0_TeloTag	6991	chr12R	SRR33298460.2365	4	7	E-chr12R-4	E-chr14L-2	chr14L	251	46183	57199	beginning
6991_day0_TeloTag	6991	chr12R	SRR33298460.2365	5	7	E-chr12R-5	E-chr14L-2	chr14L	251	46183	57199	beginning
6991_day0_TeloTag	6991	chr12R	SRR33298460.2365	7	7	E-chr12R-7	E-chr14L-2	chr14L	251	46183	57199	beginning
6991_day0_TeloTag	6991	chr12R	SRR33298460.484595	2	7	E-chr12R-2	E-chr14L-2	chr14L	188	46070	57071	beginning
6991_day0_TeloTag	6991	chr12R	SRR33298460.484595	4	7	E-chr12R-4	E-chr14L-2	chr14L	188	46070	57071	beginning
6991_day0_TeloTag	6991	chr12R	SRR33298460.484595	5	7	E-chr12R-5	E-chr14L-2	chr14L	188	46070	57071	beginning
6991_day0_TeloTag	6991	chr12R	SRR33298460.484595	6	7	E-chr12R-6	E-chr14L-2	chr14L	188	46070	57071	beginning
6991_day0_TeloTag	6991	chr12R	SRR33298460.290697	2	7	E-chr12R-2	E-chr14L-2	chr14L	150	43998	53350	beginning
