chr_end	n_a	n_b	pct_recomb_a	pct_recomb_b	delta	pct_gain_a	pct_gain_b	pct_loss_a	pct_loss_b	top_source_a	top_source_b	source_agrees	verdict
chr1L	455	213	1.5	3.3	1.7	0.7	2.3	0.0	0.0	chr1R	chr1R	True	ok
chr1R	156	58	0.0	0.0	0.0	0.0	0.0	0.0	0.0			True	ok
chr2L	838	400	0.2	0.5	0.3	0.1	0.0	0.0	0.0	chr2L		True	ok
chr2R	928	419	1.4	1.9	0.5	1.1	1.7	0.0	0.0	chr7	chr7	True	ok
chr3L	880	421	0.0	0.0	0.0	0.0	0.0	0.0	0.0			True	ok
chr3R	894	448	0.4	0.9	0.4	0.4	0.7	0.0	0.0	chr7R	chr7R	True	ok
chr4L	565	254	2.8	0.8	-2.0	1.1	0.4	0.0	0.0	chr10R	chr10R	True	ok
chr4R	178	68	18.0	17.6	-0.3	1.1	2.9	16.9	14.7	chr4R	chr4R	True	ok
chr5L	1026	478	0.3	0.2	-0.1	0.0	0.0	0.2	0.2	chr10L		True	ok
chr5R	1028	446	1.1	1.1	0.1	0.8	0.4	0.2	0.0	chr5R	chr3L	False	ok
chr6L	663	319	0.6	1.9	1.3	0.0	0.6	0.6	1.3		chr6L	True	ok
chr6R	1143	572	0.0	0.0	0.0	0.0	0.0	0.0	0.0			True	ok
chr7L	1133	523	0.4	0.6	0.2	0.3	0.6	0.0	0.0	chr12R	chr14L	False	ok
chr7R	807	330	0.7	0.9	0.2	0.6	0.9	0.1	0.0	chr14L	chr12R	False	ok
chr8L	1099	484	0.2	0.4	0.2	0.1	0.4	0.1	0.0	chr13L	chr14L	False	ok
chr8R	294	106	3.7	1.9	-1.9	2.4	0.9	1.4	0.9	chr14	chr14	True	ok
chr9L	508	197	0.6	0.5	-0.1	0.2	0.0	0.4	0.5	chr12		True	ok
chr9R	969	476	0.2	0.2	0.0	0.2	0.0	0.0	0.0	chr13L	chr10R	False	ok
chr10L	572	259	0.7	1.9	1.2	0.2	1.2	0.0	0.0	chr4R	chr12	False	ok
chr10R	709	308	4.9	3.6	-1.4	2.7	1.3	0.0	0.0	chr4L	chr4L	True	ok
chr11L	1069	446	0.5	0.0	-0.5	0.2	0.0	0.0	0.0	chr10L		True	ok
chr11R	891	401	2.2	0.7	-1.5	0.6	0.0	0.0	0.0	chr3R	chr14L	False	ok
chr12L	1118	519	0.2	0.2	0.0	0.1	0.0	0.1	0.2	chr12L		True	ok
chr12R	121	28	38.8	28.6	-10.3	11.6	7.1	27.3	21.4	chr4	chr3R	False	FLAG
chr13L	921	381	3.8	2.4	-1.4	1.8	1.3	0.8	0.5	chr14	chr14	True	ok
chr13R	778	355	0.4	0.6	0.2	0.3	0.6	0.0	0.0	chr15R	chr15R	True	ok
chr14L	219	74	18.3	20.3	2.0	5.5	6.8	12.8	13.5	chr14L	chr14L	True	ok
chr14R	890	392	0.8	1.3	0.5	0.0	0.3	0.4	0.8	chr10L	chr2L	False	ok
chr15L	1161	508	0.3	0.2	-0.1	0.3	0.0	0.0	0.0	chr12R	chr4L	False	ok
chr15R	606	244	0.5	0.4	-0.1	0.5	0.0	0.0	0.0	chr15R	chr10L	False	ok
chr16L	598	265	1.0	0.8	-0.2	1.0	0.8	0.0	0.0	chr12R	chr16L	False	ok
chr16R	1132	472	0.8	0.6	-0.2	0.7	0.2	0.0	0.0	chr14	chr16R	False	ok
