chr_end	n_reads	ref_yprimes	n_loss	pct_loss	real_contraction	rm_miss	unconfirmed_end	other	pct_real	pct_rm_miss	rm_miss_flag
chr1L	276	0	0	0.0	0	0	0	0	0.0	0.0	
chr1R	121	0	0	0.0	0	0	0	0	0.0	0.0	
chr2L	153	1	0	0.0	0	0	0	0	0.0	0.0	
chr2R	153	0	0	0.0	0	0	0	0	0.0	0.0	
chr3L	226	0	0	0.0	0	0	0	0	0.0	0.0	
chr3R	192	0	0	0.0	0	0	0	0	0.0	0.0	
chr4L	76	0	0	0.0	0	0	0	0	0.0	0.0	
chr4R	43	7	43	100.0	38	0	5	0	88.4	0.0	
chr5L	161	1	1	0.6	0	0	1	0	0.0	0.0	
chr5R	157	1	0	0.0	0	0	0	0	0.0	0.0	
chr6L	171	1	2	1.2	1	0	1	0	50.0	0.0	
chr6R	201	0	0	0.0	0	0	0	0	0.0	0.0	
chr7L	189	0	0	0.0	0	0	0	0	0.0	0.0	
chr7R	138	1	0	0.0	0	0	0	0	0.0	0.0	
chr8L	175	1	0	0.0	0	0	0	0	0.0	0.0	
chr8R	45	1	0	0.0	0	0	0	0	0.0	0.0	
chr9L	98	1	0	0.0	0	0	0	0	0.0	0.0	
chr9R	184	0	0	0.0	0	0	0	0	0.0	0.0	
chr10L	98	1	1	1.0	0	0	1	0	0.0	0.0	
chr10R	89	0	0	0.0	0	0	0	0	0.0	0.0	
chr11L	168	0	0	0.0	0	0	0	0	0.0	0.0	
chr11R	137	0	0	0.0	0	0	0	0	0.0	0.0	
chr12L	183	1	0	0.0	0	0	0	0	0.0	0.0	
chr12R	16	6	2	12.5	1	0	1	0	50.0	0.0	
chr13L	98	4	95	96.9	85	0	10	0	89.5	0.0	
chr13R	146	0	0	0.0	0	0	0	0	0.0	0.0	
chr14L	29	5	5	17.2	3	0	2	0	60.0	0.0	
chr14R	144	1	2	1.4	1	0	1	0	50.0	0.0	
chr15L	146	0	0	0.0	0	0	0	0	0.0	0.0	
chr15R	101	1	0	0.0	0	0	0	0	0.0	0.0	
chr16L	92	1	0	0.0	0	0	0	0	0.0	0.0	
chr16R	170	1	0	0.0	0	0	0	0	0.0	0.0	
