read_id	chr_end	read_length	telo_side	anchor_start	anchor_end	spacer_start	spacer_end	spacer_size	spacer_source	spacer_plurality_source	spacer_switch_pos	spacer_best_identity	spacer_second_best_identity	spacer_confidence	spacer_recombination	spacer_quick_check_skipped	x_element_start	x_element_end	x_element_size	x_element_source	x_element_switch_pos	x_element_best_identity	x_element_second_best_identity	x_element_confidence	x_element_recombination	x_element_cluster_id	y_prime_count_on_read	y_prime_observed_array	y_prime_positions	y_prime_start	y_prime_end	y_prime_size	y_prime_recombination_status	y_prime_divergence_idx	y_prime_expected_at_divergence	y_prime_found_at_divergence	y_prime_downstream_consistent	y_prime_compatible_ends	y_prime_gained_segment	y_prime_fingerprint_window	y_prime_fingerprint_len	y_prime_fingerprint_kind	y_prime_array_matches	y_prime_self_match	y_prime_fingerprint_source	y_prime_fingerprint_specificity	y_prime_path	y_prime_path_n_segments	y_prime_path_primary_donor	y_prime_path_primary_len	y_prime_path_circles	y_prime_path_its_verified	y_prime_path_its_checked	recombination_source	recombination_detected	overall_confidence	cross_feature_consistent	cross_feature_detail	is_complex_event	confidence_factors	source_votes	source_tie	source_resolution	recombination_mechanism	y_prime_donor	telomere_end_confirmed	telomere_repeat_length	y_prime_probe_count	y_prime_tail_bp	qc_flags
SRR33298447.490537	chr11L	75654	beginning	70623	75654	65533	70623	5090	chr11L	chr11L	-1	98.39	0.0	0.95	no_change	False	64797	65533	736	chr11L	-1	100.0	90.52	0.9739	no_change	ID5	11	ID7,ID2,ID7,ID2,ID7,ID3,ID3,ID3,ID3,ID3,ID3	ID7:59261-64736;ID2:52455-59099;ID7:46833-52304;ID2:40011-46671;ID7:34383-39860;ID3:28715-34203;ID3:23065-28540;ID3:17402-22890;ID3:11746-17227;ID3:6094-11571;ID3:173-5919	173	64736	64563	Y' Gain	0		ID7	True	chr13L	ID7,ID2,ID7,ID2,ID7,ID3,ID3,ID3,ID3,ID3,ID3	ID7,ID2,ID7,ID2,ID7	5	periodic	chr13L:periodic	False	chr13L	1.0	chr13L[1-4]:ID7,ID2,ID7,ID2,ID7(circ x1.2 strong) > chr14L[3]:ID3,ID3,ID3,ID3,ID3,ID3(circ x6.0 strong)	2	chr14L	6	chr13L[1-4]:ID7,ID2,ID7,ID2x1.2:strong;chr14L[3]:ID3x6.0:strong	8	10	chr13L	True	0.66	True	y_prime=chr13L; y_prime_compatible=chr13L; y_prime_array_matches=chr13L:periodic; y_prime_status=Y' Gain; y_prime_path=chr13L[1-4]:ID7,ID2,ID7,ID2,ID7(circ x1.2 strong) > chr14L[3]:ID3,ID3,ID3,ID3,ID3,ID3(circ x6.0 strong)	False	base=0.60, complexity=1.10	chr13L=1.00	False	arm	donor_transfer	chr13L	True	137.0	11.0	173	
SRR33298447.268817	chr11R	53022	beginning	48000	53022	38017	48000	9983	chr11R	chr11R	-1	97.64	0.0	0.95	no_change	False	37314	38017	703	chr11R	-1	98.3	89.87	0.9059	no_change	ID6	6	ID7,ID2,ID7,ID7,ID2,ID2	ID7:31765-37250;ID2:24957-31603;ID7:19351-24808;ID7:13736-19194;ID2:6933-13574;ID2:121-6769	121	37250	37129	Y' Gain	0		ID7	True	chr13L	ID7,ID2,ID7,ID7,ID2,ID2	ID7,ID2,ID7	3	contiguous	chr13L:contiguous	False	chr13L	1.0	chr13L[1-3]:ID7,ID2,ID7,ID7,ID2(circ x1.7 strong) > chr12R|chr13L|chr14L|chr15R|chr4R:ID2	2	chr13L	5	chr13L[1-3]:ID7,ID2,ID7x1.7:strong	3	5	chr13L	True	0.66	True	y_prime=chr13L; y_prime_compatible=chr13L; y_prime_array_matches=chr13L:contiguous; y_prime_status=Y' Gain; y_prime_path=chr13L[1-3]:ID7,ID2,ID7,ID7,ID2(circ x1.7 strong) > chr12R|chr13L|chr14L|chr15R|chr4R:ID2	False	base=0.60, complexity=1.10	chr13L=1.00	False	arm	donor_transfer	chr13L	False	86.0	6.0	121	
SRR33298447.28086	chr12L	30204	end	0	5024	5024	5155	131	chr12L	chr12L	-1	100.0	0.0	0.95	no_change	False	5155	5569	414	chr12L	-1	99.28	94.12	0.7525	no_change	ID7	4	ID1,ID2,ID7,ID2	ID1:5599-10801;ID2:10964-17615;ID7:17766-23258;ID2:23406-30049	5599	30049	24450	Y' Gain	1		ID2	True	chr12L,chr12R,chr16R,chr5R,chr8L,chr8R	ID2,ID7,ID2	ID2,ID7,ID2	3	contiguous	chr13L:contiguous	False	chr13L	1.0	chr13L[2-3]:ID2,ID7,ID2(circ x1.5 moderate | alt chr13L[2-3] + chr13L[2])	1	chr13L	3	chr13L[2-3]:ID2,ID7x1.5:moderate	1	2	chr13L	True	0.66	True	y_prime=chr13L; y_prime_compatible=chr12L,chr12R,chr16R,chr5R,chr8L; y_prime_array_matches=chr13L:contiguous; y_prime_status=Y' Gain; y_prime_path=chr13L[2-3]:ID2,ID7,ID2(circ x1.5 moderate | alt chr13L[2-3] + chr13L[2])	False	base=0.60, complexity=1.10	chr13L=1.00	False	arm	donor_transfer	chr13L	True	147.0	4.0	155	
SRR33298447.133475	chr12R	85698	beginning	80658	85698	75555	80658	5103	chr12R	chr12R	-1	98.02	0.0	0.95	no_change	False	74813	75555	742	chr12R	-1	98.12	89.45	0.916	no_change	ID8	11	ID1,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2	ID1:68212-74689;ID2:61413-68052;ID2:54636-61239;ID2:47806-54469;ID2:40999-47649;ID2:34198-40852;ID2:27391-34028;ID2:20585-27236;ID2:13771-20427;ID2:6961-13597;ID2:152-6793	152	74689	74537	Y' Gain	6		ID2	True	chr12L,chr12R,chr16R,chr5R,chr8L,chr8R	ID2,ID2,ID2,ID2,ID2	ID2,ID2,ID2,ID2,ID2	5	contiguous	chr12R:contiguous;chr4R:contiguous	True		0.5	chr13L?[2]:ID2 > self[2-4]:ID2,ID2,ID2,ID2(circ x1.3 moderate | alt chr12R[2] + chr12R[2-4])	2	self	4	self[2-4]:ID2,ID2,ID2x1.3:moderate	4	4	chr12R	True	0.33	True	supplementary=chr4; y_prime_compatible=chr12L,chr12R,chr16R,chr5R,chr8L; y_prime_array_matches=chr12R:contiguous,chr4R:contiguous; y_prime_status=Y' Gain; y_prime_path=chr13L?[2]:ID2 > self[2-4]:ID2,ID2,ID2,ID2(circ x1.3 moderate | alt chr12R[2] + chr12R[2-4])	False	base=0.30, complexity=1.10	chr4=0.25	False	self	tandem_amplification_same_end		True	95.0	11.0	152	
SRR33298447.285573	chr13L	71710	end	0	3036	3036	7504	4468	chr13L	chr13L	-1	99.63	0.0	0.95	no_change	False	7504	8257	753	chr13L	-1	99.6	89.69	0.9918	no_change	ID1	10	ID7,ID2,ID7,ID2,ID7,ID2,ID2,ID2,ID7,ID2	ID7:8311-13798;ID2:13960-20607;ID7:20760-26239;ID2:26399-33041;ID7:33185-38656;ID2:38818-45477;ID2:45643-52299;ID2:52462-59110;ID7:59263-64751;ID2:64913-71564	8311	71564	63253	Y' Gain	4		ID7	True	chr13L	ID7,ID2,ID2,ID2,ID7,ID2	ID7,ID2,ID2	3	contiguous	chr13L:rotation	True		1.0	self[1-2]:ID7,ID2 > self[2-4]:ID2,ID2,ID7,ID2(circ x1.3 moderate | alt chr13L[2] + chr13L[2-4])	2	self	4	self[2-4]:ID2,ID2,ID7x1.3:moderate	4	5	chr13L	True	0.33	True	y_prime_compatible=chr13L; y_prime_array_matches=chr13L:rotation; y_prime_status=Y' Gain; y_prime_path=self[1-2]:ID7,ID2 > self[2-4]:ID2,ID2,ID7,ID2(circ x1.3 moderate | alt chr13L[2] + chr13L[2-4])	False	base=0.30, complexity=1.10		False	self	tandem_amplification_same_end		False	122.0	10.0	146	
SRR33298447.28156	chr13L	58821	beginning	53793	58821	49336	53793	4457	chr13L	chr13L	-1	96.44	0.0	0.95	no_change	False	48579	49336	757	chr13L	-1	98.55	89.0	0.9634	no_change	ID1	8	ID7,ID2,ID7,ID2,ID7,ID7,ID2,ID7	ID7:43039-48525;ID2:36208-42869;ID7:30579-36057;ID2:23804-30415;ID7:18174-23651;ID7:12532-18012;ID2:5742-12370;ID7:110-5593	110	48525	48415	Y' Gain	4		ID7	True	chr13L	ID7,ID7,ID2,ID7	ID7,ID7,ID2	3	contiguous	chr13L:rotation	True		1.0	self[1-3]:ID7,ID7,ID2,ID7(circ x1.3 moderate | alt chr13L[1] + chr13L[1-3])	1	self	4	self[1-3]:ID7,ID7,ID2x1.3:moderate	3	3	chr13L	True	0.33	True	supplementary=chr2; y_prime_compatible=chr13L; y_prime_array_matches=chr13L:rotation; y_prime_status=Y' Gain; y_prime_path=self[1-3]:ID7,ID7,ID2,ID7(circ x1.3 moderate | alt chr13L[1] + chr13L[1-3])	False	base=0.30, complexity=1.10	chr2=0.25	False	self	tandem_amplification_same_end		True	75.0	8.0	110	
SRR33298447.85642	chr14R	33965	beginning	28948	33965	25703	28948	3245	chr14R	chr14R	-1	94.59	0.0	0.95	no_change	False	24905	25703	798	chr14R	-1	98.75	89.6	0.9456	no_change	ID11	4	ID2,ID7,ID2,ID7	ID2:18197-24829;ID7:12572-18044;ID2:5756-12410;ID7:131-5610	131	24829	24698	1st Y' Change	0	ID6	ID2	False	chr15R,chr4R	ID2,ID7,ID2,ID7	ID2,ID7,ID2,ID7	4	contiguous	chr13L:rotation	False	chr13L	1.0	chr13L[1-2]:ID2,ID7,ID2,ID7(circ x2.0 moderate | alt chr13L[2-4] + chr13L[1])	1	chr13L	4	chr13L[1-2]:ID2,ID7x2.0:moderate	3	3	chr13L	True	0.66	True	y_prime=chr13L; y_prime_compatible=chr15R,chr4R; y_prime_array_matches=chr13L:rotation; y_prime_status=1st Y' Change; y_prime_path=chr13L[1-2]:ID2,ID7,ID2,ID7(circ x2.0 moderate | alt chr13L[2-4] + chr13L[1])	False	base=0.60, complexity=1.10	chr13L=1.00	False	arm	donor_transfer	chr13L	True	91.0	4.0	131	
SRR33298447.151294	chr15R	57651	end	0	5042	5042	18508	13466	chr15R	chr15R	-1	99.25	0.0	0.95	no_change	False	18508	19202	694	chr15R	-1	99.71	90.69	0.9484	no_change	ID2	6	ID2,ID7,ID2,ID7,ID2,ID2	ID2:19202-25857;ID7:26006-31494;ID2:31658-38310;ID7:38464-43946;ID2:44102-50749;ID2:50910-57564	19202	57564	38362	Y' Gain	1		ID7	True	chr15R,chr4R	ID7,ID2,ID7,ID2,ID2	ID7,ID2,ID7,ID2	4	contiguous	chr13L:contiguous	False	chr13L	1.0	chr13L[1-2]:ID7,ID2,ID7,ID2(circ x2.0 weak | alt chr13L[1-4]) > self[1]:ID2	2	chr13L	4	chr13L[1-2]:ID7,ID2x2.0:weak	4	4	chr13L	True	0.66	True	y_prime=chr13L; y_prime_compatible=chr15R,chr4R; y_prime_array_matches=chr13L:contiguous; y_prime_status=Y' Gain; y_prime_path=chr13L[1-2]:ID7,ID2,ID7,ID2(circ x2.0 weak | alt chr13L[1-4]) > self[1]:ID2	False	base=0.60, complexity=1.10	chr13L=1.00	False	arm	donor_transfer	chr13L	True	78.0	6.0	87	
SRR33298447.148608	chr1R	59679	beginning	56261	59679	31281	56261	24980	chr1R	chr1R	-1	98.8	0.0	0.95	no_change	False	30546	31281	735	chr1R	-1	100.0	90.82	0.959	no_change	ID15	5	ID7,ID2,ID7,ID2,ID7	ID7:25007-30495;ID2:18202-24845;ID7:12568-18052;ID2:5760-12406;ID7:134-5614	134	30495	30361	Y' Gain	0		ID7	True	chr13L	ID7,ID2,ID7,ID2,ID7	ID7,ID2,ID7,ID2,ID7	5	periodic	chr13L:periodic	False	chr13L	1.0	chr13L[1-2]:ID7,ID2,ID7,ID2,ID7(circ x2.5 strong)	1	chr13L	5	chr13L[1-2]:ID7,ID2x2.5:strong	4	4	chr13L	True	0.66	True	y_prime=chr13L; y_prime_compatible=chr13L; y_prime_array_matches=chr13L:periodic; y_prime_status=Y' Gain; y_prime_path=chr13L[1-2]:ID7,ID2,ID7,ID2,ID7(circ x2.5 strong)	False	base=0.60, complexity=1.10	chr13L=1.00	False	arm	donor_transfer	chr13L	True	98.0	5.0	134	
SRR33298447.151907	chr2L	35172	beginning	30135	35172	26136	30135	3999	chr2L	chr2L	-1	98.82	0.0	0.95	no_change	False	25379	26136	757	chr2L	-1	99.34	91.43	0.8895	no_change	ID16	4	ID4,ID2,ID7,ID2	ID4:19402-25377;ID2:12598-19240;ID7:6955-12446;ID2:159-6805	159	25377	25218	Y' Gain	1		ID2	True	chr2L,chr6L	ID2,ID7,ID2	ID2,ID7,ID2	3	contiguous	chr13L:contiguous	False	chr13L	1.0	chr13L[2-3]:ID2,ID7,ID2(circ x1.5 moderate | alt chr13L[2-3] + chr13L[2])	1	chr13L	3	chr13L[2-3]:ID2,ID7x1.5:moderate	1	2	chr13L	True	0.66	True	y_prime=chr13L; y_prime_compatible=chr2L,chr6L; y_prime_array_matches=chr13L:contiguous; y_prime_status=Y' Gain; y_prime_path=chr13L[2-3]:ID2,ID7,ID2(circ x1.5 moderate | alt chr13L[2-3] + chr13L[2])	False	base=0.60, complexity=1.10	chr13L=1.00	False	arm	donor_transfer	chr13L	True	124.0	4.0	159	
