read_id	chr_end	y_prime_recombination_status_a	recombination_source_a	recombination_detected_a	overall_confidence_a	is_complex_event_a	recombination_mechanism_a	y_prime_recombination_status_b	recombination_source_b	recombination_detected_b	overall_confidence_b	is_complex_event_b	recombination_mechanism_b	status_changed	source_changed	detected_changed	dconf
SRR33298447.242606	chr10L	Y' Gain	chr12	True	0.3	False	single_y_prime_change	Y' Gain	chr14L	True	0.33	False	donor_transfer	False	True	False	0.03
SRR33298447.326621	chr10L	1st Y' Change	chr13L	True	0.33	False	donor_transfer_candidates:2	1st Y' Change	chr12	True	0.3	False	unmatched_array	False	True	False	-0.03
SRR33298447.148623	chr10L	1st Y' Change	ambiguous	True	0.3	False	single_y_prime_change	No Change		False	0.95	False		True	True	True	0.65
SRR33298447.94058	chr10R	Y' Gain	chr14L	True	0.44	False	donor_transfer	Y' Gain	chr13L	True	0.33	False	unmatched_array	False	True	False	-0.11
SRR33298447.490537	chr11L	Y' Gain	chr13L	True	-0.0026	True	subtelomere_switch	Y' Gain	chr12R	True	0.63	True	subtelomere_switch	False	True	False	0.633
SRR33298447.149279	chr11L	Y' Gain	chr13L	True	0.0036	True	subtelomere_switch	Y' Gain	chr14L	True	0.99	False	subtelomere_switch	False	True	False	0.986
SRR33298447.342771	chr11L	Y' Gain	chr14R	True	0.0026	False	subtelomere_switch	Y' Gain	chr12R	True	0.9	False	subtelomere_switch	False	True	False	0.897
SRR33298447.31448	chr11L	Y' Gain	chr14R	True	0.0063	False	subtelomere_switch	Y' Gain	chr12R	True	0.9	False	subtelomere_switch	False	True	False	0.894
SRR33298447.268817	chr11R	Y' Gain	chr14L	True	0.66	False	donor_transfer	Y' Gain	chr13L	True	0.66	False	donor_transfer	False	True	False	0.0
SRR33298447.504741	chr11R	Y' Gain	chr2L	True	0.0021	False	subtelomere_switch	Y' Gain	chr6L	True	0.99	False	subtelomere_switch	False	True	False	0.988
SRR33298447.149420	chr12L	Y' Gain	chr12R	True	0.33	False	donor_transfer_candidates:3	1st Y' Change	chr14L	True	0.44	False	donor_transfer	True	True	False	0.11
SRR33298447.228560	chr12L	Y' Gain	ambiguous	True	0.3	False	single_y_prime_change	1st Y' Change	chr14L	True	0.44	False	donor_transfer	True	True	False	0.14
SRR33298447.509006	chr12L	Y' Gain	ambiguous	True	0.3	False	single_y_prime_change	Y' Gain	chr13L	True	0.33	False	donor_transfer	False	True	False	0.03
SRR33298447.178597	chr12L	Y' Gain	ambiguous	True	0.3	False	single_y_prime_change	Y' Gain	chr13L	True	0.33	False	donor_transfer	False	True	False	0.03
SRR33298447.403844	chr12L	Y' Gain	ambiguous	True	0.3	False	single_y_prime_change	Y' Gain	chr14L	True	0.33	False	donor_transfer	False	True	False	0.03
SRR33298447.187416	chr12L	1st Y' Change	ambiguous	True	0.3	False	single_y_prime_change	1st Y' Change	chr2L	True	0.33	False	donor_transfer_candidates:2	False	True	False	0.03
SRR33298447.455079	chr12L	1st Y' Change	ambiguous	True	0.3	False	single_y_prime_change	1st Y' Change	chr2L	True	0.33	False	donor_transfer_candidates:2	False	True	False	0.03
SRR33298447.334785	chr12L	1st Y' Change	ambiguous	True	0.3	False	single_y_prime_change	1st Y' Change	chr2L	True	0.33	False	donor_transfer_candidates:2	False	True	False	0.03
SRR33298447.327852	chr12L	1st Y' Change	ambiguous	True	0.3	False	single_y_prime_change	1st Y' Change	chr2L	True	0.33	False	donor_transfer_candidates:2	False	True	False	0.03
SRR33298447.246386	chr12L	1st Y' Change	ambiguous	True	0.3	False	single_y_prime_change	1st Y' Change	chr2L	True	0.33	False	donor_transfer_candidates:2	False	True	False	0.03
SRR33298447.35952	chr12L	No Change		False	0.95	False		1st Y' Change	chr14L	True	0.33	False	donor_transfer	True	True	True	-0.62
SRR33298447.336695	chr12R	Y' Gain	chr4	True	0.3	False	single_y_prime_change	Y' Gain	chr12R	True	0.33	False	tandem_amplification_same_end	False	True	False	0.03
SRR33298447.81039	chr12R	Y' Gain	chr4	True	0.3	False	single_y_prime_change	Y' Gain	chr12R	True	0.33	False	tandem_amplification_same_end	False	True	False	0.03
SRR33298447.91685	chr12R	Y' Gain	ambiguous	True	0.3	False	single_y_prime_change	Y' Gain	chr12R	True	0.33	False	tandem_amplification_same_end	False	True	False	0.03
SRR33298447.323911	chr12R	Y' Gain	chr4	True	0.3	False	single_y_prime_change	Y' Gain	chr12R	True	0.33	False	tandem_amplification_same_end	False	True	False	0.03
SRR33298447.28156	chr13L	Y' Gain	chr14L	True	0.66	False	donor_transfer	Y' Gain	chr13L	True	0.33	False	tandem_amplification_same_end	False	True	False	-0.33
SRR33298447.20030	chr13L	Y' Gain	chr14L	True	0.44	False	donor_transfer	Y' Gain	ambiguous	True	0.3	False	unmatched_array	False	True	False	-0.14
SRR33298447.80853	chr13L	Y' Gain	chr14L	True	0.44	False	donor_transfer	Y' Gain	ambiguous	True	0.3	False	unmatched_array	False	True	False	-0.14
SRR33298447.315150	chr13L	Y' Gain	chr14	True	0.3	False	single_y_prime_change	Y' Gain	chr13L	True	0.33	False	tandem_amplification_same_end	False	True	False	0.03
SRR33298447.399687	chr13L	Y' Gain	chr14	True	0.3	False	single_y_prime_change	Y' Gain	chr13L	True	0.33	False	tandem_amplification_same_end	False	True	False	0.03
SRR33298447.36358	chr13L	Y' Gain	chr14	True	0.3	False	single_y_prime_change	Y' Gain	chr13L	True	0.33	False	tandem_amplification_same_end	False	True	False	0.03
SRR33298447.330027	chr13L	Y' Gain	chr12L	True	0.33	False	single_y_prime_change	Y' Gain	chr13L	True	0.33	False	tandem_amplification_same_end	False	True	False	0.0
SRR33298447.477648	chr13L	Y' Gain	chr12L	True	0.33	False	single_y_prime_change	Y' Gain	chr14L	True	0.33	False	donor_transfer	False	True	False	0.0
SRR33298447.299712	chr13L	Y' Gain	chr14	True	0.3	False	single_y_prime_change	Y' Gain	chr13L	True	0.33	False	tandem_amplification_same_end	False	True	False	0.03
SRR33298447.298208	chr13L	Y' Recombination	ambiguous	True	0.3	False	single_y_prime_change	Y' Recombination	chr13L	True	0.33	False	tandem_amplification_same_end	False	True	False	0.03
