read_id	chr_end	y_prime_recombination_status_a	recombination_source_a	recombination_detected_a	overall_confidence_a	is_complex_event_a	recombination_mechanism_a	y_prime_recombination_status_b	recombination_source_b	recombination_detected_b	overall_confidence_b	is_complex_event_b	recombination_mechanism_b	status_changed	source_changed	detected_changed	dconf
SRR33298447.242606	chr10L	Y' Gain	chr12	True	0.33	False	donor_transfer_candidates:5	Y' Gain	chr14L	True	0.33	False	donor_transfer	False	True	False	0.0
SRR33298447.326621	chr10L	1st Y' Change	chr14L	True	0.33	False	donor_transfer	1st Y' Change	chr12	True	0.3	False	unmatched_array	False	True	False	-0.03
SRR33298447.148623	chr10L	1st Y' Change	chr14R	True	0.33	False	donor_transfer	No Change		False	0.95	False		True	True	True	0.62
SRR33298447.94058	chr10R	Y' Gain	chr14L	True	0.44	False	donor_transfer	Y' Gain	chr13L	True	0.33	False	donor_transfer	False	True	False	-0.11
SRR33298447.149261	chr10R	Y' Gain	chr14R	True	0.33	False	donor_transfer	Y' Gain	chr13	True	0.3	False	donor_transfer_candidates:4	False	True	False	-0.03
SRR33298447.129817	chr10R	Y' Gain	chr14R	True	0.33	False	donor_transfer	Y' Gain	chr13	True	0.3	False	donor_transfer_candidates:4	False	True	False	-0.03
SRR33298447.312712	chr10R	Y' Gain	chr14R	True	0.33	False	donor_transfer	Y' Gain	chr13	True	0.3	False	donor_transfer_candidates:4	False	True	False	-0.03
SRR33298447.427521	chr10R	No Change	chr14L	True	0.9	False	subtelomere_switch	No Change		False	0.95	False		False	True	True	0.05
SRR33298447.149279	chr11L	Y' Gain	chr13L	True	0.66	False	donor_transfer	Y' Gain	chr14L	True	0.66	False	donor_transfer	False	True	False	0.0
SRR33298447.268817	chr11R	Y' Gain	chr14L	True	0.66	False	donor_transfer	Y' Gain	chr13L	True	0.66	False	donor_transfer	False	True	False	0.0
SRR33298447.149420	chr12L	Y' Gain	chr12R	True	0.33	False	donor_transfer_candidates:3	1st Y' Change	chr14L	True	0.44	False	donor_transfer	True	True	False	0.11
SRR33298447.228560	chr12L	Y' Gain	chr12L	True	0.33	False	tandem_amplification_same_end	1st Y' Change	chr14L	True	0.44	False	donor_transfer	True	True	False	0.11
SRR33298447.509006	chr12L	Y' Gain	chr12L	True	0.33	False	tandem_amplification_same_end	Y' Gain	chr13L	True	0.33	False	donor_transfer	False	True	False	0.0
SRR33298447.178597	chr12L	Y' Gain	chr12L	True	0.33	False	tandem_amplification_same_end	Y' Gain	chr13L	True	0.33	False	donor_transfer	False	True	False	0.0
SRR33298447.403844	chr12L	Y' Gain	chr12L	True	0.33	False	tandem_amplification_same_end	Y' Gain	chr14L	True	0.33	False	donor_transfer	False	True	False	0.0
SRR33298447.272402	chr12L	No Change	chr2L	True	0.9	False	subtelomere_switch	No Change		False	0.95	False		False	True	True	0.05
SRR33298447.35952	chr12L	No Change		False	0.95	False		1st Y' Change	chr14L	True	0.33	False	donor_transfer	True	True	True	-0.62
SRR33298447.28156	chr13L	Y' Gain	chr14L	True	0.66	False	donor_transfer	Y' Gain	chr13L	True	0.33	False	tandem_amplification_same_end	False	True	False	-0.33
SRR33298447.20030	chr13L	Y' Gain	chr14L	True	0.44	False	donor_transfer	Y' Gain	chr13L	True	0.33	False	tandem_amplification_same_end	False	True	False	-0.11
SRR33298447.80853	chr13L	Y' Gain	chr14L	True	0.44	False	donor_transfer	Y' Gain	chr13L	True	0.33	False	tandem_amplification_same_end	False	True	False	-0.11
SRR33298447.477648	chr13L	Y' Gain	chr13L	True	0.33	False	tandem_amplification_same_end	Y' Gain	chr14L	True	0.33	False	donor_transfer	False	True	False	0.0
SRR33298447.455168	chr13L	Y' Recombination	chr13L	True	0.33	False	tandem_amplification_same_end	Y' Recombination	chr14L	True	0.33	False	donor_transfer	False	True	False	0.0
SRR33298447.230163	chr13R	Y' Gain	chr4R	True	0.66	False	donor_transfer	Y' Gain	chr14L	True	0.44	False	donor_transfer	False	True	False	-0.22
SRR33298447.86659	chr13R	Y' Gain	chr14R	True	0.33	False	donor_transfer	Y' Gain	ambiguous	True	0.3	False	donor_transfer_candidates:4	False	True	False	-0.03
SRR33298447.406319	chr13R	Y' Gain	ambiguous	True	0.3	False	donor_transfer_candidates:8	Y' Gain	chr14L	True	0.33	False	donor_transfer_candidates:3	False	True	False	0.03
SRR33298447.86856	chr13R	Y' Gain	ambiguous	True	0.3	False	donor_transfer_candidates:8	Y' Gain	chr14L	True	0.33	False	donor_transfer_candidates:3	False	True	False	0.03
SRR33298447.448867	chr13R	Y' Gain	ambiguous	True	0.3	False	donor_transfer_candidates:8	Y' Gain	chr14L	True	0.33	False	donor_transfer_candidates:3	False	True	False	0.03
SRR33298447.240039	chr14R	1st Y' Change	chr12R	True	0.33	False	donor_transfer	1st Y' Change	chr14L	True	0.44	False	donor_transfer	False	True	False	0.11
SRR33298447.490698	chr14R	1st Y' Change	chr4R	True	0.33	False	donor_transfer	1st Y' Change	chr12R	True	0.33	False	donor_transfer_candidates:2	False	True	False	0.0
SRR33298447.169739	chr14R	1st Y' Change	chr12R	True	0.33	False	donor_transfer_candidates:3	1st Y' Change	chr14L	True	0.44	False	donor_transfer	False	True	False	0.11
SRR33298447.248157	chr14R	Y' Gain	chr12	True	0.33	False	donor_transfer_candidates:5	Y' Gain	chr14L	True	0.33	False	donor_transfer	False	True	False	0.0
SRR33298447.381398	chr14R	1st Y' Change	chr13L	True	0.33	False	donor_transfer	1st Y' Change	chr12	True	0.3	False	unmatched_array	False	True	False	-0.03
SRR33298447.89803	chr14R	1st Y' Change	chr10L	True	0.33	False	donor_transfer_candidates:2	No Change		False	0.95	False		True	True	True	0.62
SRR33298447.443653	chr14R	1st Y' Change	chr10L	True	0.33	False	donor_transfer_candidates:2	No Change		False	0.95	False		True	True	True	0.62
SRR33298447.514517	chr14R	1st Y' Change	chr10L	True	0.33	False	donor_transfer_candidates:2	No Change		False	0.95	False		True	True	True	0.62
SRR33298447.152320	chr14R	1st Y' Change	chr10L	True	0.33	False	donor_transfer_candidates:2	No Change		False	0.95	False		True	True	True	0.62
SRR33298447.206381	chr14R	1st Y' Change	chr10L	True	0.33	False	donor_transfer_candidates:2	No Change		False	0.95	False		True	True	True	0.62
SRR33298447.87674	chr14R	1st Y' Change	chr10L	True	0.33	False	donor_transfer_candidates:2	No Change		False	0.95	False		True	True	True	0.62
SRR33298447.308692	chr14R	1st Y' Change	chr10L	True	0.33	False	donor_transfer_candidates:2	No Change		False	0.95	False		True	True	True	0.62
SRR33298447.451567	chr14R	1st Y' Change	ambiguous	True	0.3	False	donor_transfer_candidates:8	1st Y' Change	chr14L	True	0.33	False	donor_transfer_candidates:3	False	True	False	0.03
SRR33298447.88513	chr14R	1st Y' Change	ambiguous	True	0.3	False	donor_transfer_candidates:8	1st Y' Change	chr14L	True	0.33	False	donor_transfer_candidates:3	False	True	False	0.03
SRR33298447.296899	chr14R	1st Y' Change	ambiguous	True	0.3	False	donor_transfer_candidates:8	1st Y' Change	chr14L	True	0.33	False	donor_transfer_candidates:3	False	True	False	0.03
SRR33298447.501979	chr14R	1st Y' Change	ambiguous	True	0.3	False	donor_transfer_candidates:5	1st Y' Change	chr14L	True	0.33	False	donor_transfer	False	True	False	0.03
SRR33298447.475984	chr15L	Y' Gain	chr12R	True	0.33	False	donor_transfer	Y' Gain	ambiguous	True	0.3	False	donor_transfer_candidates:6	False	True	False	-0.03
SRR33298447.91511	chr15R	Y' Gain	chr14L	True	0.66	False	donor_transfer	1st Y' Change	chr14L	True	0.66	False	donor_transfer	True	False	False	0.0
SRR33298447.153518	chr15R	Y' Gain	chr4R	True	0.33	False	donor_transfer	1st Y' Change	chr14L	True	0.44	False	donor_transfer	True	True	False	0.11
SRR33298447.62578	chr15R	Y' Gain	chr12R	True	0.33	False	donor_transfer_candidates:2	Y' Gain	chr15R	True	0.33	False	tandem_amplification_same_end	False	True	False	0.0
SRR33298447.205787	chr15R	Y' Gain	chr4R	True	0.33	False	donor_transfer_candidates:3	Y' Gain	chr15R	True	0.33	False	tandem_amplification_same_end	False	True	False	0.0
SRR33298447.227279	chr15R	Y' Gain	chr4R	True	0.33	False	donor_transfer_candidates:5	Y' Gain	chr14L	True	0.33	False	donor_transfer	False	True	False	0.0
SRR33298447.388878	chr15R	No Change		False	0.95	False		1st Y' Change	chr14L	True	0.33	False	donor_transfer_candidates:3	True	True	True	-0.62
SRR33298447.309776	chr15R	No Change		False	0.95	False		1st Y' Change	chr14L	True	0.33	False	donor_transfer_candidates:3	True	True	True	-0.62
SRR33298447.91168	chr15R	No Change		False	0.95	False		1st Y' Change	chr14L	True	0.33	False	donor_transfer_candidates:3	True	True	True	-0.62
SRR33298447.264443	chr15R	No Change		False	0.95	False		1st Y' Change	chr14L	True	0.33	False	donor_transfer_candidates:3	True	True	True	-0.62
SRR33298447.183743	chr15R	1st Y' Change	chr5L	True	0.33	False	donor_transfer	1st Y' Change	ambiguous	True	0.3	False	donor_transfer_candidates:4	False	True	False	-0.03
SRR33298447.151331	chr15R	No Change		False	0.95	False		1st Y' Change	chr14L	True	0.33	False	donor_transfer_candidates:3	True	True	True	-0.62
SRR33298447.339733	chr15R	No Change		False	0.95	False		1st Y' Change	chr14L	True	0.33	False	donor_transfer_candidates:3	True	True	True	-0.62
SRR33298447.333143	chr15R	No Change		False	0.95	False		1st Y' Change	chr14L	True	0.33	False	donor_transfer_candidates:3	True	True	True	-0.62
SRR33298447.414121	chr15R	No Change		False	0.95	False		1st Y' Change	chr14L	True	0.33	False	donor_transfer_candidates:3	True	True	True	-0.62
SRR33298447.336298	chr15R	No Change		False	0.95	False		1st Y' Change	chr14L	True	0.33	False	donor_transfer_candidates:3	True	True	True	-0.62
SRR33298447.151899	chr15R	No Change		False	0.95	False		1st Y' Change	chr14L	True	0.33	False	donor_transfer_candidates:3	True	True	True	-0.62
SRR33298447.179588	chr15R	No Change		False	0.95	False		1st Y' Change	chr14L	True	0.33	False	donor_transfer_candidates:3	True	True	True	-0.62
SRR33298447.435130	chr15R	No Change		False	0.95	False		1st Y' Change	chr14L	True	0.33	False	donor_transfer_candidates:3	True	True	True	-0.62
SRR33298447.413799	chr15R	No Change		False	0.95	False		1st Y' Change	chr14L	True	0.33	False	donor_transfer_candidates:3	True	True	True	-0.62
SRR33298447.478498	chr15R	No Change		False	0.95	False		1st Y' Change	chr14L	True	0.33	False	donor_transfer_candidates:3	True	True	True	-0.62
SRR33298447.336440	chr15R	No Change		False	0.95	False		1st Y' Change	chr14L	True	0.33	False	donor_transfer_candidates:3	True	True	True	-0.62
