read_id	chr_end	y_prime_observed_array	y_prime_gained_segment	y_prime_path	cat	recombination_source	overall_confidence
SRR33298445.70787	chr10L	ID3,ID2,ID1	ID2,ID1	chr14L?[3]:ID2 > chr12R|chr13L|chr14L|chr15R|chr16L|chr4R|chr5R|chr7R:ID1	unique donor by IDs	chr13L	0.44
SRR33298445.185460	chr12R	ID5,ID1,ID1,ID1,ID1,ID1,ID1,ID2,ID2	ID1,ID2,ID2	chr14L[2-4]:ID1,ID2,ID2	unique donor by IDs	chr14L	0.66
SRR33298445.9753	chr12R	ID5,ID1,ID1,ID1,ID1,ID1,ID2,ID2	ID2,ID2	chr14L[3-4]:ID2,ID2	unique donor by IDs	chr14L	0.44
SRR33298445.188007	chr12R	ID5,ID1,ID1,ID1,ID1,ID1,ID2,ID2	ID2,ID2	chr14L[3-4]:ID2,ID2	unique donor by IDs	chr14L	0.44
SRR33298445.219824	chr12R	ID5,ID1,ID1,ID1,ID1,ID1,ID2,ID2	ID2,ID2	chr14L[3-4]:ID2,ID2	unique donor by IDs	chr14L	0.44
SRR33298445.230578	chr12R	ID5,ID1,ID1,ID1,ID1,ID1,ID2,ID2	ID2,ID2	chr14L[3-4]:ID2,ID2	unique donor by IDs	chr14L	0.44
SRR33298445.100980	chr12R	ID5,ID1,ID1,ID1,ID1,ID2,ID2	ID2,ID2	chr14L[3-4]:ID2,ID2	unique donor by IDs	chr14L	0.44
SRR33298445.22540	chr13L	ID2,ID1,ID1,ID1	ID1,ID1	chr12R|chr14L|chr4R:ID1,ID1	unresolved	chr12R	0.33
SRR33298445.31706	chr13R	ID1,ID1,ID2	ID1,ID1,ID2	chr14L[1-3]:ID1,ID1,ID2	unique donor by IDs	chr14L	0.66
SRR33298445.90247	chr14L	ID1,ID1,ID2,ID2,ID2,ID2,ID2,ID2	ID2,ID2,ID2	self[3-4]:ID2,ID2,ID2(circ x1.5 moderate | alt chr14L[3] + chr14L[3-4])	self (tandem amplification)	chr14L	0.33
SRR33298445.158322	chr14R	ID1,ID1,ID1,ID1,ID1,ID1,ID2,ID2	ID1,ID1,ID1,ID1,ID1,ID1,ID2,ID2	chr12R[2-5]:ID1,ID1,ID1,ID1,ID1(circ x1.2 moderate | alt chr12R[2-5] + chr12R[2]) > chr12R|chr13L|chr14L|chr15R|chr16L|chr4R|chr5R|chr7R:ID1 > chr14L[3-4]:ID2,ID2	unique donor by IDs	chr14L	0.66
SRR33298445.873	chr14R	ID3,ID2,ID2	ID3,ID2,ID2	chr10L|chr9L:ID3 > chr14L[3-4]:ID2,ID2	unique donor by IDs	chr14L	0.44
SRR33298445.183588	chr15L	ID7,ID2,ID2	ID7,ID2,ID2	chr16R[1]:ID7 > chr14L[3-4]:ID2,ID2	unique donor by IDs	chr14L	0.44
SRR33298445.188059	chr15L	ID2,ID1	ID2,ID1	chr13L[1-2]:ID2,ID1	unique donor by IDs	chr13L	0.44
SRR33298445.216902	chr15R	ID1,ID1,ID2,ID1	ID1,ID2,ID1	chr14L[2-3]:ID1,ID2,ID1(circ x1.5 moderate | alt chr14L[2-3] + chr14L[1])	unique donor by IDs	chr13L	0.66
SRR33298445.66089	chr15R	ID1,ID1,ID2,ID2	ID1,ID2,ID2	chr14L[2-4]:ID1,ID2,ID2	unique donor by IDs	chr14L	0.66
SRR33298445.100882	chr15R	ID1,ID1,ID1	ID1,ID1	chr12R|chr14L|chr4R:ID1,ID1	unresolved	chr4R	0.33
SRR33298445.24364	chr15R	ID1,ID2,ID2	ID2,ID2	chr14L[3-4]:ID2,ID2	unique donor by IDs	chr14L	0.44
SRR33298445.7157	chr16L	ID1,ID2,ID2,ID2,ID2	ID2,ID2,ID2,ID2	chr14L?[3]:ID2,ID2,ID2,ID2(circ x4.0 moderate | alt chr14L[3-5] + chr14L[3])	unique donor by IDs	chr14L	0.66
SRR33298445.169737	chr16L	ID1,ID2,ID2,ID2	ID2,ID2,ID2	chr14L[3-5]:ID2,ID2,ID2	unique donor by IDs	chr14L	0.66
SRR33298445.90816	chr16R	ID1,ID1	ID1,ID1	chr12R|chr14L|chr4R:ID1,ID1	unresolved	chr12R	0.33
SRR33298445.188298	chr1L	ID2,ID1,ID1,ID2	ID2,ID1,ID1,ID2	chr14L[1-3]:ID2,ID1,ID1,ID2(circ x1.3 moderate | alt chr14L[3] + chr14L[1-3])	unique donor by IDs	chr1R	0.67
SRR33298445.174971	chr1L	ID2,ID1	ID2,ID1	chr13L[1-2]:ID2,ID1	unique donor by IDs	chr13L	0.44
SRR33298445.175364	chr1L	ID2,ID1	ID2,ID1	chr13L[1-2]:ID2,ID1	unique donor by IDs	chr13L	0.44
SRR33298445.86102	chr1L	ID2,ID1	ID2,ID1	chr13L[1-2]:ID2,ID1	unique donor by IDs	chr13L	0.44
SRR33298445.93363	chr1L	ID4,ID3	ID4,ID3	chr2L|chr6L:ID4 > chr10L|chr9L:ID3	unresolved	ambiguous	0.3
SRR33298445.87017	chr1R	ID1,ID2,ID1,ID1,ID2	ID1,ID2,ID1,ID1,ID2	chr12R|chr13L|chr14L|chr15R|chr16L|chr4R|chr5R|chr7R:ID1 > chr14L?[3]:ID2 > chr12R|chr14L|chr4R:ID1,ID1 > chr12L|chr13L|chr14L|chr8L|chr8R:ID2	unique donor by IDs	chr1L	0.517
SRR33298445.235202	chr2L	ID4,ID2,ID2	ID2,ID2	chr14L[3-4]:ID2,ID2	unique donor by IDs	chr14L	0.44
SRR33298445.127200	chr2R	ID2,ID1,ID2,ID2,ID2,ID2	ID2,ID1,ID2,ID2,ID2,ID2	chr14L[2-3]:ID2,ID1,ID2(circ x1.5 moderate | alt chr14L[3] + chr14L[2-3]) > chr14L[3-4]:ID2,ID2,ID2(circ x1.5 moderate | alt chr14L[3-4] + chr14L[3])	unique donor by IDs	chr14L	0.66
SRR33298445.36153	chr2R	ID2,ID1,ID1,ID2,ID1	ID2,ID1,ID1,ID2,ID1	chr14L[1-3]:ID2,ID1,ID1,ID2,ID1(circ x1.7 moderate)	unique donor by IDs	chr14L	0.66
SRR33298445.182058	chr2R	ID2,ID1,ID1,ID1	ID2,ID1,ID1,ID1	chr13L[1-2]:ID2,ID1 > chr12R|chr14L|chr4R:ID1,ID1	unique donor by IDs+ITS	chr13L	0.33
SRR33298445.90704	chr2R	ID2,ID1	ID2,ID1	chr13L[1-2]:ID2,ID1	unique donor by IDs	chr13L	0.44
SRR33298445.227908	chr2R	ID2,ID1	ID2,ID1	chr13L[1-2]:ID2,ID1	unique donor by IDs	chr13L	0.44
SRR33298445.58098	chr2R	ID2,ID1	ID2,ID1	chr13L[1-2]:ID2,ID1	unique donor by IDs	chr13L	0.44
SRR33298445.15429	chr2R	ID2,ID1	ID2,ID1	chr13L[1-2]:ID2,ID1	unique donor by IDs	chr13L	0.44
SRR33298445.171315	chr2R	ID2,ID1	ID2,ID1	chr13L[1-2]:ID2,ID1	unique donor by IDs	chr13L	0.44
SRR33298445.99912	chr2R	ID2,ID1	ID2,ID1	chr13L[1-2]:ID2,ID1	unique donor by IDs	chr13L	0.44
SRR33298445.179046	chr3R	ID1,ID2	ID1,ID2	chr14L[2-3]:ID1,ID2	unique donor by IDs+ITS	chr14L	0.33
SRR33298445.163286	chr3R	ID2,ID1	ID2,ID1	chr13L[1-2]:ID2,ID1	unique donor by IDs	chr13L	1.0
SRR33298445.1777	chr3R	ID2,ID1	ID2,ID1	chr13L[1-2]:ID2,ID1	unique donor by IDs	chr13L	0.44
SRR33298445.90156	chr5L	ID8,ID2,ID1,ID2,ID1,ID1	ID2,ID1,ID2,ID1,ID1	chr12L|chr14L|chr8L|chr8R:ID2 > chr14L[1-3]:ID1,ID2,ID1,ID1(circ x1.3 moderate | alt chr14L[2-3] + chr14L[1-2])	unique donor by IDs	chr13L	0.66
SRR33298445.34694	chr5L	ID8,ID1,ID1,ID2,ID2	ID1,ID1,ID2,ID2	chr14L[1-4]:ID1,ID1,ID2,ID2	unique donor by IDs	chr14L	0.66
SRR33298445.150561	chr5L	ID8,ID2,ID2,ID2,ID2	ID2,ID2,ID2,ID2	chr14L[3-4]:ID2,ID2,ID2,ID2(circ x2.0 moderate | alt chr14L[3-4] + chr14L[3-4])	unique donor by IDs	chr14L	0.66
SRR33298445.45873	chr5L	ID5,ID1,ID1	ID5,ID1,ID1	chr12R[1-3]:ID5,ID1,ID1	unique donor by IDs	chr12R	0.66
SRR33298445.194182	chr5L	ID8,ID1,ID2	ID1,ID2	chr14L[2-3]:ID1,ID2	unique donor by IDs+ITS	chr14L	0.33
SRR33298445.170205	chr5L	ID8,ID2,ID2	ID2,ID2	chr14L[3-4]:ID2,ID2	unique donor by IDs	chr14L	0.44
SRR33298445.188473	chr5R	ID1,ID1,ID2,ID2,ID2	ID1,ID2,ID2,ID2	chr14L[2-3]:ID1,ID2 > chr14L[3-4]:ID2,ID2	unique donor by IDs	chr14L	0.66
SRR33298445.235227	chr5R	ID1,ID1,ID2,ID2	ID1,ID2,ID2	chr14L[2-4]:ID1,ID2,ID2	unique donor by IDs	chr14L	0.66
SRR33298445.235920	chr5R	ID1,ID2,ID2	ID2,ID2	chr14L[3-4]:ID2,ID2	unique donor by IDs	chr14L	0.44
SRR33298445.169502	chr5R	ID1,ID2,ID2	ID2,ID2	chr14L[3-4]:ID2,ID2	unique donor by IDs	chr14L	0.44
SRR33298445.131596	chr5R	ID3,ID1	ID3,ID1	chr10L|chr9L:ID3 > self[1]:ID1	unresolved	chr14	0.3
SRR33298445.88264	chr6L	ID4,ID1,ID1,ID1,ID2,ID2	ID1,ID1,ID1,ID2,ID2	chr14L?[2]:ID1 > chr14L[1-4]:ID1,ID1,ID2,ID2	unique donor by IDs	chr14L	0.66
SRR33298445.100068	chr6L	ID1,ID1,ID2,ID2	ID1,ID1,ID2,ID2	chr14L[1-4]:ID1,ID1,ID2,ID2	unique donor by IDs	chr14L	0.7723
SRR33298445.192302	chr6L	ID4,ID2,ID2,ID2	ID2,ID2,ID2	chr14L[3-5]:ID2,ID2,ID2	unique donor by IDs	chr14L	0.66
