read_id	PD	chr_end	paper_switch	n_copies	orient_used	kept_native	ids	variants	path	blocks	n_blocks	our_switch
007907a4-216d-470f-9426-5cbc59a4e421	33	chr10R	Y	3	rev	0	ID1,ID2,ID2	ID1_Gray,ID2_Red-Light,ID2_Red-Dark	chr12L|chr12R|chr13L|chr16R|chr5R|chr8L|chr8R:ID1_Gray > chr12R|chr14L|chr4R:ID2_Red-Light > chr15R[1]:ID2_Red-Dark	chr12R > chr15R	2	True
010cb643-3165-4d71-b883-c302d207ac48	28	chr14L	N	10	rev	0	ID5,ID2,ID3,ID2,ID3,ID3,ID3,ID3,ID3,ID3	ID5_Blue-Dark,ID2_Red-Light,ID3_Orange,ID2_Red-Light,ID3_Orange,ID3_Orange,ID3_Orange,ID3_Orange,ID3_Orange,ID3_Orange	chr16L|chr7R:ID5_Blue-Dark > self[2-3]:ID2_Red-Light,ID3_Orange > self[2-5]:ID2_Red-Light,ID3_Orange,ID3_Orange,ID3_Orange > self[3]:ID3_Orange,ID3_Orange,ID3_Orange(circ x3.0 moderate)	chr16L|chr7R > chr14L	2	True
0258482f-30c9-4a80-9092-21aeafa800f0	33	chr16L	N	3	rev	1	ID5,ID2,ID2	ID5_Blue-Dark,ID2_Red-Light,ID2_Red-Light	chr12R|chr4R:ID2_Red-Light,ID2_Red-Light	chr12R|chr4R	1	False
02623e0a-a81e-4249-a02c-45a5e254f396	28	chr4L	N	2	rev	0	ID2,ID2	ID2_Red-Light,ID2_Red-Light	chr12R|chr14L|chr4R:ID2_Red-Light > chr12R|chr14L|chr4R:ID2_Red-Light	chr12R|chr14L|chr4R	1	False
028941bb-c698-42af-8a84-c7d3d4fa0bb7	33	chr14L	N	12	rev	0	ID5,ID2,ID3,ID3,ID2,ID3,ID3,ID3,ID3,ID3,ID3,ID3	ID5_Blue-Dark,ID2_Red-Light,ID3_Orange,ID3_Orange,ID2_Red-Light,ID3_Orange,ID3_Orange,ID3_Orange,ID3_Orange,ID3_Orange,ID3_Orange,ID3_Orange	chr16L|chr7R:ID5_Blue-Dark > self[2-4]:ID2_Red-Light,ID3_Orange,ID3_Orange,ID2_Red-Light,ID3_Orange,ID3_Orange(circ x2.0 strong) > self[3]:ID3_Orange,ID3_Orange,ID3_Orange,ID3_Orange,ID3_Orange(circ x5.0 moderate | alt chr14L[3-5] + chr14L[3-4])	chr16L|chr7R > chr14L	2	True
03a48a5e-5e74-46ee-972b-14c2eace2081	33	chr13L	N	4	fwd	1	ID1,ID1,ID2,ID2	ID1_Gray,ID1_Gray,ID2_Red-Light,ID2_Red-Light	chr12R[1-3]:ID1_Gray,ID2_Red-Light,ID2_Red-Light	chr12R	1	False
03d205d0-23e4-4b51-9c25-ae5c198a2788	33	chr11L	N	3	fwd	0	ID1,ID2,ID2	ID1_Gray,ID2_Red-Light,ID2_Red-Light	chr12R[1-3]:ID1_Gray,ID2_Red-Light,ID2_Red-Light	chr12R	1	False
054077cd-8747-4942-b093-7182cd2a70ce	28	chr14L	N	7	fwd	5	ID5,ID2,ID3,ID3,ID3,ID3,ID3	ID5_Blue-Light,ID2_Red-Light,ID3_Orange,ID3_Orange,ID3_Orange,ID3_Orange,ID3_Orange	self[3-4]:ID3_Orange,ID3_Orange	chr14L	1	False
073996b2-441c-4e36-a8c2-3dc771777134	33	chr8L	N	3	fwd	1	ID1,ID3,ID3	ID1_Gray,ID3_Orange,ID3_Orange	chr14L[3-4]:ID3_Orange,ID3_Orange	chr14L	1	False
081271f5-181a-4573-92b2-3cf65cfb959e	28	chr14L	N	9	rev	5	ID5,ID2,ID3,ID3,ID3,ID3,ID3,ID3,ID3	ID5_Blue-Light,ID2_Red-Light,ID3_Orange,ID3_Orange,ID3_Orange,ID3_Orange,ID3_Orange,ID3_Orange,ID3_Orange	self[3]:ID3_Orange,ID3_Orange,ID3_Orange,ID3_Orange(circ x4.0 moderate | alt chr14L[3-5] + chr14L[3])	chr14L	1	False
08234854-c8f7-48f3-92c3-2ff91f4e03f9	33	chr13L	N	3	rev	1	ID1,ID2,ID2	ID1_Gray,ID2_Red-Light,ID2_Red-Light	chr4R[1-2]:ID2_Red-Light,ID2_Red-Light	chr4R	1	False
086637ef-9315-4572-9dff-2c42d3a7ec04	33	chr1L	Y	2	fwd	0	ID2,ID5	ID2_Red-Light,ID5_Blue-Dark	chr12R|chr14L|chr4R:ID2_Red-Light > chr16L|chr7R:ID5_Blue-Dark	chr12R|chr14L|chr4R > chr16L|chr7R	2	True
097f2b88-dcad-4e72-af69-11b0253265b1	28	chr10L	N	3	rev	1	ID6,ID3,ID3	ID6_Purple-Dark,ID3_Orange,ID3_Orange	chr14L[3-4]:ID3_Orange,ID3_Orange	chr14L	1	False
