read_id	chr_end	y_prime_recombination_status	y_prime_observed_array	y_prime_gained_segment	y_prime_fingerprint_window	unit	copies	kind	donor	y_prime_array_matches	recombination_source	overall_confidence	recombination_mechanism	telomere_end_confirmed	circle_class
SRR33298447.149567	chr10R	Y' Gain	ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1	ID1	5.0	contiguous		chr12R:contiguous;chr14L:periodic;chr4R:contiguous	chr12R	0.01	subtelomere_switch	True	homopolymer_run
SRR33298447.322782	chr10R	Y' Gain	ID2,ID1,ID2,ID1	ID2,ID1,ID2,ID1	ID2,ID1,ID2,ID1	ID2,ID1	2.0	contiguous	chr13L	chr13L:contiguous;chr14L:periodic	chr13L	0.66	donor_transfer	True	repeated_unit_from_donor
SRR33298447.490537	chr11L	Y' Gain	ID2,ID1,ID2,ID1,ID2,ID2,ID2,ID2,ID2,ID2,ID2	ID2,ID1,ID2,ID1,ID2,ID2,ID2,ID2,ID2,ID2,ID2	ID2,ID1,ID2,ID1,ID2	ID2,ID1	2.5	periodic	chr13L	chr13L:periodic;chr14L:periodic	chr13L	-0.0026	subtelomere_switch	True	repeated_unit_from_donor
SRR33298447.149279	chr11L	Y' Gain	ID1,ID1,ID2,ID1,ID2	ID1,ID1,ID2,ID1,ID2	ID1,ID2,ID1,ID2	ID1,ID2	2.0	contiguous	chr13L	chr13L:rotation;chr14L:periodic	chr13L	0.0036	subtelomere_switch	True	repeated_unit_from_donor
SRR33298447.334512	chr11R	Y' Gain	ID1,ID1,ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1,ID1,ID1	ID1	7.0	contiguous	chr4R	chr12R:periodic;chr14L:periodic;chr4R:contiguous	chr4R	0.0037	subtelomere_switch	True	homopolymer_run
SRR33298447.12915	chr11R	Y' Gain	ID2,ID1,ID2,ID1	ID2,ID1,ID2,ID1	ID2,ID1,ID2,ID1	ID2,ID1	2.0	contiguous	chr13L	chr13L:contiguous;chr14L:periodic	chr13L	0.66	donor_transfer	True	repeated_unit_from_donor
SRR33298447.151090	chr11R	Y' Gain	ID1,ID1,ID1	ID1,ID1,ID1	ID1,ID1,ID1	ID1	3.0	contiguous		chr12R:contiguous;chr14L:periodic;chr4R:contiguous	chr12R	0.33	donor_transfer_candidates:2	True	homopolymer_run
SRR33298447.254996	chr12L	Y' Gain	ID2,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1	ID1	9.0	periodic	chr4R	chr12R:periodic;chr14L:periodic;chr4R:periodic	chr4R	0.66	donor_transfer	True	homopolymer_run
SRR33298447.336736	chr12L	Y' Gain	ID2,ID1,ID1,ID1	ID1,ID1,ID1	ID1,ID1,ID1	ID1	3.0	contiguous		chr12R:contiguous;chr14L:periodic;chr4R:contiguous	chr12R	0.33	donor_transfer_candidates:2	False	homopolymer_run
SRR33298447.211010	chr12L	Y' Gain	ID2,ID1,ID1,ID1	ID1,ID1,ID1	ID1,ID1,ID1	ID1	3.0	contiguous		chr12R:contiguous;chr14L:periodic;chr4R:contiguous	chr12R	0.33	donor_transfer_candidates:2	True	homopolymer_run
