sample	chr_end	n	n_status_changed	n_source_changed	n_detected_changed	n_detected_a	n_detected_b	n_ambiguous_a	n_ambiguous_b	mean_dconf
7302_day4_with_selection	chr10L	176	0	2	0	3	3	2	0	0.0
7302_day4_with_selection	chr10R	170	0	3	2	18	16	0	0	0.0
7302_day4_with_selection	chr11L	242	0	0	0	5	5	0	0	0.0
7302_day4_with_selection	chr11R	223	0	0	0	17	17	0	0	0.0
7302_day4_with_selection	chr12L	250	3	4	2	18	18	4	4	-0.003
7302_day4_with_selection	chr12R	48	0	0	0	12	12	9	9	0.0
7302_day4_with_selection	chr13L	123	0	3	0	28	28	15	15	-0.002
7302_day4_with_selection	chr13R	215	0	5	0	12	12	2	5	-0.001
7302_day4_with_selection	chr14L	88	0	3	0	27	27	17	17	-0.005
7302_day4_with_selection	chr14R	244	4	10	3	17	14	5	0	0.009
7302_day4_with_selection	chr15L	262	0	1	0	5	5	0	0	0.0
7302_day4_with_selection	chr15R	168	20	22	19	13	32	0	1	-0.07
7302_day4_with_selection	chr16L	169	1	4	1	7	8	0	2	-0.004
7302_day4_with_selection	chr16R	267	0	1	0	11	11	2	2	0.002
7302_day4_with_selection	chr1L	201	0	3	0	9	9	1	1	-0.001
7302_day4_with_selection	chr1R	90	0	3	0	9	9	0	0	-0.004
7302_day4_with_selection	chr2L	203	0	7	0	10	10	6	1	0.002
7302_day4_with_selection	chr2R	246	0	3	0	11	11	0	0	0.0
7302_day4_with_selection	chr3L	350	0	0	0	2	2	0	0	0.0
7302_day4_with_selection	chr3R	328	0	1	0	18	18	0	0	-0.0
7302_day4_with_selection	chr4L	121	0	0	0	9	9	0	0	0.0
7302_day4_with_selection	chr4R	41	1	1	1	8	7	7	6	0.016
7302_day4_with_selection	chr5L	247	0	0	0	9	9	3	3	0.0
7302_day4_with_selection	chr5R	284	1	6	1	13	12	1	1	0.003
7302_day4_with_selection	chr6L	248	0	6	0	15	15	4	0	-0.001
7302_day4_with_selection	chr6R	278	0	0	0	1	1	0	0	0.0
7302_day4_with_selection	chr7L	258	0	1	0	4	4	1	0	0.0
7302_day4_with_selection	chr7R	212	1	3	1	9	10	0	2	-0.003
7302_day4_with_selection	chr8L	307	2	5	2	14	14	2	2	-0.001
7302_day4_with_selection	chr8R	118	2	4	2	6	8	2	2	-0.012
7302_day4_with_selection	chr9L	203	0	0	0	3	3	0	0	0.0
7302_day4_with_selection	chr9R	342	0	1	0	7	7	0	0	-0.0
7302_day5_with_selection	chr10L	196	1	3	1	4	3	0	0	0.003
7302_day5_with_selection	chr10R	206	0	5	1	12	11	0	0	-0.001
7302_day5_with_selection	chr11L	245	0	1	0	12	12	1	1	0.0
7302_day5_with_selection	chr11R	242	0	1	0	21	21	0	0	0.0
7302_day5_with_selection	chr12L	279	3	7	2	24	24	2	2	-0.001
7302_day5_with_selection	chr12R	76	0	0	0	32	32	24	24	0.0
7302_day5_with_selection	chr13L	151	0	5	0	42	42	22	22	-0.004
7302_day5_with_selection	chr13R	194	0	5	0	21	21	6	4	0.001
7302_day5_with_selection	chr14L	84	0	0	0	19	19	11	11	0.0
7302_day5_with_selection	chr14R	248	7	16	7	32	25	7	3	0.019
7302_day5_with_selection	chr15L	259	0	1	0	4	4	0	1	-0.0
7302_day5_with_selection	chr15R	199	27	30	25	19	44	0	1	-0.077
7302_day5_with_selection	chr16L	197	0	3	0	13	13	1	0	0.0
7302_day5_with_selection	chr16R	231	0	4	0	16	16	5	4	-0.001
7302_day5_with_selection	chr1L	107	0	1	0	8	8	0	1	-0.003
7302_day5_with_selection	chr1R	73	0	1	0	8	8	0	0	-0.0
7302_day5_with_selection	chr2L	216	0	5	0	11	11	2	1	-0.001
7302_day5_with_selection	chr2R	240	0	6	0	29	29	0	0	0.001
7302_day5_with_selection	chr3L	311	0	0	0	1	1	0	0	0.0
7302_day5_with_selection	chr3R	279	0	3	0	18	18	0	0	0.003
7302_day5_with_selection	chr4L	170	0	2	0	20	20	0	0	-0.0
7302_day5_with_selection	chr4R	69	0	0	0	21	21	16	16	0.0
7302_day5_with_selection	chr5L	217	2	7	2	19	17	3	5	0.005
7302_day5_with_selection	chr5R	218	0	7	0	13	13	0	1	-0.0
7302_day5_with_selection	chr6L	266	0	10	0	27	27	10	3	0.002
7302_day5_with_selection	chr6R	267	0	0	0	1	1	0	0	0.0
7302_day5_with_selection	chr7L	265	0	1	0	10	10	1	0	0.0
7302_day5_with_selection	chr7R	227	0	10	0	20	20	0	0	-0.001
7302_day5_with_selection	chr8L	259	2	3	0	15	15	6	6	0.0
7302_day5_with_selection	chr8R	125	1	3	0	8	8	2	2	0.001
7302_day5_with_selection	chr9L	188	0	0	0	5	5	0	0	0.0
7302_day5_with_selection	chr9R	213	0	1	0	2	2	0	0	-0.0
7302_day0_with_selection	chr10L	359	1	1	1	1	0	0	0	0.002
7302_day0_with_selection	chr10R	395	0	0	0	5	5	0	0	0.0
7302_day0_with_selection	chr11L	436	0	0	0	0	0	0	0	0.0
7302_day0_with_selection	chr11R	519	0	1	0	7	7	0	0	0.0
7302_day0_with_selection	chr12L	513	1	1	0	6	6	0	0	0.0
