strain	sample	read_id	chr_end	copy	expected_element	expected_group	donor_element	donor_group	program_assigned_yprime	program_status	program_source	program_mechanism	program_path	anchorHalf_vs_expected	anchorHalf_vs_donor	anchor_margin	teloHalf_vs_expected	teloHalf_vs_donor	telo_margin	pair_longest_homology_bp	pair_homology_identity	evidence	explanation	telo_side
6991	6991_day0_reference	SRR33298378.265251	chr13L	1/1	chr13L-1	G2	chr2L-1	G1	E-chr2L-1	1st Y' Change	chr2L	donor_transfer	chr2L[1]:E-chr2L-1	98.37%	96.55%	+1.82	94.48%	97.56%	+3.08	3883	97.12%	strong	mid-Y' recombination (both halves favour the right reference)	end
6991	6991_day0_reference	SRR33298378.240117	chr14R	1/1	chr14R-1	G10	chr5L-1	G12	E-chr5L-1	1st Y' Change	chr5L	donor_transfer	chr5L[1]:E-chr5L-1	98.36%	90.09%	+8.27	94.66%	98.30%	+3.64	2842	96.23%	strong	mid-Y' recombination (both halves favour the right reference)	end
6991	6991_day0_reference	SRR33298378.306956	chr14R	1/1	chr14R-1	G10	chr15R-1	G8	E-chr15R-1	1st Y' Change	chr15R	donor_transfer	chr15R[1]:E-chr15R-1	98.50%	94.56%	+3.94	95.80%	99.21%	+3.41	4978	96.50%	strong	mid-Y' recombination (both halves favour the right reference)	beginning
6991	6991_day0_reference	SRR33298378.305547	chr16L	1/1	chr16L-1	G8	chr5L-1	G12	E-chr5L-1	1st Y' Change	chr5L	donor_transfer	chr5L[1]:E-chr5L-1	98.20%	90.88%	+7.32	94.99%	99.01%	+4.02	2925	95.93%	strong	mid-Y' recombination (both halves favour the right reference)	end
6991	6991_day0_reference	SRR33298378.400808	chr16R	1/1	chr16R-1	G6	chr14L-5	G2	E-chr14L-5	1st Y' Change	chr14L	donor_transfer	chr14L[5]:E-chr14L-5	97.99%	96.39%	+1.60	94.40%	97.30%	+2.90	3588	98.55%	strong	mid-Y' recombination (both halves favour the right reference)	end
6991	6991_day0_reference	SRR33298378.334381	chr5L	1/1	chr5L-1	G12	chr5R-1	G9	E-chr5R-1	1st Y' Change	chr5R	donor_transfer	chr5R[1]:E-chr5R-1	96.13%	93.55%	+2.58	93.48%	97.28%	+3.80	2925	95.97%	strong	mid-Y' recombination (both halves favour the right reference)	beginning
6991	6991_day0_reference	SRR33298378.151924	chr6L	1/1	chr6L-1	G1	chr14L-5	G2	E-chr14L-5	1st Y' Change	chr14L	donor_transfer	chr14L[5]:E-chr14L-5	98.95%	96.76%	+2.19	95.07%	98.56%	+3.49	3884	97.35%	strong	mid-Y' recombination (both halves favour the right reference)	beginning
6991	6991_day0_reference	SRR33298378.95349	chr6L	1/1	chr6L-1	G1	chr13L-1	G2	E-chr13L-1	1st Y' Change	chr13L	donor_transfer	chr13L[1]:E-chr13L-1	99.24%	97.61%	+1.63	95.74%	98.96%	+3.22	3884	97.27%	strong	mid-Y' recombination (both halves favour the right reference)	end
6991	6991_day0_reference	SRR33298378.180346	chr6L	1/1	chr6L-1	G1	chr14L-5	G2	E-chr14L-5	1st Y' Change	chr14L	donor_transfer	chr14L[5]:E-chr14L-5	98.99%	96.75%	+2.24	95.79%	98.72%	+2.93	3884	97.35%	strong	mid-Y' recombination (both halves favour the right reference)	end
6991	6991_day0_reference	SRR33298378.296817	chr6L	1/1	chr6L-1	G1	chr14L-5	G2	E-chr14L-5	1st Y' Change	chr14L	donor_transfer	chr14L[5]:E-chr14L-5	98.95%	97.03%	+1.92	96.53%	99.56%	+3.03	3884	97.35%	strong	mid-Y' recombination (both halves favour the right reference)	beginning
6991	6991_day0_reference	SRR33298378.55891	chr12L	1/1	chr12L-1	G4	chr16R-1	G6	E-chr16R-1	1st Y' Change	chr16R	donor_transfer	chr16R[1]:E-chr16R-1	98.91%	97.52%	+1.39	96.03%	96.12%	+0.09	3589	98.41%	weak	mid-Y' recombination (correct direction, margins < 1.5 %)	end
6991	6991_day0_reference	SRR33298378.479559	chr12L	1/1	chr12L-1	G4	chr13L-1	G2	E-chr13L-1	1st Y' Change	chr13L	donor_transfer	chr13L[1]:E-chr13L-1	98.59%	98.14%	+0.45	97.84%	98.67%	+0.83	5188	99.17%	weak	mid-Y' recombination (correct direction, margins < 1.5 %)	end
6991	6991_day0_reference	SRR33298378.9482	chr14R	1/1	chr14R-1	G10	chr9L-1	G7	E-chr9L-1	1st Y' Change	chr9L	donor_transfer	chr9L[1]:E-chr9L-1	99.35%	98.28%	+1.07	94.91%	98.16%	+3.25	4903	97.88%	weak	mid-Y' recombination (correct direction, margins < 1.5 %)	end
6991	6991_day0_reference	SRR33298378.69401	chr2L	1/1	chr2L-1	G1	chr14L-5	G2	E-chr14L-5	1st Y' Change	chr14L	donor_transfer	chr14L[5]:E-chr14L-5	97.81%	97.33%	+0.48	97.53%	98.53%	+1.00	3883	97.24%	weak	mid-Y' recombination (correct direction, margins < 1.5 %)	beginning
6991	6991_day0_reference	SRR33298378.381146	chr5L	1/1	chr5L-1	G12	chr12R-1	G11	E-chr12R-1	1st Y' Change	chr12R	donor_transfer	chr12R[1]:E-chr12R-1	95.79%	94.65%	+1.14	91.99%	94.15%	+2.16	4718	97.05%	weak	mid-Y' recombination (correct direction, margins < 1.5 %)	beginning
6991	6991_day0_reference	SRR33298378.142793	chr8L	1/1	chr8L-1	G5	chr2L-1	G1	E-chr2L-1	1st Y' Change	chr2L	donor_transfer	chr2L[1]:E-chr2L-1	99.33%	98.12%	+1.21	95.94%	99.60%	+3.66	3457	97.37%	weak	mid-Y' recombination (correct direction, margins < 1.5 %)	beginning
6991	6991_day0_reference	SRR33298378.151832	chr12L	1/1	chr12L-1	G4	chr2L-1	G1	E-chr2L-1	1st Y' Change	chr2L	donor_transfer	chr2L[1]:E-chr2L-1	98.30%	97.23%	+1.07	94.49%	92.31%	-2.18	3473	97.98%	FAILS	not supported: no half is better explained by the donor	end
6991	6991_day0_reference	SRR33298378.275479	chr13L	1/1	chr13L-1	G2	chr9L-1	G7	E-chr9L-1	1st Y' Change	chr9L	donor_transfer	chr9L[1]:E-chr9L-1	86.77%	88.22%	-1.45	90.07%	93.39%	+3.32	2058	95.58%	FAILS	not supported: no half is better explained by the donor	beginning
6991	6991_day0_reference	SRR33298378.159765	chr13L	1/1	chr13L-1	G2	chr2L-1	G1	E-chr2L-1	1st Y' Change	chr2L	donor_transfer	chr2L[1]:E-chr2L-1	95.64%	95.48%	+0.16	95.65%	95.19%	-0.46	3883	97.12%	FAILS	not supported: no half is better explained by the donor	beginning
6991	6991_day0_reference	SRR33298378.714719	chr14R	1/1	chr14R-1	G10	chr9L-1	G7	E-chr9L-1	1st Y' Change	chr9L	donor_transfer	chr9L[1]:E-chr9L-1	97.76%	97.24%	+0.52	93.11%	91.05%	-2.06	4903	97.88%	FAILS	not supported: no half is better explained by the donor	end
6991	6991_day0_reference	SRR33298378.566178	chr14R	1/1	chr14R-1	G10	chr9L-1	G7	E-chr9L-1	1st Y' Change	chr9L	donor_transfer	chr9L[1]:E-chr9L-1	99.42%	98.35%	+1.07	97.87%	93.95%	-3.92	4903	97.88%	FAILS	not supported: no half is better explained by the donor	end
6991	6991_day0_reference	SRR33298378.651427	chr15R	1/1	chr15R-1	G8	chr13L-1	G2	E-chr13L-1	1st Y' Change	chr13L	donor_transfer	chr13L[1]:E-chr13L-1	99.51%	99.17%	+0.34	98.96%	98.61%	-0.35	3656	99.56%	FAILS	not supported: no half is better explained by the donor	end
6991	6991_day0_reference	SRR33298378.290053	chr16L	1/1	chr16L-1	G8	chr10L-1	G7	E-chr10L-1	1st Y' Change	chr10L	donor_transfer	chr10L[1]:E-chr10L-1	98.61%	97.39%	+1.22	96.52%	92.43%	-4.09	5010	97.13%	FAILS	not supported: no half is better explained by the donor	end
6991	6991_day0_reference	SRR33298378.722027	chr2L	1/1	chr2L-1	G1	chr8R-1	G3	E-chr8R-1	1st Y' Change	chr8R	donor_transfer	chr8R[1]:E-chr8R-1	98.52%	98.18%	+0.34	98.02%	96.78%	-1.24	3855	99.14%	FAILS	not supported: no half is better explained by the donor	end
6991	6991_day0_reference	SRR33298378.42439	chr13L	1/1	chr13L-1	G2	chr10L-1	G7	E-chr10L-1	1st Y' Change	chr10L	donor_transfer	chr10L[1]:E-chr10L-1							2058	95.67%	no junction	no junction found; donor wins across the element or signal too weak	end
6991	6991_day0_reference	SRR33298378.427420	chr2L	1/1	chr2L-1	G1	chr8R-1	G3	E-chr8R-1	1st Y' Change	chr8R	donor_transfer	chr8R[1]:E-chr8R-1							3855	99.14%	no junction	no junction found; donor wins across the element or signal too weak	beginning
6991	6991_day0_reference	SRR33298378.56289	chr8R	1/1	chr8R-1	G3	chr2L-1	G1	E-chr2L-1	1st Y' Change	chr2L	donor_transfer	chr2L[1]:E-chr2L-1							3855	99.14%	no junction	no junction found; donor wins across the element or signal too weak	end
