read_id	chr_end	y_prime_recombination_status_a	recombination_source_a	recombination_detected_a	overall_confidence_a	is_complex_event_a	recombination_mechanism_a	y_prime_recombination_status_b	recombination_source_b	recombination_detected_b	overall_confidence_b	is_complex_event_b	recombination_mechanism_b	status_changed	source_changed	detected_changed	dconf
SRR33298417.215798	chr10L	Y' Gain	chr12	True	0.3	False	single_y_prime_change	Y' Gain	chr10L	True	0.33	False	tandem_amplification_same_end	False	True	False	0.03
SRR33298417.683527	chr10L	Y' Gain	chr12	True	0.3	False	single_y_prime_change	Y' Gain	chr10L	True	0.33	False	tandem_amplification_same_end	False	True	False	0.03
SRR33298417.215064	chr10L	Y' Gain	chr12	True	0.3	False	single_y_prime_change	Y' Gain	chr2L	True	0.33	False	donor_transfer_candidates:2	False	True	False	0.03
SRR33298417.220332	chr10L	Y' Gain	chr12	True	0.3	False	single_y_prime_change	Y' Gain	chr2L	True	0.33	False	donor_transfer_candidates:2	False	True	False	0.03
SRR33298417.688771	chr10L	Y' Gain	chr12	True	0.3	False	single_y_prime_change	Y' Gain	chr2L	True	0.33	False	donor_transfer_candidates:2	False	True	False	0.03
SRR33298417.390706	chr10R	Y' Gain	chr4R	True	0.63	True	subtelomere_switch	Y' Gain	chr14L	True	0.66	False	donor_transfer	False	True	False	0.03
SRR33298417.349596	chr10R	Y' Gain	chr12R	True	0.27	True	subtelomere_switch	Y' Gain	chr5R	True	0.4859	True	subtelomere_switch	False	True	False	0.216
SRR33298417.189388	chr10R	Y' Gain	chr12R	True	0.63	True	subtelomere_switch	Y' Gain	chr5R	True	0.8147	False	subtelomere_switch	False	True	False	0.185
SRR33298417.677051	chr10R	Y' Gain	chr5R	True	0.8027	False	subtelomere_switch	Y' Gain	chr6L	True	0.6038	True	subtelomere_switch	False	True	False	-0.199
SRR33298417.591678	chr10R	Y' Gain	chr12R	True	0.99	False	subtelomere_switch	Y' Gain	ambiguous	True	0.3	False	donor_transfer_candidates:4	False	True	False	-0.69
SRR33298417.185245	chr10R	Y' Gain	chr12R	True	0.6375	True	subtelomere_switch	Y' Gain	chr14L	True	1.0	False	subtelomere_switch	False	True	False	0.363
SRR33298417.119428	chr10R	Y' Gain	chr12R	True	0.6409	True	subtelomere_switch	Y' Gain	chr14L	True	1.0	False	subtelomere_switch	False	True	False	0.359
SRR33298417.387164	chr10R	Y' Gain	chr5R	True	0.8106	False	subtelomere_switch	Y' Gain	chr6L	True	0.5158	True	subtelomere_switch	False	True	False	-0.295
SRR33298417.170835	chr10R	Y' Gain	chr5R	True	0.7982	False	subtelomere_switch	Y' Gain	chr6L	True	0.5079	True	subtelomere_switch	False	True	False	-0.29
SRR33298417.497126	chr10R	Y' Gain	chr5R	True	0.762	False	subtelomere_switch	Y' Gain	chr6L	True	0.5074	True	subtelomere_switch	False	True	False	-0.255
SRR33298417.777105	chr10R	Y' Gain	chr4R	True	0.99	False	subtelomere_switch	Y' Gain	chr7R	True	0.33	False	donor_transfer_candidates:7	False	True	False	-0.66
