read_id	chr_end	read_length	telo_side	y_prime_count_on_read	ref_count	y_prime_probe_count	y_prime_observed_array	end_confirmed	repeat_length	tail_bp	recombination_source	overall_confidence	loss_class
SRR33298446.341399	chr10L	13675	end	0	1	0.0		False	4124.0	-1	ambiguous	0.15	unconfirmed_end
SRR33298446.76135	chr12R	17639	beginning	1	6	1.0	ID5	True	99.0	138	ambiguous	0.3	real_contraction
SRR33298446.151547	chr12R	5549	end	0	6	0.0		False	1280.0	-1	ambiguous	0.15	unconfirmed_end
SRR33298446.52875	chr13L	29590	beginning	3	4	3.0	ID2,ID1,ID1	True	148.0	187	ambiguous	0.3	real_contraction
SRR33298446.219707	chr13L	29549	beginning	3	4	3.0	ID2,ID1,ID1	True	83.0	123	ambiguous	0.3	real_contraction
SRR33298446.385537	chr13L	29537	end	3	4	2.0	ID2,ID1,ID1	False	104.0	107	ambiguous	0.15	unconfirmed_end
SRR33298446.184166	chr13L	29546	beginning	3	4	3.0	ID2,ID1,ID1	True	55.0	92	ambiguous	0.3	real_contraction
SRR33298446.169832	chr13L	29521	beginning	3	4	3.0	ID2,ID1,ID1	True	72.0	114	ambiguous	0.3	real_contraction
SRR33298446.353634	chr13L	29528	beginning	3	4	3.0	ID2,ID1,ID1	True	66.0	105	ambiguous	0.3	real_contraction
SRR33298446.310347	chr13L	29474	beginning	3	4	3.0	ID2,ID1,ID1	True	101.0	136	ambiguous	0.3	real_contraction
SRR33298446.86591	chr13L	29489	beginning	3	4	3.0	ID2,ID1,ID1	True	43.0	87	ambiguous	0.3	real_contraction
SRR33298446.346809	chr13L	29481	end	3	4	3.0	ID2,ID1,ID1	True	60.0	70	ambiguous	0.3	real_contraction
SRR33298446.43264	chr13L	24288	beginning	2	4	2.0	ID2,ID1	True	164.0	208	ambiguous	0.3	real_contraction
SRR33298446.40249	chr13L	23112	beginning	2	4	2.0	ID2,ID1	True	102.0	140	ambiguous	0.3	real_contraction
SRR33298446.254144	chr13L	23090	end	2	4	2.0	ID2,ID1	False	76.0	85	ambiguous	0.15	unconfirmed_end
SRR33298446.362552	chr13L	23011	end	2	4	2.0	ID2,ID1	True	79.0	92	ambiguous	0.3	real_contraction
SRR33298446.105489	chr13L	22908	beginning	2	4	2.0	ID2,ID1	True	181.0	218	ambiguous	0.3	real_contraction
