sample	chr_end	as_recipient	as_donor
6991_day0	chr10L	1	0
6991_day0	chr13L	1	1
6991_day0	chr14L	1	0
6991_day0	chr2L	0	1
6991_day0	chr4R	0	1
6991_day0	chr6L	1	0
6991_day0	chr7R	0	1
6991_day0_TeloTag	chr13L	1	2
6991_day0_TeloTag	chr14L	0	2
6991_day0_TeloTag	chr14R	3	0
6991_day0_TeloTag	chr16R	1	0
6991_day0_TeloTag	chr5R	0	1
6991_day0_TeloTag	chr7R	1	0
6991_day0_TeloTag	chr8R	0	1
6991_day0_TeloTag_with_selection	chr12R	0	4
6991_day0_TeloTag_with_selection	chr13L	1	0
6991_day0_TeloTag_with_selection	chr14L	1	2
6991_day0_TeloTag_with_selection	chr14R	0	2
6991_day0_TeloTag_with_selection	chr15R	0	1
6991_day0_TeloTag_with_selection	chr16L	1	1
6991_day0_TeloTag_with_selection	chr16R	2	0
6991_day0_TeloTag_with_selection	chr2L	1	1
6991_day0_TeloTag_with_selection	chr5L	2	0
6991_day0_TeloTag_with_selection	chr7R	1	0
6991_day0_TeloTag_with_selection	chr8L	1	0
6991_day0_TeloTag_with_selection	chr8R	1	0
6991_day0_reference	chr10L	0	2
6991_day0_reference	chr12L	3	0
6991_day0_reference	chr12R	0	1
6991_day0_reference	chr13L	4	3
6991_day0_reference	chr14L	0	5
6991_day0_reference	chr14R	5	0
6991_day0_reference	chr15R	1	1
6991_day0_reference	chr16L	2	0
6991_day0_reference	chr16R	1	1
6991_day0_reference	chr2L	3	5
6991_day0_reference	chr5L	2	2
6991_day0_reference	chr5R	0	1
6991_day0_reference	chr6L	4	0
6991_day0_reference	chr8L	1	0
6991_day0_reference	chr8R	1	2
6991_day0_reference	chr9L	0	4
6991_day0_reference_promethion	chr13L	4	3
6991_day0_reference_promethion	chr14L	0	1
6991_day0_reference_promethion	chr14R	2	0
6991_day0_reference_promethion	chr16R	2	0
6991_day0_reference_promethion	chr2L	1	3
6991_day0_reference_promethion	chr5R	1	0
6991_day0_reference_promethion	chr6L	0	2
6991_day0_reference_promethion	chr8L	1	0
6991_day0_reference_promethion	chr8R	1	1
6991_day0_reference_promethion	chr9L	0	2
6991_day0_with_selection	chr10L	5	5
6991_day0_with_selection	chr12L	2	0
6991_day0_with_selection	chr13L	18	2
6991_day0_with_selection	chr14L	388	5
6991_day0_with_selection	chr14R	8	0
6991_day0_with_selection	chr15R	0	1
6991_day0_with_selection	chr16L	2	6
6991_day0_with_selection	chr16R	2	0
6991_day0_with_selection	chr2L	3	12
6991_day0_with_selection	chr5R	3	2
6991_day0_with_selection	chr6L	3	4
6991_day0_with_selection	chr7R	1	391
6991_day0_with_selection	chr8L	2	1
6991_day0_with_selection	chr8R	2	5
6991_day0_with_selection	chr9L	0	5
6991_day0_with_selection_repeat	chr10L	3	1
6991_day0_with_selection_repeat	chr13L	9	1
6991_day0_with_selection_repeat	chr14L	0	3
6991_day0_with_selection_repeat	chr14R	3	0
6991_day0_with_selection_repeat	chr16L	0	2
6991_day0_with_selection_repeat	chr16R	1	0
6991_day0_with_selection_repeat	chr2L	1	2
6991_day0_with_selection_repeat	chr5L	1	0
6991_day0_with_selection_repeat	chr6L	0	6
6991_day0_with_selection_repeat	chr8L	0	1
6991_day0_with_selection_repeat	chr8R	0	1
6991_day0_with_selection_repeat	chr9L	0	1
6991_day0_with_selection_repeat2	chr10L	2	0
6991_day0_with_selection_repeat2	chr12L	2	0
6991_day0_with_selection_repeat2	chr13L	3	2
6991_day0_with_selection_repeat2	chr14L	0	2
6991_day0_with_selection_repeat2	chr14R	1	0
6991_day0_with_selection_repeat2	chr15R	1	0
6991_day0_with_selection_repeat2	chr16R	2	1
6991_day0_with_selection_repeat2	chr2L	2	0
6991_day0_with_selection_repeat2	chr6L	0	3
6991_day0_with_selection_repeat2	chr7R	0	2
6991_day0_with_selection_repeat2	chr8R	0	2
6991_day0_with_selection_repeat2	chr9L	0	1
7172_day0_with_selection	chr13L	0	1
7172_day0_with_selection	chr14L	0	3
7172_day0_with_selection	chr16R	2	0
7172_day0_with_selection	chr5R	1	0
7172_day0_with_selection	chr6L	1	0
7302_day0_with_selection	chr10L	1	1
7302_day0_with_selection	chr14L	0	6
7302_day0_with_selection	chr14R	2	3
7302_day0_with_selection	chr16L	0	1
7302_day0_with_selection	chr2L	1	1
7302_day0_with_selection	chr5R	2	0
7302_day0_with_selection	chr6L	7	0
7302_day0_with_selection	chr8R	1	2
ALL_COMBINED	chr10L	12	9
ALL_COMBINED_excl_defect	chr10L	12	9
ALL_COMBINED	chr12L	7	0
ALL_COMBINED_excl_defect	chr12L	7	0
ALL_COMBINED	chr12R	0	5
ALL_COMBINED_excl_defect	chr12R	0	5
ALL_COMBINED	chr13L	41	15
ALL_COMBINED_excl_defect	chr13L	41	15
ALL_COMBINED	chr14L	390	29
ALL_COMBINED_excl_defect	chr14L	2	29
ALL_COMBINED	chr14R	24	5
ALL_COMBINED_excl_defect	chr14R	24	5
ALL_COMBINED	chr15R	2	3
ALL_COMBINED_excl_defect	chr15R	2	3
ALL_COMBINED	chr16L	5	10
ALL_COMBINED_excl_defect	chr16L	5	7
ALL_COMBINED	chr16R	13	2
