strain	sample	read_id	chr_end	copy	expected_element	expected_group	donor_element	donor_group	anchorHalf_vs_expected	anchorHalf_vs_donor	anchor_margin	teloHalf_vs_expected	teloHalf_vs_donor	telo_margin	pair_longest_homology_bp	pair_homology_identity	evidence	explanation	telo_side
6991	6991_day0_reference_promethion	SRR33298377.267122	chr13L	1/1	chr13L-1	G2	chr2L-1	G1	97.50%	93.10%	+4.40	94.49%	96.56%	+2.07	3883	97.12%	strong	mid-Y' recombination (both halves favour the right reference)	beginning
6991	6991_day0_reference_promethion	SRR33298377.125819	chr13L	1/1	chr13L-1	G2	chr2L-1	G1	98.61%	93.90%	+4.71	94.64%	96.83%	+2.19	3883	97.12%	strong	mid-Y' recombination (both halves favour the right reference)	end
6991	6991_day0_reference_promethion	SRR33298377.534605	chr16R	1/1	chr16R-1	G6	chr13L-1	G2	98.44%	96.94%	+1.50	94.75%	97.73%	+2.98	3588	98.61%	strong	mid-Y' recombination (both halves favour the right reference)	end
6991	6991_day0_reference_promethion	SRR33298377.726683	chr14R	1/1	chr14R-1	G10	chr9L-1	G7	98.69%	97.37%	+1.32	94.24%	94.69%	+0.45	4903	97.88%	weak	mid-Y' recombination (correct direction, margins < 1.5 %)	end
6991	6991_day0_reference_promethion	SRR33298377.763070	chr8L	1/1	chr8L-1	G5	chr13L-1	G2	99.44%	98.79%	+0.65	96.89%	98.94%	+2.05	5058	98.16%	weak	mid-Y' recombination (correct direction, margins < 1.5 %)	beginning
6991	6991_day0_reference_promethion	SRR33298377.221175	chr8R	1/1	chr8R-1	G3	chr14L-5	G2	99.14%	97.07%	+2.07	98.06%	99.01%	+0.95	5493	98.47%	weak	mid-Y' recombination (correct direction, margins < 1.5 %)	end
6991	6991_day0_reference_promethion	SRR33298377.644709	chr16R	1/1	chr16R-1	G6	chr13L-1	G2	98.11%	97.72%	+0.39	95.88%	95.41%	-0.47	3588	98.61%	FAILS	not supported: no half is better explained by the donor	beginning
6991	6991_day0_reference_promethion	SRR33298377.541858	chr2L	1/1	chr2L-1	G1	chr8R-1	G3	98.34%	97.99%	+0.35	95.95%	95.38%	-0.57	3855	99.14%	FAILS	not supported: no half is better explained by the donor	end
6991	6991_day0_reference_promethion	SRR33298377.260642	chr13L	1/1	chr13L-1	G2	chr6L-1	G1							3884	97.27%	no junction	no junction found; donor wins across the element or signal too weak	beginning
6991	6991_day0_reference_promethion	SRR33298377.272313	chr13L	1/1	chr13L-1	G2	chr6L-1	G1							3884	97.27%	no junction	no junction found; donor wins across the element or signal too weak	end
6991	6991_day0_reference_promethion	SRR33298377.93825	chr14R	1/1	chr14R-1	G10	chr2L-1	G1							1963	96.23%	no junction	no junction found; donor wins across the element or signal too weak	end
6991	6991_day0_reference_promethion	SRR33298377.75463	chr5R	1/1	chr5R-1	G9	chr9L-1	G7							5000	96.74%	no junction	no junction found; donor wins across the element or signal too weak	end
