sample	donor_group	times_as_donor	group_size	group_members
6991_day0	G8	2	18	chr12R-2;chr12R-3;chr12R-4;chr12R-5;chr12R-6;chr12R-7;chr14L-1;chr14L-2;chr15R-1;chr16L-1;chr4R-1;chr4R-2;chr4R-3;chr4R-4;chr4R-5;chr4R-6;chr4R-7;chr7R-1
6991_day0	G2	1	4	chr13L-1;chr14L-3;chr14L-4;chr14L-5
6991_day0	G1	1	2	chr2L-1;chr6L-1
6991_day0_TeloTag	G9	2	3	chr14L-1;chr16L-1;chr7R-1
6991_day0_TeloTag	G2	2	4	chr13L-1;chr14L-3;chr14L-4;chr14L-5
6991_day0_TeloTag	G10	1	1	chr5R-1
6991_day0_TeloTag	G3	1	1	chr8R-1
6991_day0_TeloTag_with_selection	G11	4	1	chr12R-1
6991_day0_TeloTag_with_selection	G8	2	18	chr12R-2;chr12R-3;chr12R-4;chr12R-5;chr12R-6;chr12R-7;chr14L-1;chr14L-2;chr15R-1;chr16L-1;chr4R-1;chr4R-2;chr4R-3;chr4R-4;chr4R-5;chr4R-6;chr4R-7;chr7R-1
6991_day0_TeloTag_with_selection	G10	2	1	chr14R-1
6991_day0_TeloTag_with_selection	G2	2	4	chr13L-1;chr14L-3;chr14L-4;chr14L-5
6991_day0_TeloTag_with_selection	G1	1	2	chr2L-1;chr6L-1
6991_day0_reference	G2	8	4	chr13L-1;chr14L-3;chr14L-4;chr14L-5
6991_day0_reference	G7	6	2	chr10L-1;chr9L-1
6991_day0_reference	G1	5	2	chr2L-1;chr6L-1
6991_day0_reference	G12	2	1	chr5L-1
6991_day0_reference	G3	2	1	chr8R-1
6991_day0_reference	G8	1	17	chr12R-2;chr12R-3;chr12R-4;chr12R-5;chr12R-6;chr14L-1;chr14L-2;chr15R-1;chr16L-1;chr4R-1;chr4R-2;chr4R-3;chr4R-4;chr4R-5;chr4R-6;chr4R-7;chr7R-1
6991_day0_reference	G9	1	1	chr5R-1
6991_day0_reference	G6	1	1	chr16R-1
6991_day0_reference	G11	1	1	chr12R-1
6991_day0_reference_promethion	G1	5	2	chr2L-1;chr6L-1
6991_day0_reference_promethion	G2	4	4	chr13L-1;chr14L-3;chr14L-4;chr14L-5
6991_day0_reference_promethion	G7	2	2	chr10L-1;chr9L-1
6991_day0_reference_promethion	G3	1	1	chr8R-1
6991_day0_with_selection	G1	16	2	chr2L-1;chr6L-1
6991_day0_with_selection	G8	11	17	chr12R-2;chr12R-3;chr12R-4;chr12R-5;chr12R-6;chr12R-7;chr14L-2;chr15R-1;chr16L-1;chr4R-1;chr4R-2;chr4R-3;chr4R-4;chr4R-5;chr4R-6;chr4R-7;chr7R-1
6991_day0_with_selection	G7	10	2	chr10L-1;chr9L-1
6991_day0_with_selection	G2	6	4	chr13L-1;chr14L-3;chr14L-4;chr14L-5
6991_day0_with_selection	G3	5	1	chr8R-1
6991_day0_with_selection	G9	2	1	chr5R-1
6991_day0_with_selection	G5	1	1	chr8L-1
6991_day0_with_selection_repeat	G1	8	2	chr2L-1;chr6L-1
6991_day0_with_selection_repeat	G8	4	18	chr12R-2;chr12R-3;chr12R-4;chr12R-5;chr12R-6;chr12R-7;chr14L-1;chr14L-2;chr15R-1;chr16L-1;chr4R-1;chr4R-2;chr4R-3;chr4R-4;chr4R-5;chr4R-6;chr4R-7;chr7R-1
6991_day0_with_selection_repeat	G2	2	4	chr13L-1;chr14L-3;chr14L-4;chr14L-5
6991_day0_with_selection_repeat	G7	2	2	chr10L-1;chr9L-1
6991_day0_with_selection_repeat	G5	1	1	chr8L-1
6991_day0_with_selection_repeat	G3	1	1	chr8R-1
6991_day0_with_selection_repeat2	G2	4	4	chr13L-1;chr14L-3;chr14L-4;chr14L-5
6991_day0_with_selection_repeat2	G1	3	2	chr2L-1;chr6L-1
6991_day0_with_selection_repeat2	G8	2	18	chr12R-2;chr12R-3;chr12R-4;chr12R-5;chr12R-6;chr12R-7;chr14L-1;chr14L-2;chr15R-1;chr16L-1;chr4R-1;chr4R-2;chr4R-3;chr4R-4;chr4R-5;chr4R-6;chr4R-7;chr7R-1
6991_day0_with_selection_repeat2	G3	2	1	chr8R-1
6991_day0_with_selection_repeat2	G7	1	2	chr10L-1;chr9L-1
6991_day0_with_selection_repeat2	G6	1	1	chr16R-1
7172_day0_with_selection	G2	4	2	chr13L-1;chr14L-3
7302_day0_with_selection	G2	4	5	chr13L-1;chr13L-3;chr14L-3;chr14L-4;chr14L-5
7302_day0_with_selection	G8	3	19	chr12R-2;chr12R-3;chr12R-4;chr12R-5;chr12R-6;chr13L-2;chr13L-4;chr14L-1;chr14L-2;chr15R-1;chr16L-1;chr4R-1;chr4R-2;chr4R-3;chr4R-4;chr4R-5;chr4R-6;chr4R-7;chr7R-1
7302_day0_with_selection	G10	3	1	chr14R-1
7302_day0_with_selection	G3	2	1	chr8R-1
7302_day0_with_selection	G7	1	2	chr10L-1;chr9L-1
7302_day0_with_selection	G1	1	2	chr2L-1;chr6L-1
