sample	read_id	chr_end	y_prime_status	observed_array	window_len	window_start	expected_source	recombination_source	overall_confidence	compatible_ends	fingerprint_source	mechanism	hit
7302_day5_with_selection	SRR33298447.322782	chr10R	Y' Gain	ID2,ID1,ID2,ID1	4	0	chr13L	chr13L	0.66	chr12L,chr13L,chr8L,chr8R	chr13L	donor_transfer	True
7302_day5_with_selection	SRR33298447.490537	chr11L	Y' Gain	ID2,ID1,ID2,ID1,ID2,ID2,ID2,ID2,ID2,ID2,ID2	5	0	chr13L	chr13L	-0.0026	chr12L,chr13L,chr8L,chr8R	chr13L	subtelomere_switch	True
7302_day5_with_selection	SRR33298447.149279	chr11L	Y' Gain	ID1,ID1,ID2,ID1,ID2	4	1	chr13L	chr13L	0.0036	chr14L,chr15R,chr16L,chr4R,chr5R,chr7R	chr13L	subtelomere_switch	True
7302_day5_with_selection	SRR33298447.146060	chr11L	Y' Gain	ID2,ID1,ID2	3	0	chr13L	chr13L	0.66	chr12L,chr13L,chr8L,chr8R	chr13L	donor_transfer	True
7302_day5_with_selection	SRR33298447.268817	chr11R	Y' Gain	ID2,ID1,ID2,ID2,ID1,ID1	3	0	chr13L	chr14L	0.66	chr12L,chr13L,chr8L,chr8R	chr14L	donor_transfer	False
7302_day5_with_selection	SRR33298447.12915	chr11R	Y' Gain	ID2,ID1,ID2,ID1	4	0	chr13L	chr13L	0.66	chr12L,chr13L,chr8L,chr8R	chr13L	donor_transfer	True
7302_day5_with_selection	SRR33298447.28086	chr12L	Y' Gain	ID2,ID1,ID2,ID1	4	0	chr13L	chr13L	0.66	chr12L,chr13L,chr8L,chr8R	chr13L	donor_transfer	True
7302_day5_with_selection	SRR33298447.170876	chr13R	Y' Gain	ID2,ID1,ID2,ID1,ID1,ID2,ID1	4	0	chr13L	chr13L	0.0013	chr12L,chr13L,chr8L,chr8R		subtelomere_switch	True
7302_day5_with_selection	SRR33298447.85642	chr14R	1st Y' Change	ID1,ID2,ID1,ID2	4	0	chr13L	chr13L	0.66	chr14L,chr15R,chr16L,chr4R,chr5R,chr7R	chr13L	donor_transfer	True
7302_day5_with_selection	SRR33298447.151294	chr15R	Y' Gain	ID1,ID2,ID1,ID2,ID1,ID1	5	0	chr13L	chr13L	0.66	chr14L,chr15R,chr16L,chr4R,chr5R,chr7R	chr13L	donor_transfer	True
7302_day5_with_selection	SRR33298447.78734	chr15R	Y' Gain	ID1,ID1,ID2,ID1	3	1	chr13L	chr13L	0.66	chr14L,chr15R,chr16L,chr4R,chr5R,chr7R	chr13L	donor_transfer	True
7302_day5_with_selection	SRR33298447.335886	chr16L	Y' Gain	ID1,ID2,ID1,ID1	3	0	chr13L	chr13L	0.33	chr14L,chr15R,chr16L,chr4R,chr5R,chr7R		donor_transfer_candidates:2	True
7302_day5_with_selection	SRR33298447.108657	chr16L	Y' Gain	ID1,ID2,ID1	3	0	chr13L	chr13L	0.44	chr14L,chr15R,chr16L,chr4R,chr5R,chr7R	chr13L	donor_transfer	True
