read_id	chr_end	read_length	telo_side	anchor_start	anchor_end	spacer_start	spacer_end	spacer_size	spacer_source	spacer_plurality_source	spacer_switch_pos	spacer_best_identity	spacer_second_best_identity	spacer_confidence	spacer_recombination	spacer_quick_check_skipped	x_element_start	x_element_end	x_element_size	x_element_source	x_element_switch_pos	x_element_best_identity	x_element_second_best_identity	x_element_confidence	x_element_recombination	x_element_cluster_id	y_prime_count_on_read	y_prime_observed_array	y_prime_positions	y_prime_start	y_prime_end	y_prime_size	y_prime_recombination_status	y_prime_divergence_idx	y_prime_expected_at_divergence	y_prime_found_at_divergence	y_prime_downstream_consistent	y_prime_compatible_ends	y_prime_gained_segment	y_prime_fingerprint_window	y_prime_fingerprint_len	y_prime_fingerprint_kind	y_prime_array_matches	y_prime_self_match	y_prime_fingerprint_source	y_prime_fingerprint_specificity	y_prime_path	y_prime_path_n_segments	y_prime_path_primary_donor	y_prime_path_primary_len	y_prime_path_circles	y_prime_path_its_verified	y_prime_path_its_checked	recombination_source	recombination_detected	overall_confidence	cross_feature_consistent	cross_feature_detail	is_complex_event	confidence_factors	source_votes	source_tie	source_resolution	recombination_mechanism	y_prime_donor	telomere_end_confirmed	telomere_repeat_length	y_prime_probe_count	y_prime_tail_bp	qc_flags
SRR33298449.333059	chr6L	42642	end	0	5041	5041	17542	12501	chr6L	chr6L	-1	99.74	0.0	0.95	no_change	False	17542	18246	704	chr6L	-1	99.58	90.49	0.9501	no_change	ID23	4	ID4,ID2,ID3,ID3	ID4:18362-24340;ID2:24503-31176;ID3:31351-36839;ID3:37015-42498	18362	42498	24136	Y' Gain	1		ID2	True	chr2L,chr6L	ID2,ID3,ID3	ID2,ID3,ID3	3	contiguous	chr14L:contiguous	False	chr14L	1.0	chr14L[2-4]:ID2,ID3,ID3	1	chr14L	3		2	2	chr14L	True	0.66	True	y_prime=chr14L; y_prime_compatible=chr2L,chr6L; y_prime_array_matches=chr14L:contiguous; y_prime_status=Y' Gain; y_prime_path=chr14L[2-4]:ID2,ID3,ID3	False	base=0.60, complexity=1.10	chr14L=1.00	False	arm	donor_transfer	chr14L	True	136.0	3.0	144	
SRR33298449.62480	chr6L	35542	beginning	30521	35542	18218	30521	12303	chr6L	chr6L	-1	99.06	0.0	0.95	no_change	False	17516	18218	702	chr6L	-1	99.43	90.15	0.9588	no_change	ID23	3	ID4,ID3,ID3	ID4:11403-17400;ID3:5757-11231;ID3:113-5584	113	17400	17287	Y' Gain	1		ID3	True	chr2L,chr6L	ID3,ID3	ID3,ID3	2	contiguous	chr14L:contiguous	False	chr14L	1.0	chr14L[3-4]:ID3,ID3	1	chr14L	2		1	1	chr14L	True	0.44	True	y_prime=chr14L; y_prime_compatible=chr2L,chr6L; y_prime_array_matches=chr14L:contiguous; y_prime_status=Y' Gain; y_prime_path=chr14L[3-4]:ID3,ID3	False	base=0.40, complexity=1.10	chr14L=0.60	False	arm	donor_transfer	chr14L	True	77.0	3.0	113	
SRR33298449.213792	chr6L	31204	beginning	26169	31204	13851	26169	12318	chr6L	chr6L	-1	97.23	0.0	0.95	no_change	False	13148	13851	703	chr6L	-1	98.87	90.02	0.9319	no_change	ID23	2	ID4,ID2	ID4:7055-13032;ID2:226-6876	226	13032	12806	Y' Gain	1		ID2	True	chr2L,chr6L	ID2	ID2	1	contiguous	chr12R:contiguous;chr13L:contiguous;chr14L:contiguous;chr15R:contiguous;chr4R:contiguous	False		0.2	chr12R|chr13L|chr14L|chr15R|chr4R:ID2	1		1		0	0	chr14	True	0.33	True	supplementary=chr14; y_prime_compatible=chr2L,chr6L; y_prime_array_matches=chr12R:contiguous,chr13L:contiguous,chr14L:contiguous,chr15R:contiguous,chr4R:contiguous; y_prime_status=Y' Gain; y_prime_path=chr12R|chr13L|chr14L|chr15R|chr4R:ID2	False	base=0.30, complexity=1.10	chr14=0.25	False	chromosome	donor_transfer_candidates:5		True	174.0	2.0	226	
SRR33298449.507388	chr6L	31140	end	0	5040	5040	17348	12308	chr6L	chr6L	-1	98.67	0.0	0.95	no_change	False	17348	18052	704	chr6L	-1	100.0	90.64	0.968	no_change	ID23	2	ID4,ID2	ID4:18174-24145;ID2:24324-30928	18174	30928	12754	Y' Gain	1		ID2	True	chr2L,chr6L	ID2	ID2	1	contiguous	chr12R:contiguous;chr13L:contiguous;chr14L:contiguous;chr15R:contiguous;chr4R:contiguous	False		0.2	chr12R|chr13L|chr14L|chr15R|chr4R:ID2	1		1		0	0	chr14	True	0.33	True	supplementary=chr14; y_prime_compatible=chr2L,chr6L; y_prime_array_matches=chr12R:contiguous,chr13L:contiguous,chr14L:contiguous,chr15R:contiguous,chr4R:contiguous; y_prime_status=Y' Gain; y_prime_path=chr12R|chr13L|chr14L|chr15R|chr4R:ID2	False	base=0.30, complexity=1.10	chr14=0.25	False	chromosome	donor_transfer_candidates:5		True	163.0	2.0	212	
SRR33298449.399332	chr6L	31118	beginning	26079	31118	13764	26079	12315	chr6L	chr6L	-1	99.2	0.0	0.95	no_change	False	13058	13764	706	chr6L	-1	99.72	90.49	0.9585	no_change	ID23	2	ID4,ID2	ID4:6966-12942;ID2:168-6801	168	12942	12774	Y' Gain	1		ID2	True	chr2L,chr6L	ID2	ID2	1	contiguous	chr12R:contiguous;chr13L:contiguous;chr14L:contiguous;chr15R:contiguous;chr4R:contiguous	False		0.2	chr12R|chr13L|chr14L|chr15R|chr4R:ID2	1		1		0	0	chr14	True	0.33	True	supplementary=chr14; y_prime_compatible=chr2L,chr6L; y_prime_array_matches=chr12R:contiguous,chr13L:contiguous,chr14L:contiguous,chr15R:contiguous,chr4R:contiguous; y_prime_status=Y' Gain; y_prime_path=chr12R|chr13L|chr14L|chr15R|chr4R:ID2	False	base=0.30, complexity=1.10	chr14=0.25	False	chromosome	donor_transfer_candidates:5		True	135.0	2.0	168	
SRR33298449.187591	chr6L	31111	beginning	26073	31111	13754	26073	12319	chr6L	chr6L	-1	99.33	0.0	0.95	no_change	False	13048	13754	706	chr6L	-1	98.03	88.94	0.9356	no_change	ID23	2	ID4,ID2	ID4:6978-12932;ID2:171-6811	171	12932	12761	Y' Gain	1		ID2	True	chr2L,chr6L	ID2	ID2	1	contiguous	chr12R:contiguous;chr13L:contiguous;chr14L:contiguous;chr15R:contiguous;chr4R:contiguous	False		0.2	chr12R|chr13L|chr14L|chr15R|chr4R:ID2	1		1		0	0	chr14	True	0.33	True	supplementary=chr14; y_prime_compatible=chr2L,chr6L; y_prime_array_matches=chr12R:contiguous,chr13L:contiguous,chr14L:contiguous,chr15R:contiguous,chr4R:contiguous; y_prime_status=Y' Gain; y_prime_path=chr12R|chr13L|chr14L|chr15R|chr4R:ID2	False	base=0.30, complexity=1.10	chr14=0.25	False	chromosome	donor_transfer_candidates:5		True	134.0	2.0	171	
SRR33298449.454630	chr6L	31082	end	0	5030	5030	17350	12320	chr6L	chr6L	-1	98.85	0.0	0.95	no_change	False	17350	18059	709	chr6L	-1	99.3	90.64	0.9262	no_change	ID23	2	ID4,ID2	ID4:18175-24148;ID2:24320-30958	18175	30958	12783	Y' Gain	1		ID2	True	chr2L,chr6L	ID2	ID2	1	contiguous	chr12R:contiguous;chr13L:contiguous;chr14L:contiguous;chr15R:contiguous;chr4R:contiguous	False		0.2	chr12R|chr13L|chr14L|chr15R|chr4R:ID2	1		1		0	0	chr14	True	0.33	True	supplementary=chr14; y_prime_compatible=chr2L,chr6L; y_prime_array_matches=chr12R:contiguous,chr13L:contiguous,chr14L:contiguous,chr15R:contiguous,chr4R:contiguous; y_prime_status=Y' Gain; y_prime_path=chr12R|chr13L|chr14L|chr15R|chr4R:ID2	False	base=0.30, complexity=1.10	chr14=0.25	False	chromosome	donor_transfer_candidates:5		False	115.0	2.0	124	
SRR33298449.506450	chr6L	30530	end	0	5046	5046	17355	12309	chr6L	chr6L	-1	98.79	0.0	0.95	no_change	False	17355	18059	704	chr6L	-1	100.0	90.64	0.968	no_change	ID23	2	ID7,ID2	ID7:18175-23632;ID2:23794-30441	18175	30441	12266	1st Y' Change	0	ID4	ID7	False	chr13L	ID7,ID2	ID7,ID2	2	contiguous	chr13L:contiguous	False	chr13L	1.0	chr13L[1-2]:ID7,ID2	1	chr13L	2		1	1	chr13L	True	0.44	True	supplementary=chr14; y_prime=chr13L; y_prime_compatible=chr13L; y_prime_array_matches=chr13L:contiguous; y_prime_status=1st Y' Change; y_prime_path=chr13L[1-2]:ID7,ID2	False	base=0.40, complexity=1.10	chr13L=0.60;chr14=0.25	False	arm	donor_transfer	chr13L	False	80.0	2.0	89	
SRR33298449.402907	chr6L	29953	end	0	5036	5036	17345	12309	chr6L	chr6L	-1	98.47	0.0	0.95	no_change	False	17345	18048	703	chr6L	-1	99.86	90.61	0.961	no_change	ID23	2	ID4,ID2	ID4:18164-24147;ID2:24311-27889	18164	27889	9725	Y' Gain	1		ID2	True	chr2L,chr6L	ID2	ID2	1	contiguous	chr12R:contiguous;chr13L:contiguous;chr14L:contiguous;chr15R:contiguous;chr4R:contiguous	False		0.2	chr12R|chr13L|chr14L|chr15R|chr4R:ID2	1		1		0	0	chr13	True	0.33	True	supplementary=chr13; y_prime_compatible=chr2L,chr6L; y_prime_array_matches=chr12R:contiguous,chr13L:contiguous,chr14L:contiguous,chr15R:contiguous,chr4R:contiguous; y_prime_status=Y' Gain; y_prime_path=chr12R|chr13L|chr14L|chr15R|chr4R:ID2	False	base=0.30, complexity=1.10	chr13=0.25	False	chromosome	donor_transfer_candidates:5		False	1908.0	1.0	2064	
SRR33298449.565595	chr6L	29400	beginning	24364	29400	12077	24364	12287	chr6L	chr6L	-1	98.0	0.0	0.95	no_change	False	11374	12077	703	chr6L	-1	99.72	90.64	0.9511	no_change	ID23	2	ID3,ID7	ID3:5795-11262;ID7:161-5640	161	11262	11101	1st Y' Change	0	ID4	ID3	False		ID3,ID7		0			False		0.0	chr14L[3]:ID3 > chr13L[1]:ID7	2	chr14L	1		0	1	chr12	True	0.3	True	supplementary=chr12; y_prime_status=1st Y' Change; y_prime_path=chr14L[3]:ID3 > chr13L[1]:ID7	False	base=0.30, complexity=1.00	chr12=0.25	False	chromosome	unmatched_array		True	128.0	2.0	161	
