read_id_paper	chr_end_paper	n_yprime	switch	our_read_id	groups	read_id_ours	chr_end_ours	read_length	telo_side	anchor_start	anchor_end	spacer_start	spacer_end	spacer_size	spacer_source	spacer_plurality_source	spacer_switch_pos	spacer_best_identity	spacer_second_best_identity	spacer_confidence	spacer_recombination	spacer_quick_check_skipped	x_element_start	x_element_end	x_element_size	x_element_source	x_element_switch_pos	x_element_best_identity	x_element_second_best_identity	x_element_confidence	x_element_recombination	x_element_cluster_id	y_prime_count_on_read	y_prime_observed_array	y_prime_positions	y_prime_start	y_prime_end	y_prime_size	y_prime_recombination_status	y_prime_divergence_idx	y_prime_expected_at_divergence	y_prime_found_at_divergence	y_prime_downstream_consistent	y_prime_compatible_ends	y_prime_gained_segment	y_prime_fingerprint_window	y_prime_fingerprint_len	y_prime_fingerprint_kind	y_prime_array_matches	y_prime_self_match	y_prime_fingerprint_source	y_prime_fingerprint_specificity	y_prime_path	y_prime_path_n_segments	y_prime_path_primary_donor	y_prime_path_primary_len	y_prime_path_circles	y_prime_path_its_verified	y_prime_path_its_checked	recombination_source	recombination_detected	overall_confidence	cross_feature_consistent	cross_feature_detail	is_complex_event	confidence_factors	source_votes	source_tie	source_resolution	recombination_mechanism	y_prime_donor	telomere_end_confirmed	telomere_repeat_length	y_prime_probe_count	y_prime_tail_bp	qc_flags
021d8c83-cd5a-47b8-83cb-d911e29adad7	chr2L	3	N	SRR33298449.430392	ID2,ID2,ID3	SRR33298449.430392	chr2L	29065.0	beginning	24029.0	29065.0	20023.0	24029.0	4006.0	chr2L	chr2L	-1.0	96.47	0.0	0.95	no_change	False	19268.0	20023.0	755.0	chr2L	-1.0	98.29	90.27	0.886	no_change	ID16	3.0	ID3,ID2,ID2	ID3:13815-19266;ID2:7003-13647;ID2:184-6831	184.0	19266.0	19082.0	1st Y' Change	0.0	ID4	ID3	False		ID3,ID2,ID2	ID3,ID2	2.0	contiguous	chr14L:rotation	False	chr14L	1.0	chr14L[3]:ID3 > chr12R|chr4R:ID2,ID2	2.0		2.0		2.0	2.0	chr14L	True	0.44	True	y_prime=chr14L; y_prime_array_matches=chr14L:rotation; y_prime_status=1st Y' Change; y_prime_path=chr14L[3]:ID3 > chr12R|chr4R:ID2,ID2	False	base=0.40, complexity=1.10	chr14L=0.60	False	arm	donor_transfer	chr14L	True	148.0	3.0	184.0	
061edee4-4c27-4874-8b01-5689329fd93e	chr3R	4	Y	SRR33298449.117144	ID6,ID2,ID3,ID3	SRR33298449.117144	chr3R	40634.0	end	0.0	5062.0	5062.0	15064.0	10002.0	chr3R	chr3R	-1.0	98.48	0.0	0.95	no_change	False	15064.0	15772.0	708.0	chr3R	-1.0	99.86	88.32	1.0	no_change	ID18	4.0	ID6,ID2,ID3,ID3	ID6:15876-22404;ID2:22575-29239;ID3:29411-34892;ID3:35060-40536	15876.0	40536.0	24660.0	Y' Gain	0.0		ID6	True	chr10L,chr14R,chr5L,chr9L	ID6,ID2,ID3,ID3	ID2,ID3,ID3	3.0	contiguous	chr14L:contiguous	False	chr14L	1.0	chr10L|chr14R|chr5L|chr9L:ID6 > chr14L[2-4]:ID2,ID3,ID3	2.0	chr14L	3.0		2.0	3.0	chr14L	True	0.66	True	y_prime=chr14L; y_prime_compatible=chr10L,chr14R,chr5L,chr9L; y_prime_array_matches=chr14L:contiguous; y_prime_status=Y' Gain; y_prime_path=chr10L|chr14R|chr5L|chr9L:ID6 > chr14L[2-4]:ID2,ID3,ID3	False	base=0.60, complexity=1.10	chr14L=1.00	False	arm	donor_transfer	chr14L	True	89.0	4.0	98.0	
0aff9a27-11d8-4844-a054-5cbf1714aae7	chr13L	11	Y	SRR33298449.22248	ID2,ID2,ID2,ID2,ID2,ID7,ID8,ID8,ID7,ID8,ID7	SRR33298449.22248	chr13L	81661.0	beginning	76636.0	81661.0	72169.0	76636.0	4467.0	chr13L	chr13L	-1.0	98.8	0.0	0.95	no_change	False	71414.0	72169.0	755.0	chr13L	-1.0	99.73	89.84	0.9923	no_change	ID1	11.0	ID7,ID2,ID7,ID2,ID2,ID7,ID2,ID2,ID2,ID2,ID2	ID7:65879-71360;ID2:59066-65717;ID7:53424-58907;ID2:46620-53261;ID2:39796-46458;ID7:34173-39645;ID2:27365-34010;ID2:20559-27201;ID2:13749-20398;ID2:6943-13585;ID2:133-6780	133.0	71360.0	71227.0	Y' Gain	4.0		ID2	True	chr13L	ID2,ID7,ID2,ID2,ID2,ID2,ID2	ID2,ID7,ID2	3.0	contiguous	chr13L:contiguous	True		1.0	self[2-4]:ID2,ID7,ID2 > self[2]:ID2,ID2,ID2,ID2(circ x4.0 moderate)	2.0	self	4.0	self[2]:ID2x4.0:moderate	5.0	6.0	chr13L	True	0.33	True	supplementary=chr2; y_prime_compatible=chr13L; y_prime_array_matches=chr13L:contiguous; y_prime_status=Y' Gain; y_prime_path=self[2-4]:ID2,ID7,ID2 > self[2]:ID2,ID2,ID2,ID2(circ x4.0 moderate)	False	base=0.30, complexity=1.10	chr2=0.25	False	self	tandem_amplification_same_end		True	88.0	11.0	133.0	
0b3c30c0-cc76-456c-b77f-c40d81999c46	chr7R	6	N	SRR33298449.277410	ID2,ID2,ID2,ID2,ID2,ID5	SRR33298449.277410	chr7R	54500.0	beginning	49459.0	54500.0	41189.0	49459.0	8270.0	chr7R	chr7R	-1.0	97.24	0.0	0.95	no_change	False	40481.0	41189.0	708.0	chr7R	-1.0	100.0	89.31	1.0	no_change	ID26	6.0	ID5,ID2,ID2,ID2,ID2,ID2	ID5:33829-40562;ID2:26999-33655;ID2:20324-26990;ID2:13665-20315;ID2:6824-13495;ID2:167-6815	167.0	40562.0	40395.0	Y' Gain	1.0		ID2	True	chr14L,chr16L,chr7R	ID2,ID2,ID2,ID2,ID2	ID2,ID2,ID2,ID2,ID2	5.0	contiguous	chr12R:contiguous;chr4R:contiguous	False		0.5	chr4R[1-4]:ID2,ID2,ID2,ID2,ID2(circ x1.2 moderate | alt chr4R[1-3] + chr4R[1-2])	1.0	chr4R	5.0	chr4R[1-4]:ID2,ID2,ID2,ID2x1.2:moderate	4.0	4.0	chr4R	True	0.33	True	y_prime=chr4R; y_prime_compatible=chr14L,chr16L,chr7R; y_prime_array_matches=chr12R:contiguous,chr4R:contiguous; y_prime_status=Y' Gain; y_prime_path=chr4R[1-4]:ID2,ID2,ID2,ID2,ID2(circ x1.2 moderate | alt chr4R[1-3] + chr4R[1-2])	False	base=0.30, complexity=1.10	chr4R=1.00	False	arm	donor_transfer	chr4R	True	129.0	6.0	167.0	
0b7a453d-40fc-402b-8fb7-c825d544a889	chr15L	2	N	SRR33298449.396304	ID1,ID2	SRR33298449.396304	chr15L	19009.0	end	0.0	5042.0	5042.0	5882.0	840.0	chr15L	chr15L	-1.0	97.7	0.0	0.95	no_change	False	5882.0	6602.0	720.0	chr15L	-1.0	94.36	92.37	0.5658	no_change	ID12	2.0	ID1,ID2	ID1:6661-12087;ID2:12249-18897	6661.0	18897.0	12236.0	Y' Gain	0.0		ID1	True	chr12L,chr12R,chr16R,chr5R,chr8L,chr8R	ID1,ID2	ID1,ID2	2.0	contiguous	chr12R:contiguous	False	chr12R	1.0	chr12R[1-2]:ID1,ID2	1.0	chr12R	2.0		1.0	1.0	chr12R	True	0.44	True	y_prime=chr12R; y_prime_compatible=chr12L,chr12R,chr16R,chr5R,chr8L; y_prime_array_matches=chr12R:contiguous; y_prime_status=Y' Gain; y_prime_path=chr12R[1-2]:ID1,ID2	False	base=0.40, complexity=1.10	chr12R=0.60	False	arm	donor_transfer	chr12R	True	104.0	2.0	112.0	
0e4dedc4-e74d-4d40-b239-2cd7064fea44	chr8L	6	N	SRR33298449.319937	ID1,ID3,ID3,ID5,ID2,ID3	SRR33298449.319937	chr8L	41557.0	end	0.0	5045.0	5045.0	5251.0	206.0	chr8L	chr8L	-1.0	97.01	0.0	0.95	no_change	False	5251.0	5701.0	450.0	chr8L	-1.0	99.34	91.26	0.8979	no_change	ID27	6.0	ID1,ID3,ID3,ID5,ID2,ID3	ID1:5800-10857;ID3:11027-16516;ID3:16691-22175;ID5:22350-28995;ID2:29163-35812;ID3:35984-41455	5800.0	41455.0	35655.0	Y' Gain	1.0		ID3	True	chr12L,chr12R,chr16R,chr5R,chr8L,chr8R	ID3,ID3,ID5,ID2,ID3	ID3,ID3,ID5,ID2,ID3	5.0	contiguous	chr14L:rotation	False	chr14L	1.0	chr14L[1-4]:ID3,ID3,ID5,ID2,ID3(circ x1.2 moderate | alt chr14L[3-4] + chr14L[1-3])	1.0	chr14L	5.0	chr14L[1-4]:ID3,ID3,ID5,ID2x1.2:moderate	4.0	4.0	chr14L	True	0.66	True	y_prime=chr14L; y_prime_compatible=chr12L,chr12R,chr16R,chr5R,chr8L; y_prime_array_matches=chr14L:rotation; y_prime_status=Y' Gain; y_prime_path=chr14L[1-4]:ID3,ID3,ID5,ID2,ID3(circ x1.2 moderate | alt chr14L[3-4] + chr14L[1-3])	False	base=0.60, complexity=1.10	chr14L=1.00	False	arm	donor_transfer	chr14L	True	91.0	6.0	102.0	
0e5cf3de-999c-4950-bcce-61c30955d604	chr10R	5	N	SRR33298449.327615	ID7,ID8,ID7,ID8,ID7	SRR33298449.327615	chr10R	51270.0	end	0.0	5024.0	5024.0	20041.0	15017.0	chr10R	chr10R	-1.0	99.58	0.0	0.95	no_change	False	20041.0	20799.0	758.0	chr10R	-1.0	100.0	96.18	0.691	no_change	ID4	5.0	ID7,ID2,ID7,ID2,ID7	ID7:20840-26318;ID2:26480-33126;ID7:33277-38756;ID2:38918-45555;ID7:45706-51180	20840.0	51180.0	30340.0	Y' Gain	0.0		ID7	True	chr13L	ID7,ID2,ID7,ID2,ID7	ID7,ID2,ID7,ID2,ID7	5.0	periodic	chr13L:periodic	False	chr13L	1.0	chr13L[1-2]:ID7,ID2,ID7,ID2,ID7(circ x2.5 strong)	1.0	chr13L	5.0	chr13L[1-2]:ID7,ID2x2.5:strong	4.0	4.0	chr13L	True	0.66	True	y_prime=chr13L; y_prime_compatible=chr13L; y_prime_array_matches=chr13L:periodic; y_prime_status=Y' Gain; y_prime_path=chr13L[1-2]:ID7,ID2,ID7,ID2,ID7(circ x2.5 strong)	False	base=0.60, complexity=1.10	chr13L=1.00	False	arm	donor_transfer	chr13L	True	81.0	5.0	90.0	
102ce463-3ef7-413e-aaa5-fbcf48a58e61	chr16L	5	N	SRR33298449.304990	ID5,ID2,ID2,ID2,ID2	SRR33298449.304990	chr16L	45099.0	end	0.0	3987.0	3987.0	17338.0	13351.0	chr16L	chr16L	-1.0	98.67	0.0	0.95	no_change	False	17338.0	18031.0	693.0	chr16L	-1.0	96.73	88.23	0.8944	no_change	ID2	4.0	ID5,ID2,ID2,ID2	ID5:17950-24679;ID2:24866-31482;ID2:31654-38357;ID2:38366-45009	17950.0	45009.0	27059.0	Y' Gain	1.0		ID2	True	chr14L,chr16L,chr7R	ID2,ID2,ID2	ID2,ID2,ID2	3.0	contiguous	chr12R:contiguous;chr4R:contiguous	False		0.5	chr4R[5-7]:ID2,ID2,ID2	1.0	chr4R	3.0		2.0	2.0	chr4R	True	0.33	True	y_prime=chr4R; y_prime_compatible=chr14L,chr16L,chr7R; y_prime_array_matches=chr12R:contiguous,chr4R:contiguous; y_prime_status=Y' Gain; y_prime_path=chr4R[5-7]:ID2,ID2,ID2	False	base=0.30, complexity=1.10	chr4R=1.00	False	arm	donor_transfer	chr4R	True	74.0	4.0	90.0	
15d3be21-26a5-422d-9263-2dd46f487770	chr16R	3	N	SRR33298449.557053	ID1,ID8,ID7	SRR33298449.557053	chr16R	24215.0	end	0.0	5027.0	5027.0	5932.0	905.0	chr16R	chr16R	-1.0	99.46	0.0	0.95	no_change	False	5932.0	6306.0	374.0	chr16R	-1.0	100.0	94.92	0.7542	no_change	ID13	3.0	ID1,ID2,ID7	ID1:6341-11638;ID2:11803-18445;ID7:18594-24079	6341.0	24079.0	17738.0	Y' Gain	1.0		ID2	True	chr12L,chr12R,chr16R,chr5R,chr8L,chr8R	ID2,ID7	ID2,ID7	2.0	contiguous	chr13L:contiguous	False	chr13L	1.0	chr13L[2-3]:ID2,ID7	1.0	chr13L	2.0		1.0	1.0	chr13L	True	0.44	True	y_prime=chr13L; y_prime_compatible=chr12L,chr12R,chr16R,chr5R,chr8L; y_prime_array_matches=chr13L:contiguous; y_prime_status=Y' Gain; y_prime_path=chr13L[2-3]:ID2,ID7	False	base=0.40, complexity=1.10	chr13L=0.60	False	arm	donor_transfer	chr13L	True	125.0	3.0	136.0	
166a29d4-21b5-4a4a-989b-24be5c525d73	chr13L	7	N	SRR33298449.131849	ID7,ID8,ID7,ID8,ID7,ID8,ID7	SRR33298449.131849	chr13L	53240.0	end	0.0	5041.0	5041.0	9486.0	4445.0	chr13L	chr13L	-1.0	98.69	0.0	0.95	no_change	False	9486.0	10239.0	753.0	chr13L	-1.0	100.0	90.06	0.9968	no_change	ID1	7.0	ID7,ID2,ID7,ID2,ID7,ID2,ID7	ID7:10293-15769;ID2:15931-22576;ID7:22727-28203;ID2:28366-35000;ID7:35143-40624;ID2:40786-47410;ID7:47561-53044	10293.0	53044.0	42751.0	Y' Gain	4.0		ID7	True	chr13L	ID7,ID2,ID7	ID7,ID2,ID7	3.0	contiguous	chr13L:contiguous	True		1.0	self[1-3]:ID7,ID2,ID7	1.0	self	3.0		2.0	2.0	chr13L	True	0.33	True	supplementary=chr2; y_prime_compatible=chr13L; y_prime_array_matches=chr13L:contiguous; y_prime_status=Y' Gain; y_prime_path=self[1-3]:ID7,ID2,ID7	False	base=0.30, complexity=1.10	chr2=0.25	False	self	tandem_amplification_same_end		True	161.0	7.0	196.0	
