read_id	chr_end	expected_element	expected_group	donor_element	donor_group	anchorHalf_vs_expected	anchorHalf_vs_donor	anchor_margin	teloHalf_vs_expected	teloHalf_vs_donor	telo_margin	evidence	explanation	donor_candidates_same_group	telo_side	window_pattern
SRR33298452.217955	chr14R	chr14R-1	G10	chr14L-1	G8	99.34%	96.40%	+2.94	96.07%	99.61%	+3.54	strong	mid-Y' recombination (strong: both halves favour the right reference)	chr12R-2,chr12R-3,chr12R-4,chr12R-5,chr12R-6,chr13L-2,chr13L-4,chr14L-2,chr15R-1,chr16L-1,chr4R-1,chr4R-2,chr4R-3,chr4R-4,chr4R-5,chr4R-6,chr4R-7,chr7R-1	end	.AA-A--A-AAAAAAA----BBBB------BBBBB-BB--BBBB.
SRR33298452.246202	chr14R	chr14R-1	G10	chr14L-1	G8	99.71%	97.36%	+2.35	95.48%	99.27%	+3.79	strong	mid-Y' recombination (strong: both halves favour the right reference)	chr12R-2,chr12R-3,chr12R-4,chr12R-5,chr12R-6,chr13L-2,chr13L-4,chr14L-2,chr15R-1,chr16L-1,chr4R-1,chr4R-2,chr4R-3,chr4R-4,chr4R-5,chr4R-6,chr4R-7,chr7R-1	beginning	.BBBBB--B-BBBBB---------A----AAAAAAA-AA---AA.
SRR33298452.241882	chr5R	chr5R-1	G9	chr14R-1	G10	99.35%	95.32%	+4.03	96.45%	99.55%	+3.10	strong	mid-Y' recombination (strong: both halves favour the right reference)	(unique)	end	.----AAAAA-AAA-B----BBBB------BBBB-B---BBBBB
SRR33298452.220014	chr6L	chr6L-1	G1	chr8R-1	G3	96.92%	94.83%	+2.09	95.79%	98.16%	+2.37	strong	mid-Y' recombination (strong: both halves favour the right reference)	(unique)	beginning	.BB--------BB-------------AAAA-AAAA-.
SRR33298452.272227	chr6L	chr6L-1	G1	chr14L-5	G2	99.04%	96.79%	+2.25	95.39%	98.15%	+2.76	strong	mid-Y' recombination (strong: both halves favour the right reference)	chr13L-1,chr13L-3,chr14L-3,chr14L-4	end	.-AAAA-----------------BBB-BB------A
SRR33298452.400002	chr6L	chr6L-1	G1	chr14L-5	G2	99.86%	97.62%	+2.24	96.72%	99.55%	+2.83	strong	mid-Y' recombination (strong: both halves favour the right reference)	chr13L-1,chr13L-3,chr14L-3,chr14L-4	beginning	.BBB----BB-BBB-----------------AAAA-.
SRR33298452.419935	chr6L	chr6L-1	G1	chr14R-1	G10	99.77%	95.50%	+4.27	95.78%	99.27%	+3.49	strong	mid-Y' recombination (strong: both halves favour the right reference)	(unique)	end	.AAA----BABBBBBBBBBBB----B---BBBBB----BBBBB.
SRR33298452.485661	chr6L	chr6L-1	G1	chr16L-1	G8	99.48%	97.05%	+2.43	97.22%	99.82%	+2.60	strong	mid-Y' recombination (strong: both halves favour the right reference)	chr12R-2,chr12R-3,chr12R-4,chr12R-5,chr12R-6,chr13L-2,chr13L-4,chr14L-1,chr14L-2,chr15R-1,chr4R-1,chr4R-2,chr4R-3,chr4R-4,chr4R-5,chr4R-6,chr4R-7,chr7R-1	beginning	.BBB----BB-BBB----------BBBBBBBBBB-AAA--AA--.
SRR33298452.573441	chr10L	chr10L-1	G7	chr14R-1	G10	99.55%	98.33%	+1.22	97.68%	99.67%	+1.99	weak	mid-Y' recombination (weak: correct direction, small margins)	(unique)	end	.------AAA----AAA---AA--------BBBB---BB--BBB.
SRR33298452.400093	chr6L	chr6L-1	G1	chr14L-5	G2	95.08%	92.99%	+2.09	93.96%	95.30%	+1.34	weak	mid-Y' recombination (weak: correct direction, small margins)	chr13L-1,chr13L-3,chr14L-3,chr14L-4	end	.-AAAA-----------------BB--B-----BB-
SRR33298452.427945	chr6L	chr6L-1	G1	chr14L-5	G2	97.58%	96.94%	+0.64	98.42%	99.41%	+0.99	weak	mid-Y' recombination (weak: correct direction, small margins)	chr13L-1,chr13L-3,chr14L-3,chr14L-4	beginning	.BB--------AAA-------BB--------AAA--.
SRR33298452.485827	chr5R	chr5R-1	G9	chr10L-1	G7	98.86%	96.85%	+2.01	96.28%	92.34%	-3.94	FAILS	NOT supported: telomere half still favours the expected element	chr9L-1	end	.---A--AA-AAAAA----------------ABBABAA---AA---A.
SRR33298452.59861	chr2L	chr2L-1	G1	chr8R-1	G3							no junction	whole Y' replaced by the donor (no junction found)	(unique)	end	.------------------------B--BB----BBB
SRR33298452.555243	chr8R	chr8R-1	G3	chr2L-1	G1							no junction	whole Y' replaced by the donor (no junction found)	chr6L-1	beginning	.BBB---BB--BBBBB-----------------------..
