read_id	chr_end	switch	telo_side	ids	kept	n_blocks	blocks	path	our_switch
021d8c83-cd5a-47b8-83cb-d911e29adad7	chr2L	N	beginning	ID3,ID2,ID2	0	2	chr14L > chr12R|chr4R	chr14L[3]:ID3 > chr12R|chr4R:ID2,ID2	True
061edee4-4c27-4874-8b01-5689329fd93e	chr3R	Y	end	ID6,ID2,ID3,ID3	0	2	chr10L|chr14R|chr5L|chr9L > chr14L	chr10L|chr14R|chr5L|chr9L:ID6 > chr14L[2-4]:ID2,ID3,ID3	True
0aff9a27-11d8-4844-a054-5cbf1714aae7	chr13L	Y	beginning	ID7,ID8,ID7,ID8,ID8,ID7,ID2,ID2,ID2,ID2,ID2	4	2	chr13L > chr12R|chr14L|chr4R	self[2-3]:ID8,ID7 > chr12R|chr14L|chr4R:ID2,ID2,ID2,ID2,ID2(circ x5.0)	True
0b3c30c0-cc76-456c-b77f-c40d81999c46	chr7R	N	beginning	ID5,ID2,ID2,ID2,ID2,ID2	1	1	chr4R	chr4R[1-4]:ID2,ID2,ID2,ID2,ID2(circ x1.2 moderate | alt chr4R[1-3] + chr4R[1-2])	False
0b7a453d-40fc-402b-8fb7-c825d544a889	chr15L	N	end	ID1,ID2	0	1	chr12R	chr12R[1-2]:ID1,ID2	False
0e4dedc4-e74d-4d40-b239-2cd7064fea44	chr8L	N	end	ID1,ID3,ID3,ID5,ID2,ID3	1	1	chr14L	chr14L[1-4]:ID3,ID3,ID5,ID2,ID3(circ x1.2 moderate | alt chr14L[3-4] + chr14L[1-3])	False
0e5cf3de-999c-4950-bcce-61c30955d604	chr10R	N	end	ID7,ID8,ID7,ID8,ID7	0	1	chr13L	chr13L[1-2]:ID7,ID8,ID7,ID8,ID7(circ x2.5 strong)	False
102ce463-3ef7-413e-aaa5-fbcf48a58e61	chr16L	N	end	ID5,ID2,ID2,ID2,ID2	1	1	chr4R	chr4R[3-5]:ID2,ID2,ID2,ID2(circ x1.3 moderate | alt chr4R[4-5] + chr4R[1-2])	False
15d3be21-26a5-422d-9263-2dd46f487770	chr16R	N	end	ID1,ID8,ID7	1	1	chr13L	chr13L[2-3]:ID8,ID7	False
166a29d4-21b5-4a4a-989b-24be5c525d73	chr13L	N	end	ID7,ID8,ID7,ID8,ID7,ID8,ID7	4	1	chr13L	self[1-3]:ID7,ID8,ID7	False
16ad467a-e386-4d0f-83ae-5671e2cc4fee	chr13L	N	end	ID7,ID7,ID7,ID8,ID7,ID7,ID8,ID8	1	1	chr13L	self[1]:ID7 > self[1]:ID7 > self[1-3]:ID8,ID7,ID7,ID8(circ x1.3 moderate | alt chr13L[2-3] + chr13L[1-2]) > self[2]:ID8	False
