sample	read_id	chr_end	y_prime_status	observed_array	window_len	window_start	expected_source	recombination_source	overall_confidence	compatible_ends	fingerprint_source	mechanism	hit
7302_day4_with_selection	SRR33298449.327615	chr10R	Y' Gain	ID7,ID2,ID7,ID2,ID7	5	0	chr13L	chr13L	0.66	chr13L	chr13L	donor_transfer	True
7302_day4_with_selection	SRR33298449.274261	chr10R	Y' Gain	ID7,ID2,ID7,ID2	4	0	chr13L	chr14L	0.3559	chr13L	chr13L	subtelomere_switch	False
7302_day4_with_selection	SRR33298449.368231	chr14R	1st Y' Change	ID7,ID2,ID7	3	0	chr13L	chr13L	0.66	chr13L	chr13L	donor_transfer	True
7302_day4_with_selection	SRR33298449.497101	chr15L	Y' Gain	ID7,ID2,ID7,ID2	4	0	chr13L	chr13L	0.66	chr13L	chr13L	donor_transfer	True
7302_day4_with_selection	SRR33298449.293351	chr16L	Y' Gain	ID5,ID2,ID7,ID2	3	1	chr13L	chr13L	0.66	chr14L,chr16L,chr7R	chr13L	donor_transfer	True
7302_day4_with_selection	SRR33298449.444426	chr2R	Y' Gain	ID7,ID2,ID7,ID2,ID7	5	0	chr13L	chr13L	0.66	chr13L	chr13L	donor_transfer	True
7302_day4_with_selection	SRR33298449.196678	chr2R	Y' Gain	ID7,ID2,ID7,ID2	4	0	chr13L	chr13L	0.66	chr13L	chr13L	donor_transfer	True
7302_day4_with_selection	SRR33298449.507268	chr2R	Y' Gain	ID7,ID2,ID7,ID2	4	0	chr13L	chr13L	0.66	chr13L	chr13L	donor_transfer	True
7302_day4_with_selection	SRR33298449.564793	chr2R	Y' Gain	ID7,ID2,ID7,ID2	4	0	chr13L	chr13L	0.66	chr13L	chr13L	donor_transfer	True
7302_day4_with_selection	SRR33298449.567566	chr3R	Y' Gain	ID5,ID2,ID7,ID2	3	1	chr13L	chr7R	0.7	chr14L,chr16L,chr7R	chr13L	subtelomere_switch	False
7302_day4_with_selection	SRR33298449.486235	chr3R	Y' Gain	ID7,ID2,ID7,ID2	4	0	chr13L	chr13L	0.66	chr13L	chr13L	donor_transfer	True
7302_day4_with_selection	SRR33298449.43071	chr3R	Y' Gain	ID7,ID2,ID7,ID2	4	0	chr13L	chr13L	0.66	chr13L	chr13L	donor_transfer	True
7302_day4_with_selection	SRR33298449.277608	chr3R	Y' Gain	ID7,ID2,ID7,ID2	4	0	chr13L	chr13L	0.66	chr13L	chr13L	donor_transfer	True
7302_day4_with_selection	SRR33298449.4646	chr3R	Y' Gain	ID7,ID2,ID7	3	0	chr13L	chr13L	0.66	chr13L	chr13L	donor_transfer	True
7302_day4_with_selection	SRR33298449.23058	chr4L	Y' Gain	ID7,ID2,ID7,ID2,ID7	5	0	chr13L	chr13L	0.66	chr13L	chr13L	donor_transfer	True
7302_day4_with_selection	SRR33298449.141373	chr4L	Y' Gain	ID7,ID2,ID7,ID2	4	0	chr13L	chr13L	0.66	chr13L	chr13L	donor_transfer	True
7302_day4_with_selection	SRR33298449.131857	chr5R	Y' Gain	ID1,ID2,ID7,ID2,ID7,ID2	5	1	chr13L	chr13L	0.66	chr12L,chr12R,chr16R,chr5R,chr8L,chr8R	chr13L	donor_transfer	True
7302_day4_with_selection	SRR33298449.347234	chr7R	Y' Gain	ID5,ID7,ID2,ID7	3	1	chr13L	chr13L	0.66	chr14L,chr16L,chr7R	chr13L	donor_transfer	True
7302_day4_with_selection	SRR33298449.17944	chr8L	1st Y' Change	ID2,ID7,ID2,ID7	4	0	chr13L	chr13L	0.66	chr15R,chr4R	chr13L	donor_transfer	True
7302_day5_with_selection	SRR33298447.322782	chr10R	Y' Gain	ID7,ID2,ID7,ID2	4	0	chr13L	chr13L	0.66	chr13L	chr13L	donor_transfer	True
7302_day5_with_selection	SRR33298447.490537	chr11L	Y' Gain	ID7,ID2,ID7,ID2,ID7,ID3,ID3,ID3,ID3,ID3,ID3	5	0	chr13L	chr13L	0.66	chr13L	chr13L	donor_transfer	True
7302_day5_with_selection	SRR33298447.146060	chr11L	Y' Gain	ID7,ID2,ID7	3	0	chr13L	chr13L	0.66	chr13L	chr13L	donor_transfer	True
7302_day5_with_selection	SRR33298447.268817	chr11R	Y' Gain	ID7,ID2,ID7,ID7,ID2,ID2	3	0	chr13L	chr13L	0.66	chr13L	chr13L	donor_transfer	True
7302_day5_with_selection	SRR33298447.12915	chr11R	Y' Gain	ID7,ID2,ID7,ID2	4	0	chr13L	chr13L	0.66	chr13L	chr13L	donor_transfer	True
7302_day5_with_selection	SRR33298447.28086	chr12L	Y' Gain	ID1,ID2,ID7,ID2	3	1	chr13L	chr13L	0.66	chr12L,chr12R,chr16R,chr5R,chr8L,chr8R	chr13L	donor_transfer	True
7302_day5_with_selection	SRR33298447.170876	chr13R	Y' Gain	ID7,ID2,ID7,ID2,ID2,ID7,ID2	4	0	chr13L	chr13L	0.66	chr13L	chr13L	donor_transfer	True
7302_day5_with_selection	SRR33298447.85642	chr14R	1st Y' Change	ID2,ID7,ID2,ID7	4	0	chr13L	chr13L	0.66	chr15R,chr4R	chr13L	donor_transfer	True
7302_day5_with_selection	SRR33298447.151294	chr15R	Y' Gain	ID2,ID7,ID2,ID7,ID2,ID2	5	0	chr13L	chr13L	0.66	chr15R,chr4R	chr13L	donor_transfer	True
