read_id	chr_end	y_prime_observed_array	y_prime_gained_segment	y_prime_path	cat	recombination_source	overall_confidence
SRR33298443.247937	chr10L	ID3,ID1,ID1	ID1,ID1	chr13L?[2]:ID1 > chr12R|chr13L|chr14L|chr15R|chr16L|chr4R|chr5R|chr7R:ID1	unresolved	chr11L	0.7091
SRR33298443.24320	chr10R	ID4,ID2	ID4,ID2	chr2L|chr6L:ID4 > chr12L|chr13L|chr14L|chr8L|chr8R:ID2	unresolved	chr6L	1.0
SRR33298443.135271	chr11L	ID4,ID2,ID1,ID1,ID1,ID1,ID4	ID4,ID2,ID1,ID1,ID1,ID1,ID4	chr2L|chr6L:ID4 > chr14L?[3]:ID2 > chr12R[2-5]:ID1,ID1,ID1,ID1 > chr2L|chr6L:ID4	unique donor by IDs+ITS	chr12R	0.3
SRR33298443.72721	chr11L	ID2,ID1,ID1,ID1,ID1,ID1	ID2,ID1,ID1,ID1,ID1,ID1	chr13L[1-2]:ID2,ID1 > chr12R|chr13L:ID1,ID1,ID1,ID1(circ x4.0)	unresolved	chr13L	0.33
SRR33298443.46802	chr11L	ID2,ID1,ID1,ID1,ID1,ID1	ID2,ID1,ID1,ID1,ID1,ID1	chr12L|chr13L|chr14L|chr8L|chr8R:ID2 > chr14L?[2]:ID1 > chr12R|chr13L:ID1,ID1,ID1,ID1(circ x4.0)	unresolved	chr13L	0.33
SRR33298443.250898	chr12L	ID2,ID2,ID2,ID1	ID2,ID2,ID1	self[1]:ID2 > chr13L[1-2]:ID2,ID1	unique donor by IDs+ITS	chr13L	0.33
SRR33298443.45056	chr12L	ID2,ID2,ID2	ID2,ID2	chr13L?[1]:ID2 > self[1]:ID2	unique donor by IDs	chr14L	0.44
SRR33298443.156901	chr12L	ID2,ID2,ID2	ID2,ID2	chr14L[3-4]:ID2,ID2	unique donor by IDs	chr14L	0.44
SRR33298443.48670	chr13L	ID2,ID1,ID1,ID1,ID1,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2	ID1,ID1,ID1,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2	chr12R[2-4]:ID1,ID1,ID1 > chr14L?[3]:ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2(circ x8.0 strong)	unique donor by IDs	chr14L	0.66
SRR33298443.25375	chr13L	ID2,ID1,ID1,ID1,ID1,ID2,ID2	ID1,ID1,ID1,ID2,ID2	chr14L?[2]:ID1 > chr14L[1-4]:ID1,ID1,ID2,ID2	unique donor by IDs	chr14L	0.66
SRR33298443.199721	chr13L	ID2,ID1,ID1,ID1,ID1	ID1,ID1,ID1	chr12R|chr4R:ID1,ID1,ID1	unresolved	chr4R	0.33
SRR33298443.70659	chr13R	ID1,ID1,ID2,ID1	ID1,ID1,ID2,ID1	chr14L[1-3]:ID1,ID1,ID2,ID1(circ x1.3 moderate | alt chr14L[1-3] + chr14L[1])	unique donor by IDs	chr7L	0.3263
SRR33298443.154637	chr13R	ID1,ID1,ID1,ID2	ID1,ID1,ID1,ID2	chr14L?[2]:ID1 > chr14L[1-3]:ID1,ID1,ID2	unique donor by IDs	chr1L	0.3697
SRR33298443.173110	chr13R	ID1,ID1,ID2,ID1	ID1,ID1,ID2,ID1	chr14L[1-3]:ID1,ID1,ID2,ID1(circ x1.3 moderate | alt chr14L[1-3] + chr14L[1])	unique donor by IDs	chr1L	0.3569
SRR33298443.86995	chr14R	ID7,ID2,ID2,ID2,ID2,ID2,ID2,ID2	ID7,ID2,ID2,ID2,ID2,ID2,ID2,ID2	chr16R[1]:ID7 > chr14L?[3]:ID2,ID2,ID2,ID2,ID2,ID2,ID2(circ x7.0 strong)	unique donor by IDs	chr14L	0.66
SRR33298443.145855	chr14R	ID7,ID7,ID1,ID2	ID7,ID7,ID1,ID2	chr16R[1]:ID7 > chr16R[1]:ID7 > chr14L[2-3]:ID1,ID2	unique donor by IDs+ITS	chr14L	0.33
SRR33298443.245867	chr14R	ID7,ID2,ID1	ID7,ID2,ID1	chr16R[1]:ID7 > chr13L[1-2]:ID2,ID1	unique donor by IDs	chr13L	0.44
SRR33298443.123161	chr14R	ID7,ID4	ID7,ID4	chr16R[1]:ID7 > chr2L|chr6L:ID4	unique donor by IDs+ITS	ambiguous	0.3
SRR33298443.70978	chr14R	ID7,ID2	ID7,ID2	chr16R[1]:ID7 > chr12L|chr13L|chr14L|chr8L|chr8R:ID2	unique donor by IDs+ITS	chr12	0.3
SRR33298443.230270	chr15L	ID1,ID4,ID2,ID2,ID2	ID1,ID4,ID2,ID2,ID2	chr13L?[2]:ID1 > chr2L|chr6L:ID4 > chr14L[3-5]:ID2,ID2,ID2	unique donor by IDs	chr14L	0.66
SRR33298443.104535	chr16L	ID1,ID1,ID2,ID1,ID2	ID1,ID2,ID1,ID2	chr14L[2-3]:ID1,ID2,ID1,ID2(circ x2.0 moderate | alt chr14L[2-3] + chr14L[2-3])	unique donor by IDs	chr13L	0.66
SRR33298443.133226	chr16L	ID7,ID7	ID7,ID7	chr16R[1]:ID7 > chr16R[1]:ID7	unique donor by IDs+ITS	chr13	0.3
SRR33298443.90767	chr1L	ID2,ID1,ID1,ID1,ID1,ID1,ID2,ID2,ID2,ID2	ID2,ID1,ID1,ID1,ID1,ID1,ID2,ID2,ID2,ID2	chr12L|chr14L|chr8L|chr8R:ID2 > chr12R[2-5]:ID1,ID1,ID1,ID1,ID1(circ x1.2 moderate | alt chr12R[2-3] + chr12R[2-4]) > chr14L?[3]:ID2,ID2,ID2,ID2(circ x4.0 moderate | alt chr14L[3-5] + chr14L[3])	unique donor by IDs	chr14L	0.66
SRR33298443.24335	chr1L	ID7,ID2,ID2,ID4,ID2,ID1,ID1	ID7,ID2,ID2,ID4,ID2,ID1,ID1	chr16R[1]:ID7 > chr14L[3-4]:ID2,ID2 > chr2L|chr6L:ID4 > chr14L?[3]:ID2 > chr12R|chr4R:ID1,ID1	unique donor by IDs+ITS	chr14L	0.33
SRR33298443.263356	chr1L	ID1,ID1,ID1,ID2,ID2	ID1,ID1,ID1,ID2,ID2	chr14L?[2]:ID1 > chr14L[1-4]:ID1,ID1,ID2,ID2	unique donor by IDs	chr14L	0.66
SRR33298443.148701	chr1L	ID1,ID1,ID1,ID3	ID1,ID1,ID1,ID3	chr12R|chr4R:ID1,ID1,ID1 > chr10L|chr9L:ID3	unresolved	chr12R	0.33
SRR33298443.247616	chr1L	ID1,ID1,ID1	ID1,ID1,ID1	chr12R|chr4R:ID1,ID1,ID1	unresolved	chr12R	0.33
SRR33298443.176862	chr1L	ID1,ID2,ID1	ID1,ID2,ID1	chr14L[2-3]:ID1,ID2,ID1(circ x1.5 moderate | alt chr14L[2-3] + chr14L[1])	unique donor by IDs	chr13L	0.66
SRR33298443.104639	chr1L	ID2,ID1,ID1	ID2,ID1,ID1	chr13L[1-2]:ID2,ID1 > chr12R|chr13L|chr14L|chr15R|chr16L|chr4R|chr5R|chr7R:ID1	unique donor by IDs+ITS	chr13L	0.33
SRR33298443.106331	chr1L	ID1,ID2,ID2	ID1,ID2,ID2	chr14L[2-3]:ID1,ID2 > chr12L|chr13L|chr14L|chr8L|chr8R:ID2	unique donor by IDs	chr14L	0.66
SRR33298443.184650	chr1L	ID1,ID2,ID2	ID1,ID2,ID2	chr14L[2-4]:ID1,ID2,ID2	unique donor by IDs	chr14L	0.66
SRR33298443.183139	chr1L	ID7,ID2	ID7,ID2	chr16R[1]:ID7 > chr12L|chr13L|chr14L|chr8L|chr8R:ID2	unique donor by IDs+ITS	chr13	0.3
SRR33298443.163245	chr1L	ID7,ID2	ID7,ID2	chr16R[1]:ID7 > chr12L|chr13L|chr14L|chr8L|chr8R:ID2	unique donor by IDs+ITS	chr14	0.3
SRR33298443.154552	chr1L	ID7,ID2	ID7,ID2	chr16R[1]:ID7 > chr12L|chr13L|chr14L|chr8L|chr8R:ID2	unique donor by IDs+ITS	chr13	0.3
SRR33298443.139591	chr1L	ID7,ID2	ID7,ID2	chr16R[1]:ID7 > chr12L|chr13L|chr14L|chr8L|chr8R:ID2	unique donor by IDs+ITS	chr13	0.3
SRR33298443.183020	chr1R	ID7,ID2,ID2	ID7,ID2,ID2	chr16R[1]:ID7 > chr14L[3-4]:ID2,ID2	unique donor by IDs	chr1L	0.5162
SRR33298443.97557	chr1R	ID7,ID2	ID7,ID2	chr16R[1]:ID7 > chr12L|chr13L|chr14L|chr8L|chr8R:ID2	unique donor by IDs+ITS	chr1L	0.7477
SRR33298443.45502	chr2R	ID1,ID1	ID1,ID1	chr12R|chr14L|chr4R:ID1,ID1	unresolved	chr12R	0.33
SRR33298443.265109	chr3L	ID5,ID1,ID1,ID1,ID1,ID1	ID5,ID1,ID1,ID1,ID1,ID1	chr12R[1-6]:ID5,ID1,ID1,ID1,ID1,ID1	unique donor by IDs	chr12R	0.66
SRR33298443.105426	chr3L	ID2,ID2	ID2,ID2	chr14L[3-4]:ID2,ID2	unique donor by IDs	chr14L	0.44
SRR33298443.132966	chr3R	ID6,ID3,ID1,ID1,ID1	ID6,ID3,ID1,ID1,ID1	chr14R[1]:ID6 > chr10L|chr9L:ID3 > chr12R|chr13L:ID1,ID1,ID1(circ x3.0)	unresolved	chr12R	0.33
SRR33298443.47366	chr3R	ID3,ID1,ID1	ID3,ID1,ID1	chr10L|chr9L:ID3 > chr13L?[2]:ID1 > chr12R|chr13L|chr14L|chr15R|chr16L|chr4R|chr5R|chr7R:ID1	unresolved	chr12R	0.33
SRR33298443.67778	chr3R	ID3,ID1	ID3,ID1	chr10L|chr9L:ID3 > chr12R|chr13L|chr14L|chr15R|chr16L|chr4R|chr5R|chr7R:ID1	unresolved	chr14	0.3
