read_id	chr_end	read_length	telo_side	anchor_start	anchor_end	spacer_start	spacer_end	spacer_size	spacer_source	spacer_plurality_source	spacer_switch_pos	spacer_best_identity	spacer_second_best_identity	spacer_confidence	spacer_recombination	spacer_quick_check_skipped	x_element_start	x_element_end	x_element_size	x_element_source	x_element_switch_pos	x_element_best_identity	x_element_second_best_identity	x_element_confidence	x_element_recombination	x_element_cluster_id	y_prime_count_on_read	y_prime_observed_array	y_prime_positions	y_prime_start	y_prime_end	y_prime_size	y_prime_recombination_status	y_prime_divergence_idx	y_prime_expected_at_divergence	y_prime_found_at_divergence	y_prime_downstream_consistent	y_prime_compatible_ends	y_prime_gained_segment	y_prime_fingerprint_window	y_prime_fingerprint_len	y_prime_fingerprint_kind	y_prime_array_matches	y_prime_self_match	y_prime_fingerprint_source	y_prime_fingerprint_specificity	y_prime_path	y_prime_path_n_segments	y_prime_path_primary_donor	y_prime_path_primary_len	y_prime_path_circles	y_prime_path_its_verified	y_prime_path_its_checked	recombination_source	recombination_detected	overall_confidence	cross_feature_consistent	cross_feature_detail	is_complex_event	confidence_factors	source_votes	source_tie	source_resolution	recombination_mechanism	y_prime_donor	telomere_end_confirmed	telomere_repeat_length	y_prime_probe_count	y_prime_tail_bp	qc_flags
SRR33298447.490537	chr11L	75654	beginning	70623	75654	65533	70623	5090	chr11L	chr11L	-1	99.35	0.0	0.95	no_change	False	64797	65533	736	chr11L	-1	100.0	90.52	0.9739	no_change	ID5	11	ID2,ID1,ID2,ID1,ID2,ID2,ID2,ID2,ID2,ID2,ID2	ID2:59261-64735;ID1:52455-59098;ID2:46833-52303;ID1:40011-46670;ID2:34383-39859;ID2:28715-34202;ID2:23065-28539;ID2:17402-22889;ID2:11746-17226;ID2:6094-11570;ID2:173-5918	173	64735	64562	Y' Gain	0		ID2	True	chr12L,chr13L,chr8L,chr8R	ID2,ID1,ID2,ID1,ID2,ID2,ID2,ID2,ID2,ID2,ID2	ID2,ID1,ID2,ID1,ID2	5	periodic	chr13L:periodic;chr14L:periodic	False	chr13L	1.0	chr13L[1-4]:ID2,ID1,ID2,ID1 > chr14L?[3]:ID2,ID2,ID2,ID2,ID2,ID2,ID2(circ x7.0 strong)	2		7		9	10	chr13L	True	0.66	True	y_prime=chr13L; y_prime_compatible=chr12L,chr13L,chr8L,chr8R; y_prime_array_matches=chr13L:periodic,chr14L:periodic; y_prime_status=Y' Gain; y_prime_path=chr13L[1-4]:ID2,ID1,ID2,ID1 > chr14L?[3]:ID2,ID2,ID2,ID2,ID2,ID2,ID2(circ x7.0 strong)	False	base=0.60, complexity=1.10	chr13L=1.00	False	arm	donor_transfer	chr13L	True	137.0	11.0	173	
SRR33298447.268817	chr11R	53022	beginning	48000	53022	38017	48000	9983	chr11R	chr11R	-1	98.94	0.0	0.95	no_change	False	37314	38017	703	chr11R	-1	98.3	89.87	0.9059	no_change	ID6	6	ID2,ID1,ID2,ID2,ID1,ID1	ID2:31765-37250;ID1:24957-31602;ID2:19351-24807;ID2:13736-19194;ID1:6933-13573;ID1:121-6768	121	37250	37129	Y' Gain	0		ID2	True	chr12L,chr13L,chr8L,chr8R	ID2,ID1,ID2,ID2,ID1,ID1	ID2,ID1,ID2,ID2	4	contiguous	chr14L:rotation	False	chr14L	1.0	chr13L[1-3]:ID2,ID1,ID2,ID2,ID1(circ x1.7 strong) > chr12R|chr13L|chr14L|chr15R|chr16L|chr4R|chr5R|chr7R:ID1	2	chr13L	5	chr13L[1-3]:ID2,ID1,ID2x1.7:strong	3	5	chr14L	True	0.66	True	y_prime=chr14L; y_prime_compatible=chr12L,chr13L,chr8L,chr8R; y_prime_array_matches=chr14L:rotation; y_prime_status=Y' Gain; y_prime_path=chr13L[1-3]:ID2,ID1,ID2,ID2,ID1(circ x1.7 strong) > chr12R|chr13L|chr14L|chr15R|chr16L|chr4R|chr5R|chr7R:ID1	False	base=0.60, complexity=1.10	chr14L=1.00	False	arm	donor_transfer	chr14L	False	86.0	6.0	121	
SRR33298447.28086	chr12L	30204	end	0	5024	5024	5155	131	chr12L	chr12L	-1	97.84	0.0	0.95	no_change	False	5155	5569	414	chr12L	-1	99.28	94.12	0.7525	no_change	ID7	4	ID2,ID1,ID2,ID1	ID2:5598-10801;ID1:10965-17615;ID2:17767-23258;ID1:23407-30049	5598	30049	24451	Y' Gain	1		ID1	True	chr12L,chr13L,chr8L,chr8R	ID1,ID2,ID1	ID1,ID2,ID1	3	contiguous	chr13L:contiguous;chr14L:rotation	False	chr13L	1.0	chr13L[2-3]:ID1,ID2,ID1(circ x1.5 moderate | alt chr13L[2-3] + chr13L[2])	1	chr13L	3	chr13L[2-3]:ID1,ID2x1.5:moderate	1	2	chr13L	True	0.66	True	y_prime=chr13L; y_prime_compatible=chr12L,chr13L,chr8L,chr8R; y_prime_array_matches=chr13L:contiguous,chr14L:rotation; y_prime_status=Y' Gain; y_prime_path=chr13L[2-3]:ID1,ID2,ID1(circ x1.5 moderate | alt chr13L[2-3] + chr13L[2])	False	base=0.60, complexity=1.10	chr13L=1.00	False	arm	donor_transfer	chr13L	True	147.0	4.0	155	
SRR33298447.133475	chr12R	85698	beginning	80658	85698	75555	80658	5103	chr12R	chr12R	-1	97.99	0.0	0.95	no_change	False	74813	75555	742	chr12R	-1	98.12	89.45	0.916	no_change	ID8	11	ID5,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1	ID5:68213-74689;ID1:61413-68052;ID1:54637-61239;ID1:47807-54469;ID1:41850-47649;ID1:34199-40852;ID1:27391-34028;ID1:20586-27236;ID1:13772-20427;ID1:6961-13597;ID1:152-6793	152	74689	74537	Y' Gain	6		ID1	True	chr12R	ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1	5	contiguous	chr12R:contiguous;chr14L:periodic;chr4R:contiguous	True		0.5	chr13L?[2]:ID1 > self[2-4]:ID1,ID1,ID1,ID1(circ x1.3 moderate | alt chr12R[2] + chr12R[2-4])	2	self	4	self[2-4]:ID1,ID1,ID1x1.3:moderate	4	4	chr12R	True	0.33	True	supplementary=chr4; y_prime_compatible=chr12R; y_prime_array_matches=chr12R:contiguous,chr14L:periodic,chr4R:contiguous; y_prime_status=Y' Gain; y_prime_path=chr13L?[2]:ID1 > self[2-4]:ID1,ID1,ID1,ID1(circ x1.3 moderate | alt chr12R[2] + chr12R[2-4])	False	base=0.30, complexity=1.10	chr4=0.25	False	self	tandem_amplification_same_end		True	95.0	11.0	152	
SRR33298447.285573	chr13L	71710	end	0	3036	3036	7504	4468	chr13L	chr13L	-1	99.58	0.0	0.95	no_change	False	7504	8257	753	chr13L	-1	99.6	89.69	0.9918	no_change	ID1	10	ID2,ID1,ID2,ID1,ID2,ID1,ID1,ID1,ID2,ID1	ID2:8311-13798;ID1:13961-20607;ID2:20761-26239;ID1:26400-33041;ID2:33186-38656;ID1:38818-45477;ID1:45644-52299;ID1:52463-59110;ID2:59264-64751;ID1:64914-71564	8311	71564	63253	Y' Gain	4		ID2	True	chr12L,chr13L,chr8L,chr8R	ID2,ID1,ID1,ID1,ID2,ID1	ID2,ID1,ID1	3	contiguous	chr13L:rotation;chr14L:rotation	True		0.5	self[1-2]:ID2,ID1 > self[2-4]:ID1,ID1,ID2,ID1(circ x1.3 moderate | alt chr13L[2] + chr13L[2-4])	2	self	4	self[2-4]:ID1,ID1,ID2x1.3:moderate	4	5	chr13L	True	0.33	True	y_prime_compatible=chr12L,chr13L,chr8L,chr8R; y_prime_array_matches=chr13L:rotation,chr14L:rotation; y_prime_status=Y' Gain; y_prime_path=self[1-2]:ID2,ID1 > self[2-4]:ID1,ID1,ID2,ID1(circ x1.3 moderate | alt chr13L[2] + chr13L[2-4])	False	base=0.30, complexity=1.10		False	self	tandem_amplification_same_end		False	122.0	10.0	146	
SRR33298447.28156	chr13L	58821	beginning	53793	58821	49336	53793	4457	chr13L	chr13L	-1	99.21	0.0	0.95	no_change	False	48579	49336	757	chr13L	-1	98.55	89.0	0.9634	no_change	ID1	8	ID2,ID1,ID2,ID1,ID2,ID2,ID1,ID2	ID2:43039-48525;ID1:36208-42868;ID2:30579-36056;ID1:23804-30414;ID2:18174-23650;ID2:12532-18011;ID1:5742-12369;ID2:110-5592	110	48525	48415	Y' Gain	4		ID2	True	chr12L,chr13L,chr8L,chr8R	ID2,ID2,ID1,ID2	ID2,ID2,ID1,ID2	4	contiguous	chr14L:rotation	False	chr14L	1.0	self[1-3]:ID2,ID2,ID1,ID2(circ x1.3 moderate | alt chr13L[1] + chr13L[1-3])	1	self	4	self[1-3]:ID2,ID2,ID1x1.3:moderate	3	3	chr14L	True	0.66	True	supplementary=chr2; y_prime=chr14L; y_prime_compatible=chr12L,chr13L,chr8L,chr8R; y_prime_array_matches=chr14L:rotation; y_prime_status=Y' Gain; y_prime_path=self[1-3]:ID2,ID2,ID1,ID2(circ x1.3 moderate | alt chr13L[1] + chr13L[1-3])	False	base=0.60, complexity=1.10	chr14L=1.00;chr2=0.25	False	arm	donor_transfer	chr14L	True	75.0	8.0	110	
SRR33298447.85642	chr14R	33965	beginning	28948	33965	25703	28948	3245	chr14R	chr14R	-1	97.85	0.0	0.95	no_change	False	24905	25703	798	chr14R	-1	98.75	89.6	0.9456	no_change	ID11	4	ID1,ID2,ID1,ID2	ID1:18197-24828;ID2:12572-18044;ID1:5756-12409;ID2:131-5609	131	24828	24697	1st Y' Change	0	ID6	ID1	False	chr14L,chr15R,chr16L,chr4R,chr5R,chr7R	ID1,ID2,ID1,ID2	ID1,ID2,ID1,ID2	4	contiguous	chr13L:rotation;chr14L:periodic	False	chr13L	1.0	chr13L[1-2]:ID1,ID2,ID1,ID2(circ x2.0 moderate | alt chr13L[2-4] + chr13L[1])	1	chr13L	4	chr13L[1-2]:ID1,ID2x2.0:moderate	3	3	chr13L	True	0.66	True	y_prime=chr13L; y_prime_compatible=chr14L,chr15R,chr16L,chr4R,chr5R; y_prime_array_matches=chr13L:rotation,chr14L:periodic; y_prime_status=1st Y' Change; y_prime_path=chr13L[1-2]:ID1,ID2,ID1,ID2(circ x2.0 moderate | alt chr13L[2-4] + chr13L[1])	False	base=0.60, complexity=1.10	chr13L=1.00	False	arm	donor_transfer	chr13L	True	91.0	4.0	131	
SRR33298447.151294	chr15R	57651	end	0	5042	5042	18508	13466	chr15R	chr15R	-1	99.18	0.0	0.95	no_change	False	18508	19202	694	chr15R	-1	99.71	90.69	0.9484	no_change	ID2	6	ID1,ID2,ID1,ID2,ID1,ID1	ID1:19200-25856;ID2:26007-31494;ID1:31659-38310;ID2:38465-43946;ID1:44103-50749;ID1:50911-57564	19200	57564	38364	Y' Gain	1		ID2	True	chr14L,chr15R,chr16L,chr4R,chr5R,chr7R	ID2,ID1,ID2,ID1,ID1	ID2,ID1,ID2,ID1	4	contiguous	chr13L:contiguous;chr14L:periodic	False	chr13L	1.0	chr13L[1-2]:ID2,ID1,ID2,ID1(circ x2.0 weak | alt chr13L[1-4]) > self[1]:ID1	2	chr13L	4	chr13L[1-2]:ID2,ID1x2.0:weak	4	4	chr13L	True	0.66	True	y_prime=chr13L; y_prime_compatible=chr14L,chr15R,chr16L,chr4R,chr5R; y_prime_array_matches=chr13L:contiguous,chr14L:periodic; y_prime_status=Y' Gain; y_prime_path=chr13L[1-2]:ID2,ID1,ID2,ID1(circ x2.0 weak | alt chr13L[1-4]) > self[1]:ID1	False	base=0.60, complexity=1.10	chr13L=1.00	False	arm	donor_transfer	chr13L	True	78.0	6.0	87	
SRR33298447.502469	chr16R	44712	beginning	39684	44712	38783	39684	901	chr16R	chr16R	-1	99.7	0.0	0.95	no_change	False	38409	38783	374	chr16R	-1	100.0	94.92	0.7542	no_change	ID13	6	ID7,ID1,ID1,ID1,ID2,ID1	ID7:33062-38376;ID1:26253-32891;ID1:19435-26095;ID1:12618-19264;ID2:6983-12464;ID1:166-6813	166	38376	38210	Y' Gain	1		ID1	True	chr16R	ID1,ID1,ID1,ID2,ID1	ID1,ID1,ID2	3	contiguous	chr13L:rotation;chr14L:contiguous	False	chr14L	1.0	chr13L?[2]:ID1 > chr13L[2-4]:ID1,ID1,ID2,ID1(circ x1.3 moderate | alt chr13L[2] + chr13L[2-4])	2	chr13L	4	chr13L[2-4]:ID1,ID1,ID2x1.3:moderate	4	4	chr14L	True	0.66	True	y_prime=chr14L; y_prime_compatible=chr16R; y_prime_array_matches=chr13L:rotation,chr14L:contiguous; y_prime_status=Y' Gain; y_prime_path=chr13L?[2]:ID1 > chr13L[2-4]:ID1,ID1,ID2,ID1(circ x1.3 moderate | alt chr13L[2] + chr13L[2-4])	False	base=0.60, complexity=1.10	chr14L=1.00	False	arm	donor_transfer	chr14L	True	126.0	6.0	166	
SRR33298447.328635	chr1L	40736	beginning	35703	40736	25686	35703	10017	chr1L	chr1L	-1	98.99	0.0	0.95	no_change	False	24939	25686	747	chr1L	-1	98.67	93.66	0.7407	no_change	ID14	4	ID1,ID2,ID1,ID2	ID1:18223-25048;ID2:12598-18074;ID1:5809-12434;ID2:183-5657	183	25048	24865	Y' Gain	0		ID1	True	chr14L,chr15R,chr16L,chr4R,chr5R,chr7R	ID1,ID2,ID1,ID2	ID1,ID2,ID1,ID2	4	contiguous	chr13L:rotation;chr14L:periodic	False	chr13L	1.0	chr13L[1-2]:ID1,ID2,ID1,ID2(circ x2.0 moderate | alt chr13L[2-4] + chr13L[1])	1	chr13L	4	chr13L[1-2]:ID1,ID2x2.0:moderate	3	3	chr13L	True	0.66	True	y_prime=chr13L; y_prime_compatible=chr14L,chr15R,chr16L,chr4R,chr5R; y_prime_array_matches=chr13L:rotation,chr14L:periodic; y_prime_status=Y' Gain; y_prime_path=chr13L[1-2]:ID1,ID2,ID1,ID2(circ x2.0 moderate | alt chr13L[2-4] + chr13L[1])	False	base=0.60, complexity=1.10	chr13L=1.00	False	arm	donor_transfer	chr13L	True	150.0	4.0	183	
