strain	sample	read_id	chr_end	copy	expected_element	expected_group	donor_element	donor_group	anchorHalf_vs_expected	anchorHalf_vs_donor	anchor_margin	teloHalf_vs_expected	teloHalf_vs_donor	telo_margin	pair_longest_homology_bp	pair_homology_identity	evidence	explanation	telo_side
6991	6991_day0_TeloTag_with_selection	SRR33298434.94939	chr2L	1/1	chr2L-1	G1	chr16L-1	G8	99.25%	95.53%	+3.72	95.69%	98.24%	+2.55	2047	97.36%	strong	mid-Y' recombination (both halves favour the right reference)	beginning
6991	6991_day0_TeloTag_with_selection	SRR33298434.226995	chr5L	1/1	chr5L-1	G12	chr12R-1	G11	99.40%	97.88%	+1.52	95.20%	97.68%	+2.48	4719	97.03%	strong	mid-Y' recombination (both halves favour the right reference)	beginning
6991	6991_day0_TeloTag_with_selection	SRR33298434.116145	chr5L	1/1	chr5L-1	G12	chr12R-1	G11	99.19%	97.64%	+1.55	96.22%	98.47%	+2.25	4719	97.03%	strong	mid-Y' recombination (both halves favour the right reference)	end
6991	6991_day0_TeloTag_with_selection	SRR33298434.164214	chr7R	1/1	chr7R-1	G8	chr14R-1	G10	96.47%	94.34%	+2.13	92.94%	97.10%	+4.16	4973	96.70%	strong	mid-Y' recombination (both halves favour the right reference)	beginning
6991	6991_day0_TeloTag_with_selection	SRR33298434.515556	chr8R	1/1	chr8R-1	G3	chr14R-1	G10	99.50%	93.61%	+5.89	95.88%	99.22%	+3.34	1960	96.53%	strong	mid-Y' recombination (both halves favour the right reference)	end
6991	6991_day0_TeloTag_with_selection	SRR33298434.530414	chr14L	1/5	chr14L-1	G8	chr12R-1	G11	97.72%	97.77%	-0.05	97.48%	95.38%	-2.10	4520	99.09%	FAILS	not supported: no half is better explained by the donor	beginning
6991	6991_day0_TeloTag_with_selection	SRR33298434.378016	chr16R	1/1	chr16R-1	G6	chr14L-5	G2	96.18%	96.05%	+0.13	95.41%	95.15%	-0.26	3589	98.52%	FAILS	not supported: no half is better explained by the donor	beginning
6991	6991_day0_TeloTag_with_selection	SRR33298434.64148	chr16R	1/1	chr16R-1	G6	chr14L-3	G2	93.10%	91.75%	+1.35	95.92%	92.89%	-3.03	3588	98.55%	FAILS	not supported: no half is better explained by the donor	end
6991	6991_day0_TeloTag_with_selection	SRR33298434.497585	chr8L	1/1	chr8L-1	G5	chr2L-1	G1	97.66%	94.76%	+2.90	98.46%	97.99%	-0.47	3457	97.37%	FAILS	not supported: no half is better explained by the donor	beginning
6991	6991_day0_TeloTag_with_selection	SRR33298434.76895	chr13L	1/1	chr13L-1	G2	chr15R-1	G8							3656	99.56%	no junction	no junction found; donor wins across the element or signal too weak	beginning
6991	6991_day0_TeloTag_with_selection	SRR33298434.79614	chr16L	1/1	chr16L-1	G8	chr12R-1	G11							4520	99.11%	no junction	no junction found; donor wins across the element or signal too weak	end
