sample	chr_end	n	n_status_changed	n_source_changed	n_detected_changed	n_detected_a	n_detected_b	n_ambiguous_a	n_ambiguous_b	mean_dconf
7302_day2_with_selection	chr10L	385	0	0	0	1	1	1	1	0.0
7302_day2_with_selection	chr10R	397	0	2	0	7	7	0	0	0.0
7302_day2_with_selection	chr11L	471	0	0	0	1	1	0	0	0.0
7302_day2_with_selection	chr11R	447	0	0	0	6	6	0	0	-0.001
7302_day2_with_selection	chr12L	507	0	5	0	9	9	5	0	0.0
7302_day2_with_selection	chr12R	61	0	0	0	14	14	12	12	0.0
7302_day2_with_selection	chr13L	225	0	2	0	28	28	20	20	0.0
7302_day2_with_selection	chr13R	407	0	1	0	7	7	2	2	-0.001
7302_day2_with_selection	chr14L	111	0	3	0	22	22	14	14	0.001
7302_day2_with_selection	chr14R	493	0	1	0	16	16	11	10	0.0
7302_day2_with_selection	chr15L	583	0	0	0	1	1	0	0	0.0
7302_day2_with_selection	chr15R	322	0	0	0	4	4	2	2	0.0
7302_day2_with_selection	chr16L	340	0	0	0	2	2	1	1	0.0
7302_day2_with_selection	chr16R	506	0	5	0	14	14	9	4	0.0
7302_day2_with_selection	chr1L	265	0	0	0	4	4	2	2	0.0
7302_day2_with_selection	chr1R	135	0	0	0	7	7	0	0	-0.003
7302_day2_with_selection	chr2L	427	0	0	0	4	4	2	2	0.0
7302_day2_with_selection	chr2R	471	0	1	0	9	9	0	0	0.0
7302_day2_with_selection	chr3L	465	0	0	0	4	4	0	0	0.0
7302_day2_with_selection	chr3R	462	0	0	0	9	9	0	0	0.0
7302_day2_with_selection	chr4L	307	0	1	0	5	5	0	0	-0.001
7302_day2_with_selection	chr4R	74	0	2	0	20	20	18	16	0.001
7302_day2_with_selection	chr5L	545	0	2	0	8	8	4	3	0.0
7302_day2_with_selection	chr5R	519	0	1	0	3	3	1	0	0.0
7302_day2_with_selection	chr6L	399	0	0	0	20	20	14	14	0.0
7302_day2_with_selection	chr6R	585	0	1	0	3	3	0	0	-0.001
7302_day2_with_selection	chr7L	586	0	1	0	4	4	1	1	-0.001
7302_day2_with_selection	chr7R	350	0	0	0	1	1	1	1	0.0
7302_day2_with_selection	chr8L	533	0	4	0	10	10	6	2	0.0
7302_day2_with_selection	chr8R	139	0	1	0	1	1	0	0	0.0
7302_day2_with_selection	chr9L	259	0	0	0	0	0	0	0	0.0
7302_day2_with_selection	chr9R	512	0	0	0	2	2	0	0	0.0
7302_day3_with_selection	chr10L	306	0	2	0	3	3	3	1	0.0
7302_day3_with_selection	chr10R	356	0	3	0	22	22	0	0	-0.001
7302_day3_with_selection	chr11L	436	0	2	0	8	8	0	0	-0.003
7302_day3_with_selection	chr11R	403	0	0	0	22	22	0	0	-0.002
7302_day3_with_selection	chr12L	394	0	6	0	19	19	11	5	0.0
7302_day3_with_selection	chr12R	97	0	5	0	30	30	21	19	0.002
7302_day3_with_selection	chr13L	212	0	4	0	37	37	20	20	0.0
7302_day3_with_selection	chr13R	348	0	7	0	18	18	7	6	-0.003
7302_day3_with_selection	chr14L	126	0	7	0	34	34	23	22	0.002
7302_day3_with_selection	chr14R	381	0	5	0	23	23	11	6	0.001
7302_day3_with_selection	chr15L	494	0	5	0	10	10	2	0	-0.002
7302_day3_with_selection	chr15R	330	0	4	0	15	15	2	2	0.0
7302_day3_with_selection	chr16L	281	0	0	0	6	6	0	0	0.0
7302_day3_with_selection	chr16R	423	0	2	0	19	19	8	6	0.0
7302_day3_with_selection	chr1L	452	0	1	0	13	13	3	2	0.0
7302_day3_with_selection	chr1R	204	0	0	0	6	6	0	0	0.0
7302_day3_with_selection	chr2L	375	0	1	0	10	10	1	1	0.0
7302_day3_with_selection	chr2R	361	0	3	0	18	18	0	0	-0.003
7302_day3_with_selection	chr3L	548	0	1	0	1	1	0	0	0.0
7302_day3_with_selection	chr3R	584	0	1	0	16	16	0	0	-0.0
7302_day3_with_selection	chr4L	265	0	0	0	6	6	0	0	-0.002
7302_day3_with_selection	chr4R	81	0	4	0	21	21	18	15	0.001
7302_day3_with_selection	chr5L	518	0	2	0	9	9	7	5	0.0
7302_day3_with_selection	chr5R	460	0	2	0	15	15	3	1	0.0
7302_day3_with_selection	chr6L	451	0	6	0	30	30	18	13	0.0
7302_day3_with_selection	chr6R	555	0	0	0	4	4	0	0	0.0
7302_day3_with_selection	chr7L	407	0	3	0	7	7	1	1	-0.003
7302_day3_with_selection	chr7R	374	0	3	0	14	14	0	0	0.0
7302_day3_with_selection	chr8L	522	0	7	0	16	16	9	2	0.0
7302_day3_with_selection	chr8R	194	0	1	0	7	7	2	1	0.0
7302_day3_with_selection	chr9L	322	0	0	0	0	0	0	0	0.0
7302_day3_with_selection	chr9R	510	0	1	0	6	6	0	0	0.0
7302_day4_with_selection	chr10L	176	0	0	0	3	3	2	2	0.0
7302_day4_with_selection	chr10R	170	0	4	0	16	16	0	0	-0.003
7302_day4_with_selection	chr11L	242	0	0	0	5	5	0	0	0.0
7302_day4_with_selection	chr11R	223	0	1	0	17	17	0	0	-0.006
7302_day4_with_selection	chr12L	250	0	2	0	17	17	6	4	0.0
