chr_end	read_id	own_elem	donor_elem	direction	split_bp	sub_len	first_own	first_donor	second_own	second_donor	contrast
chr10L	SRR33298384.498901	chr10L-1	chr7R-1	own->donor	4200	6994	92.24	92.95	76.52	90.12	12.89
chr10L	SRR33298384.151130	chr10L-1	chr7R-1	own->donor	3900	6944	85.51	89.69	75.56	91.95	12.21
chr10L	SRR33298461.57209	chr10L-1	chr7R-1	own->donor	3900	6901	87.87	91.97	78.11	94.87	12.66
chr10L	SRR33298373.545529	chr10L-1	chr16L-1	own->donor	4100	6982	91.71	93.54	78.31	89.38	9.24
chr10L	SRR33298373.491903	chr10L-1	chr16L-1	own->donor	4100	6993	89.39	92.9	78.64	91.95	9.8
chr10L	SRR33298373.122658	chr10L-1	chr12R-2	own->donor	4100	7009	88.44	91.44	76.11	89.72	10.61
chr13L	SRR33298384.220455	chr13L-1	chr16R-1	donor->own	900	5682	47.89	50.56	48.22	49.14	1.75
chr13L	SRR33298461.44252	chr13L-1	chr6L-1	own->donor	1100	6133	67.55	54.18	87.01	85.26	11.62
chr14R	SRR33298373.897522	chr14R-1	chr9L-1	own->donor	800	7481	67.5	51.62	86.12	89.16	18.91
chr14R	SRR33298377.726683	chr14R-1	chr9L-1	own->donor	6300	6989	49.43	48.19	48.33	48.62	1.53
chr14R	SRR33298373.1266643	chr14R-1	chr14L-1	donor->own	6400	7015	49.05	48.94	49.43	47.97	1.35
chr16L	SRR33298434.79614	chr16L-1	chr12R-1	own->donor	700	6781	47.57	46.86	47.79	48.28	1.21
chr16R	SRR33298384.538094	chr16R-1	chr13L-1	donor->own	900	5596	51.89	72.44	88.65	93.29	15.91
chr16R	SRR33298434.64148	chr16R-1	chr14L-3	own->donor	2100	5454	82.1	78.78	83.99	85.74	5.07
chr16R	SRR33298434.378016	chr16R-1	chr14L-3	donor->own	900	5538	51.56	72.0	87.97	92.54	15.87
chr16R	SRR33298377.644709	chr16R-1	chr13L-1	donor->own	800	5578	48.62	69.25	88.82	92.95	16.5
chr16R	SRR33298377.534605	chr16R-1	chr13L-1	donor->own	700	5551	48.43	61.71	88.74	92.17	9.86
chr16R	SRR33298384.248800	chr16R-1	chr14L-3	donor->own	700	5459	49.0	63.3	91.95	96.13	10.12
chr16R	SRR33298373.72733	chr16R-1	chr14L-3	donor->own	800	5453	48.5	71.02	92.13	97.46	17.2
chr5L	SRR33298373.260098	chr5L-1	chr10L-1	own->donor	800	7108	50.12	47.88	49.13	48.49	1.62
chr5L	SRR33298434.226995	chr5L-1	chr12R-1	donor->own	700	6707	47.57	82.86	89.6	94.46	30.42
chr5L	SRR33298434.116145	chr5L-1	chr12R-1	donor->own	800	6711	47.88	48.88	48.37	47.96	1.41
chr7R	SRR33298434.164214	chr7R-1	chr14R-1	own->donor	4000	6987	90.98	89.25	84.2	90.16	7.68
chr8R	SRR33298377.221175	chr8R-1	chr14L-3	donor->own	600	5852	47.0	48.0	48.91	48.71	1.21
