sample	chr_end	n	n_status_changed	n_source_changed	n_detected_changed	n_detected_a	n_detected_b	n_ambiguous_a	n_ambiguous_b	mean_dconf
7302_day2_with_selection	chr10L	385	0	0	0	1	1	1	1	0.0
7302_day2_with_selection	chr10R	397	0	0	0	7	7	0	0	0.0
7302_day2_with_selection	chr11L	471	0	0	0	1	1	0	0	0.0
7302_day2_with_selection	chr11R	447	0	0	0	6	6	0	0	0.002
7302_day2_with_selection	chr12L	507	0	0	0	9	9	5	5	0.0
7302_day2_with_selection	chr12R	61	0	0	0	14	14	12	12	0.0
7302_day2_with_selection	chr13L	225	0	0	0	28	28	20	20	0.0
7302_day2_with_selection	chr13R	407	0	1	0	7	7	3	2	0.002
7302_day2_with_selection	chr14L	111	0	0	0	22	22	14	14	0.0
7302_day2_with_selection	chr14R	493	0	0	0	16	16	11	11	0.0
7302_day2_with_selection	chr15L	583	0	0	0	1	1	0	0	0.0
7302_day2_with_selection	chr15R	322	0	0	0	4	4	2	2	0.0
7302_day2_with_selection	chr16L	340	0	0	0	2	2	1	1	0.0
7302_day2_with_selection	chr16R	506	0	0	0	14	14	9	9	0.0
7302_day2_with_selection	chr1L	265	0	0	0	4	4	2	2	0.0
7302_day2_with_selection	chr1R	135	0	0	0	7	7	0	0	0.0
7302_day2_with_selection	chr2L	427	0	0	0	4	4	2	2	0.0
7302_day2_with_selection	chr2R	471	0	1	0	9	9	0	0	0.001
7302_day2_with_selection	chr3L	465	0	0	0	4	4	0	0	0.0
7302_day2_with_selection	chr3R	462	0	0	0	9	9	0	0	0.0
7302_day2_with_selection	chr4L	307	0	0	0	5	5	0	0	0.0
7302_day2_with_selection	chr4R	74	0	0	0	20	20	18	18	0.0
7302_day2_with_selection	chr5L	545	0	0	0	8	8	4	4	0.0
7302_day2_with_selection	chr5R	519	0	0	0	3	3	1	1	0.0
7302_day2_with_selection	chr6L	399	0	0	0	20	20	14	14	0.0
7302_day2_with_selection	chr6R	585	0	0	0	3	3	0	0	0.002
7302_day2_with_selection	chr7L	586	0	1	0	4	4	1	1	0.003
7302_day2_with_selection	chr7R	350	0	0	0	1	1	1	1	0.0
7302_day2_with_selection	chr8L	533	0	0	0	10	10	6	6	0.0
