strain	sample	read_id	chr_end	copy	expected_element	expected_group	donor_element	donor_group	program_assigned_yprime	program_status	program_source	program_mechanism	program_path	anchorHalf_vs_expected	anchorHalf_vs_donor	anchor_margin	teloHalf_vs_expected	teloHalf_vs_donor	telo_margin	pair_longest_homology_bp	pair_homology_identity	evidence	explanation	telo_side
6991	6991_day0_with_selection_repeat	SRR33298373.545529	chr10L	1/1	chr10L-1	G7	chr16L-1	G8	E-chr16L-1	1st Y' Change	chr16L	donor_transfer	chr16L[1]:E-chr16L-1	99.93%	97.99%	+1.94	95.78%	98.58%	+2.80	5010	97.13%	strong	mid-Y' recombination (both halves favour the right reference)	end
6991	6991_day0_with_selection_repeat	SRR33298373.1520960	chr13L	1/1	chr13L-1	G2	chr2L-1	G1	E-chr2L-1	1st Y' Change	chr2L	donor_transfer	chr2L[1]:E-chr2L-1	99.44%	97.20%	+2.24	96.02%	99.27%	+3.25	3883	97.12%	strong	mid-Y' recombination (both halves favour the right reference)	beginning
6991	6991_day0_with_selection_repeat	SRR33298373.8939	chr13L	1/1	chr13L-1	G2	chr2L-1	G1	E-chr2L-1	1st Y' Change	chr2L	donor_transfer	chr2L[1]:E-chr2L-1	99.92%	97.45%	+2.47	96.17%	99.45%	+3.28	3883	97.12%	strong	mid-Y' recombination (both halves favour the right reference)	end
6991	6991_day0_with_selection_repeat	SRR33298373.1266643	chr14R	1/1	chr14R-1	G10	chr14L-1	G8	E-chr14L-1	1st Y' Change	chr14L	donor_transfer	chr14L[1]:E-chr14L-1	99.18%	96.81%	+2.37	94.76%	98.63%	+3.87	4973	96.70%	strong	mid-Y' recombination (both halves favour the right reference)	end
6991	6991_day0_with_selection_repeat	SRR33298373.942862	chr14R	1/1	chr14R-1	G10	chr13L-1	G2	E-chr13L-1	1st Y' Change	chr13L	donor_transfer	chr13L[1]:E-chr13L-1	99.66%	94.63%	+5.03	95.65%	99.70%	+4.05	1974	95.90%	strong	mid-Y' recombination (both halves favour the right reference)	beginning
6991	6991_day0_with_selection_repeat	SRR33298373.122658	chr10L	1/1	chr10L-1	G7	chr14L-1	G8	E-chr14L-1	1st Y' Change	chr14L	donor_transfer	chr14L[1]:E-chr14L-1	96.03%	95.47%	+0.56	94.47%	97.05%	+2.58	5010	97.15%	weak	mid-Y' recombination (correct direction, margins < 1.5 %)	beginning
6991	6991_day0_with_selection_repeat	SRR33298373.72733	chr16R	1/1	chr16R-1	G6	chr14L-5	G2	E-chr14L-5	1st Y' Change	chr14L	donor_transfer	chr14L[5]:E-chr14L-5	99.33%	98.97%	+0.36	98.48%	99.62%	+1.14	3588	98.55%	weak	mid-Y' recombination (correct direction, margins < 1.5 %)	beginning
6991	6991_day0_with_selection_repeat	SRR33298373.491903	chr10L	1/1	chr10L-1	G7	chr16L-1	G8	E-chr16L-1	1st Y' Change	chr16L	donor_transfer	chr16L[1]:E-chr16L-1	97.56%	98.39%	-0.83	99.76%	96.37%	-3.39	5010	97.13%	FAILS	not supported: no half is better explained by the donor	beginning
6991	6991_day0_with_selection_repeat	SRR33298373.897522	chr14R	1/1	chr14R-1	G10	chr9L-1	G7	E-chr9L-1	1st Y' Change	chr9L	donor_transfer	chr9L[1]:E-chr9L-1	98.88%	98.35%	+0.53	94.01%	91.97%	-2.04	4903	97.88%	FAILS	not supported: no half is better explained by the donor	end
6991	6991_day0_with_selection_repeat	SRR33298373.896473	chr13L	1/1	chr13L-1	G2	chr6L-1	G1	E-chr6L-1	1st Y' Change	chr6L	subtelomere_switch	chr6L[1]:E-chr6L-1							3884	97.27%	no junction	no junction found; donor wins across the element or signal too weak	beginning
6991	6991_day0_with_selection_repeat	SRR33298373.1068481	chr13L	1/1	chr13L-1	G2	chr6L-1	G1	E-chr6L-1	1st Y' Change	chr6L	subtelomere_switch	chr6L[1]:E-chr6L-1							3884	97.27%	no junction	no junction found; donor wins across the element or signal too weak	beginning
6991	6991_day0_with_selection_repeat	SRR33298373.107087	chr13L	1/1	chr13L-1	G2	chr6L-1	G1	E-chr6L-1	1st Y' Change	chr6L	subtelomere_switch	chr6L[1]:E-chr6L-1							3884	97.27%	no junction	no junction found; donor wins across the element or signal too weak	beginning
6991	6991_day0_with_selection_repeat	SRR33298373.1079946	chr13L	1/1	chr13L-1	G2	chr6L-1	G1	E-chr6L-1	1st Y' Change	chr6L	subtelomere_switch	chr6L[1]:E-chr6L-1							3884	97.27%	no junction	no junction found; donor wins across the element or signal too weak	beginning
6991	6991_day0_with_selection_repeat	SRR33298373.46529	chr13L	1/1	chr13L-1	G2	chr6L-1	G1	E-chr6L-1	1st Y' Change	chr6L	subtelomere_switch	chr6L[1]:E-chr6L-1							3884	97.27%	no junction	no junction found; donor wins across the element or signal too weak	end
6991	6991_day0_with_selection_repeat	SRR33298373.797552	chr13L	1/1	chr13L-1	G2	chr6L-1	G1	E-chr6L-1	1st Y' Change	chr6L	subtelomere_switch	chr6L[1]:E-chr6L-1							3884	97.27%	no junction	no junction found; donor wins across the element or signal too weak	end
6991	6991_day0_with_selection_repeat	SRR33298373.677153	chr13L	1/1	chr13L-1	G2	chr8L-1	G5	E-chr8L-1	1st Y' Change	chr8L	subtelomere_switch	chr8L[1]:E-chr8L-1							5059	98.14%	no junction	no junction found; donor wins across the element or signal too weak	beginning
6991	6991_day0_with_selection_repeat	SRR33298373.284052	chr2L	1/1	chr2L-1	G1	chr8R-1	G3	E-chr8R-1	1st Y' Change	chr8R	donor_transfer	chr8R[1]:E-chr8R-1							3855	99.14%	no junction	no junction found; donor wins across the element or signal too weak	beginning
6991	6991_day0_with_selection_repeat	SRR33298373.260098	chr5L	1/1	chr5L-1	G12	chr10L-1	G7	E-chr10L-1	1st Y' Change	chr10L	donor_transfer	chr10L[1]:E-chr10L-1							3093	96.25%	no junction	no junction found; donor wins across the element or signal too weak	end
