sample	read_id	chr_end	copy_index	n_copies	true_element	true_group	matched_element	matched_group	donor_end	same_end	telo_side	read_length	yp_start	yp_end
6991_day0_reference	SRR33298378.151832	chr12L	1	1	E-chr12L-1	G4	E-chr2L-1	G1	chr2L	False	end	11173	5614	11056
6991_day0_reference	SRR33298378.55891	chr12L	1	1	E-chr12L-1	G4	E-chr16R-1	G6	chr16R	False	end	10993	5609	10881
6991_day0_reference	SRR33298378.479559	chr12L	1	1	E-chr12L-1	G4	E-chr13L-1	G2	chr13L	False	end	10983	5611	10809
6991_day0_reference	SRR33298378.275479	chr13L	1	1	E-chr13L-1	G2	E-chr9L-1	G7	chr9L	False	beginning	17357	260	6969
6991_day0_reference	SRR33298378.42439	chr13L	1	1	E-chr13L-1	G2	E-chr10L-1	G7	chr10L	False	end	17358	10350	17224
6991_day0_reference	SRR33298378.265251	chr13L	1	1	E-chr13L-1	G2	E-chr2L-1	G1	chr2L	False	end	16398	10309	16312
6991_day0_reference	SRR33298378.159765	chr13L	1	1	E-chr13L-1	G2	E-chr2L-1	G1	chr2L	False	beginning	16365	110	6092
6991_day0_reference	SRR33298378.714719	chr14R	1	1	E-chr14R-1	G10	E-chr9L-1	G7	chr9L	False	end	16417	9234	16311
6991_day0_reference	SRR33298378.9482	chr14R	1	1	E-chr14R-1	G10	E-chr9L-1	G7	chr9L	False	end	16302	9211	16042
6991_day0_reference	SRR33298378.566178	chr14R	1	1	E-chr14R-1	G10	E-chr9L-1	G7	chr9L	False	end	15886	9051	15727
6991_day0_reference	SRR33298378.240117	chr14R	1	1	E-chr14R-1	G10	E-chr5L-1	G12	chr5L	False	end	16047	9346	15905
6991_day0_reference	SRR33298378.306956	chr14R	1	1	E-chr14R-1	G10	E-chr15R-1	G8	chr15R	False	beginning	15938	134	6780
6991_day0_reference	SRR33298378.651427	chr15R	1	1	E-chr15R-1	G8	E-chr13L-1	G2	chr13L	False	end	24901	19204	24689
6991_day0_reference	SRR33298378.290053	chr16L	1	1	E-chr16L-1	G8	E-chr10L-1	G7	chr10L	False	end	26442	19131	26245
6991_day0_reference	SRR33298378.305547	chr16L	1	1	E-chr16L-1	G8	E-chr5L-1	G12	chr5L	False	end	25943	19298	25829
6991_day0_reference	SRR33298378.400808	chr16R	1	1	E-chr16R-1	G6	E-chr14L-5	G2	chr14L	False	end	11675	6340	11519
6991_day0_reference	SRR33298378.69401	chr2L	1	1	E-chr2L-1	G1	E-chr14L-5	G2	chr14L	False	beginning	15548	188	5767
6991_day0_reference	SRR33298378.722027	chr2L	1	1	E-chr2L-1	G1	E-chr8R-1	G3	chr8R	False	end	15419	9784	15259
6991_day0_reference	SRR33298378.427420	chr2L	1	1	E-chr2L-1	G1	E-chr8R-1	G3	chr8R	False	beginning	15364	120	5585
6991_day0_reference	SRR33298378.334381	chr5L	1	1	E-chr5L-1	G12	E-chr5R-1	G9	chr5R	False	beginning	12325	181	6533
6991_day0_reference	SRR33298378.381146	chr5L	1	1	E-chr5L-1	G12	E-chr12R-1	G11	chr12R	False	beginning	12273	143	6455
6991_day0_reference	SRR33298378.151924	chr6L	1	1	E-chr6L-1	G1	E-chr14L-5	G2	chr14L	False	beginning	23838	192	5652
6991_day0_reference	SRR33298378.95349	chr6L	1	1	E-chr6L-1	G1	E-chr13L-1	G2	chr13L	False	end	23792	18173	23632
6991_day0_reference	SRR33298378.180346	chr6L	1	1	E-chr6L-1	G1	E-chr14L-5	G2	chr14L	False	end	23774	18198	23643
6991_day0_reference	SRR33298378.296817	chr6L	1	1	E-chr6L-1	G1	E-chr14L-5	G2	chr14L	False	beginning	23738	105	5569
6991_day0_reference	SRR33298378.142793	chr8L	1	1	E-chr8L-1	G5	E-chr2L-1	G1	chr2L	False	beginning	11487	142	5693
6991_day0_reference	SRR33298378.56289	chr8R	1	1	E-chr8R-1	G3	E-chr2L-1	G1	chr2L	False	end	41281	35213	41202
