chr_end	donor	unit	repeats	read_id	path	source
chr10R	chr12R|chr14L	ID1,ID1	5.5	SRR33298446.171546	chr2L|chr6L:ID4 > chr12R|chr14L:ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1(circ[ID1,ID1]x5.5)	chr6L
chr12L	self	ID2	3.0	SRR33298446.84303	self:ID2,ID2,ID2(circ[ID2]x3.0)	chr14L
chr13R	chr12L|chr13L|chr14L|chr8L|chr8R	ID2	3.0	SRR33298446.372333	chr2L|chr6L:ID4 > chr12R|chr14L:ID1,ID1 > chr12L|chr13L|chr14L|chr8L|chr8R:ID2,ID2,ID2(circ[ID2]x3.0) > chr12R:ID1,ID1,ID1,ID1	chr14L
chr14R	chr14L	ID2,ID2	2.0	SRR33298446.160018	chr14L:ID2,ID2,ID2,ID2(circ[ID2,ID2]x2.0)	chr14L
chr15L	chr2L|chr6L	ID4	2.0	SRR33298446.312666	chr2L|chr6L:ID4,ID4(circ[ID4]x2.0)	chr13L
chr2R	chr2L|chr6L	ID4	7.0	SRR33298446.194760	chr2L|chr6L:ID4,ID4,ID4,ID4,ID4,ID4,ID4(circ[ID4]x7.0)	chr12R
chr2R	chr12R|chr14L	ID1,ID1	1.5	SRR33298446.287838	chr13L:ID2,ID1 > chr12R|chr14L:ID1,ID1,ID1(circ[ID1,ID1]x1.5)	chr13L
chr4L	chr14L	ID2,ID2,ID2	1.7	SRR33298446.268199	chr14L:ID2,ID2,ID2,ID2,ID2(circ[ID2,ID2,ID2]x1.7)	chr3R
chr5L	chr12R|chr14L|chr4R	ID1,ID1	2.5	SRR33298446.125100	chr12R|chr14L|chr4R:ID1,ID1,ID1,ID1,ID1(circ[ID1,ID1]x2.5)	chr12R
chr5R	chr14L	ID1,ID2	1.5	SRR33298446.373861	chr14L:ID1,ID2,ID1(circ[ID1,ID2]x1.5)	chr13L
