read_id	chr_end	read_length	telo_side	anchor_start	anchor_end	spacer_start	spacer_end	spacer_size	spacer_source	spacer_plurality_source	spacer_switch_pos	spacer_best_identity	spacer_second_best_identity	spacer_confidence	spacer_recombination	spacer_quick_check_skipped	x_element_start	x_element_end	x_element_size	x_element_source	x_element_switch_pos	x_element_best_identity	x_element_second_best_identity	x_element_confidence	x_element_recombination	x_element_cluster_id	y_prime_count_on_read	y_prime_observed_array	y_prime_positions	y_prime_start	y_prime_end	y_prime_size	y_prime_recombination_status	y_prime_divergence_idx	y_prime_expected_at_divergence	y_prime_found_at_divergence	y_prime_downstream_consistent	y_prime_compatible_ends	y_prime_gained_segment	y_prime_fingerprint_window	y_prime_fingerprint_len	y_prime_fingerprint_kind	y_prime_array_matches	y_prime_self_match	y_prime_fingerprint_source	y_prime_fingerprint_specificity	y_prime_path	y_prime_path_n_segments	y_prime_path_primary_donor	y_prime_path_primary_len	y_prime_path_circles	y_prime_path_its_verified	y_prime_path_its_checked	recombination_source	recombination_detected	overall_confidence	cross_feature_consistent	cross_feature_detail	is_complex_event	confidence_factors	source_votes	source_tie	source_resolution	recombination_mechanism	y_prime_donor	telomere_end_confirmed	telomere_repeat_length	y_prime_probe_count	y_prime_tail_bp	qc_flags
SRR33298449.277410	chr7R	54500	beginning	49459	54500	41189	49459	8270	chr7R	chr7R	-1	97.24	0.0	0.95	no_change	False	40481	41189	708	chr7R	-1	100.0	89.31	1.0	no_change	ID26	6	ID5,ID2,ID2,ID2,ID2,ID2	ID5:33829-40562;ID2:26999-33655;ID2:20324-26990;ID2:13665-20315;ID2:6824-13495;ID2:167-6815	167	40562	40395	Y' Gain	1		ID2	True	chr14L,chr16L,chr7R	ID2,ID2,ID2,ID2,ID2	ID2,ID2,ID2,ID2,ID2	5	contiguous	chr12R:contiguous;chr4R:contiguous	False		0.5	chr4R[1-4]:ID2,ID2,ID2,ID2,ID2(circ x1.2 moderate | alt chr4R[1-3] + chr4R[1-2])	1	chr4R	5	chr4R[1-4]:ID2,ID2,ID2,ID2x1.2:moderate	4	4	chr4R	True	0.33	True	y_prime=chr4R; y_prime_compatible=chr14L,chr16L,chr7R; y_prime_array_matches=chr12R:contiguous,chr4R:contiguous; y_prime_status=Y' Gain; y_prime_path=chr4R[1-4]:ID2,ID2,ID2,ID2,ID2(circ x1.2 moderate | alt chr4R[1-3] + chr4R[1-2])	False	base=0.30, complexity=1.10	chr4R=1.00	False	arm	donor_transfer	chr4R	True	129.0	6.0	167	
SRR33298449.444270	chr7R	41265	beginning	36242	41265	27972	36242	8270	chr7R	chr7R	-1	97.27	0.0	0.95	no_change	False	27263	27972	709	chr7R	-1	99.86	89.19	1.0	no_change	ID26	4	ID5,ID2,ID2,ID2	ID5:20617-27344;ID2:13805-20453;ID2:6989-13633;ID2:190-6842	190	27344	27154	Y' Gain	1		ID2	True	chr14L,chr16L,chr7R	ID2,ID2,ID2	ID2,ID2,ID2	3	contiguous	chr12R:contiguous;chr4R:contiguous	False		0.5	chr12R|chr4R:ID2,ID2,ID2(circ x1.5)	1		3	chr12R|chr4R:ID2,ID2x1.5:na	1	2	chr12R	True	0.33	True	y_prime_compatible=chr14L,chr16L,chr7R; y_prime_array_matches=chr12R:contiguous,chr4R:contiguous; y_prime_status=Y' Gain; y_prime_path=chr12R|chr4R:ID2,ID2,ID2(circ x1.5)	False	base=0.30, complexity=1.10	chr12R=0.15;chr4R=0.15	True	arm	donor_transfer_candidates:2		True	103.0	4.0	190	
SRR33298449.420201	chr7R	37096	beginning	33924	37096	25627	33924	8297	chr7R	chr7R	-1	98.33	0.0	0.95	no_change	False	24919	25627	708	chr7R	-1	99.44	88.89	1.0	no_change	ID26	4	ID5,ID2,ID3,ID3	ID5:18261-25000;ID2:11439-18093;ID3:5783-11267;ID3:107-5612	107	25000	24893	Y' Gain	1		ID2	True	chr14L,chr16L,chr7R	ID2,ID3,ID3	ID2,ID3,ID3	3	contiguous	chr14L:contiguous	False	chr14L	1.0	chr14L[2-4]:ID2,ID3,ID3	1	chr14L	3		2	2	chr14L	True	0.66	True	y_prime=chr14L; y_prime_compatible=chr14L,chr16L,chr7R; y_prime_array_matches=chr14L:contiguous; y_prime_status=Y' Gain; y_prime_path=chr14L[2-4]:ID2,ID3,ID3	False	base=0.60, complexity=1.10	chr14L=1.00	False	arm	donor_transfer	chr14L	True	74.0	4.0	107	
SRR33298449.347234	chr7R	38824	end	0	5045	5045	13336	8291	chr7R	chr7R	-1	97.09	0.0	0.95	no_change	False	13336	14044	708	chr7R	-1	100.0	89.31	1.0	no_change	ID26	4	ID5,ID7,ID2,ID7	ID5:13963-20698;ID7:20849-26337;ID2:26499-33138;ID7:33278-38758	13963	38758	24795	Y' Gain	1		ID7	True	chr14L,chr16L,chr7R	ID7,ID2,ID7	ID7,ID2,ID7	3	contiguous	chr13L:contiguous	False	chr13L	1.0	chr13L[1-2]:ID7,ID2,ID7(circ x1.5 moderate | alt chr13L[1-2] + chr13L[1])	1	chr13L	3	chr13L[1-2]:ID7,ID2x1.5:moderate	1	2	chr13L	True	0.66	True	y_prime=chr13L; y_prime_compatible=chr14L,chr16L,chr7R; y_prime_array_matches=chr13L:contiguous; y_prime_status=Y' Gain; y_prime_path=chr13L[1-2]:ID7,ID2,ID7(circ x1.5 moderate | alt chr13L[1-2] + chr13L[1])	False	base=0.60, complexity=1.10	chr13L=1.00	False	arm	donor_transfer	chr13L	True	58.0	4.0	66	
SRR33298449.222947	chr7R	34431	beginning	29391	34431	21114	29391	8277	chr7R	chr7R	-1	98.81	0.0	0.95	no_change	False	20419	21114	695	chr7R	-1	97.32	87.3	0.974	no_change	ID26	3	ID5,ID2,ID2	ID5:13777-20501;ID2:6981-13613;ID2:172-6817	172	20501	20329	Y' Gain	1		ID2	True	chr14L,chr16L,chr7R	ID2,ID2	ID2,ID2	2	contiguous	chr12R:contiguous;chr4R:contiguous	False		0.5	chr12R|chr4R:ID2,ID2	1		2		1	1	chr12R	True	0.33	True	y_prime_compatible=chr14L,chr16L,chr7R; y_prime_array_matches=chr12R:contiguous,chr4R:contiguous; y_prime_status=Y' Gain; y_prime_path=chr12R|chr4R:ID2,ID2	False	base=0.30, complexity=1.10	chr12R=0.15;chr4R=0.15	True	arm	donor_transfer_candidates:2		True	129.0	3.0	172	
SRR33298449.334058	chr7R	34170	end	0	5025	5025	13299	8274	chr7R	chr7R	-1	96.14	0.0	0.95	no_change	False	13299	14007	708	chr7R	-1	98.59	88.43	0.9937	no_change	ID26	3	ID5,ID2,ID2	ID5:13926-20654;ID2:20811-27431;ID2:27440-34093	13926	34093	20167	Y' Gain	1		ID2	True	chr14L,chr16L,chr7R	ID2,ID2	ID2,ID2	2	contiguous	chr12R:contiguous;chr4R:contiguous	False		0.5	chr4R[1-2]:ID2,ID2	1	chr4R	2		1	1	chr4R	True	0.33	True	y_prime=chr4R; y_prime_compatible=chr14L,chr16L,chr7R; y_prime_array_matches=chr12R:contiguous,chr4R:contiguous; y_prime_status=Y' Gain; y_prime_path=chr4R[1-2]:ID2,ID2	False	base=0.30, complexity=1.10	chr4R=0.60	False	arm	donor_transfer	chr4R	True	68.0	3.0	77	
SRR33298449.475779	chr7R	33065	end	0	5012	5012	13284	8272	chr7R	chr7R	-1	94.23	0.0	0.95	no_change	False	13284	13999	715	chr7R	-1	92.27	83.82	0.8511	no_change	ID26	3	ID5,ID2,ID7	ID5:13918-20604;ID2:20765-27362;ID7:27507-32954	13918	32954	19036	Y' Gain	1		ID2	True	chr14L,chr16L,chr7R	ID2,ID7	ID2,ID7	2	contiguous	chr13L:contiguous	False	chr13L	1.0	chr13L[2-3]:ID2,ID7	1	chr13L	2		1	1	chr13L	True	0.44	True	y_prime=chr13L; y_prime_compatible=chr14L,chr16L,chr7R; y_prime_array_matches=chr13L:contiguous; y_prime_status=Y' Gain; y_prime_path=chr13L[2-3]:ID2,ID7	False	base=0.40, complexity=1.10	chr13L=0.60	False	arm	donor_transfer	chr13L	True	94.0	2.0	111	
SRR33298449.557176	chr7R	27591	end	0	5037	5037	13317	8280	chr7R	chr7R	-1	95.86	0.0	0.95	no_change	False	13317	14025	708	chr7R	-1	100.0	89.31	1.0	no_change	ID26	2	ID5,ID2	ID5:13944-20677;ID2:20837-27477	13944	27477	13533	Y' Gain	1		ID2	True	chr14L,chr16L,chr7R	ID2	ID2	1	contiguous	chr12R:contiguous;chr13L:contiguous;chr14L:contiguous;chr15R:contiguous;chr4R:contiguous	False		0.2	chr12R|chr13L|chr14L|chr15R|chr4R:ID2	1		1		0	0	chr14L	True	0.33	True	supplementary=chr14; y_prime_compatible=chr14L,chr16L,chr7R; y_prime_array_matches=chr12R:contiguous,chr13L:contiguous,chr14L:contiguous,chr15R:contiguous,chr4R:contiguous; y_prime_status=Y' Gain; y_prime_path=chr12R|chr13L|chr14L|chr15R|chr4R:ID2	False	base=0.30, complexity=1.10	chr14=0.25	False	arm_via_y_prime_candidates	donor_transfer_candidates:5		False	108.0	2.0	114	
SRR33298449.351701	chr7R	21263	beginning	16227	21263	7955	16227	8272	chr7R	chr7R	-1	96.89	0.0	0.95	no_change	False	7248	7955	707	chr7R	-1	99.86	89.31	1.0	no_change	ID26	1	ID6	ID6:84-7200	84	7200	7116	1st Y' Change	0	ID5	ID6	True	chr10L,chr14R,chr5L,chr9L	ID6	ID6	1	contiguous	chr10L:contiguous;chr14R:contiguous;chr5L:contiguous;chr9L:contiguous	False		0.25	chr10L|chr14R|chr5L|chr9L:ID6	1		1		0	0	ambiguous	True	0.3	True	y_prime_compatible=chr10L,chr14R,chr5L,chr9L; y_prime_array_matches=chr10L:contiguous,chr14R:contiguous,chr5L:contiguous,chr9L:contiguous; y_prime_status=1st Y' Change; y_prime_path=chr10L|chr14R|chr5L|chr9L:ID6	False	base=0.30, complexity=1.00		False		donor_transfer_candidates:4		True	53.0	1.0	84	
SRR33298449.518881	chr7R	20677	end	0	5010	5010	13285	8275	chr7R	chr7R	-1	95.85	0.0	0.95	no_change	False	13285	13990	705	chr7R	-1	98.73	88.47	1.0	no_change	ID26	1	ID2	ID2:13990-20611	13990	20611	6621	1st Y' Change	0	ID5	ID2	True	chr15R,chr4R	ID2	ID2	1	contiguous	chr12R:contiguous;chr13L:contiguous;chr14L:contiguous;chr15R:contiguous;chr4R:contiguous	False		0.2	chr12R|chr13L|chr14L|chr15R|chr4R:ID2	1		1		0	0	ambiguous	True	0.3	True	y_prime_compatible=chr15R,chr4R; y_prime_array_matches=chr12R:contiguous,chr13L:contiguous,chr14L:contiguous,chr15R:contiguous,chr4R:contiguous; y_prime_status=1st Y' Change; y_prime_path=chr12R|chr13L|chr14L|chr15R|chr4R:ID2	False	base=0.30, complexity=1.00		False		donor_transfer_candidates:5		True	59.0	1.0	66	
