chr_end	n_a	n_b	pct_recomb_a	pct_recomb_b	delta	pct_gain_a	pct_gain_b	pct_loss_a	pct_loss_b	top_source_a	top_source_b	source_agrees	verdict
chr1L	1376	455	1.9	1.5	-0.4	0.6	0.7	0.0	0.0	chr8R	chr1R	False	ok
chr1R	498	156	1.8	0.0	-1.8	0.4	0.0	0.0	0.0	chr1L		True	ok
chr2L	1840	838	0.9	0.2	-0.6	0.4	0.1	0.1	0.0	chr12		True	ok
chr2R	1954	928	2.6	1.4	-1.2	2.0	1.1	0.0	0.0	chr7	chr7	True	ok
chr3L	1993	880	0.6	0.0	-0.6	0.1	0.0	0.0	0.0	chr5R		True	ok
chr3R	2110	894	0.8	0.4	-0.4	0.6	0.4	0.0	0.0	chr14	chr7R	False	ok
chr4L	1199	565	1.8	2.8	1.0	0.4	1.1	0.0	0.0	chr10R	chr10R	True	ok
chr4R	388	178	18.0	18.0	-0.1	2.3	1.1	15.5	16.9	chr14L		True	ok
chr5L	2376	1026	0.5	0.3	-0.2	0.2	0.0	0.2	0.2	chr12R		True	ok
chr5R	2368	1028	0.9	1.1	0.1	0.5	0.8	0.0	0.2	chr14L	chr14L	True	ok
chr6L	1525	663	1.4	0.6	-0.8	0.1	0.0	0.9	0.6	chr15L		True	ok
chr6R	2630	1143	0.0	0.0	0.0	0.0	0.0	0.0	0.0			True	ok
chr7L	2524	1133	0.8	0.4	-0.4	0.5	0.3	0.0	0.0	chr11R	chr12R	False	ok
chr7R	1619	807	1.2	0.7	-0.4	0.9	0.6	0.1	0.1	chr14L	chr14L	True	ok
chr8L	2406	1099	0.4	0.2	-0.2	0.3	0.1	0.0	0.1	chr14L	chr13L	False	ok
chr8R	590	294	3.7	3.7	0.0	0.5	2.4	2.0	1.4	chr14	chr14	True	ok
chr9L	1113	508	0.6	0.6	-0.0	0.0	0.2	0.4	0.4	chr15L	chr12	False	ok
chr9R	2301	969	0.6	0.2	-0.4	0.1	0.2	0.0	0.0	chr3L	chr13L	False	ok
chr10L	1289	572	1.6	0.7	-0.9	0.4	0.2	0.5	0.0	chr12	chr12R	False	ok
chr10R	1622	709	5.0	4.9	-0.1	2.1	2.7	0.0	0.0	chr4L	chr4L	True	ok
chr11L	1503	1069	0.7	0.5	-0.2	0.5	0.2	0.0	0.0	chr12L	chr10L	False	ok
chr11R	1920	891	2.0	2.2	0.2	0.9	0.6	0.0	0.0	chr3L	chr3R	False	ok
chr12L	2409	1118	0.3	0.2	-0.2	0.1	0.1	0.0	0.1	chr2L		True	ok
chr12R	309	121	26.9	38.8	12.0	12.3	11.6	14.2	27.3	chr4	chr4	True	FLAG
chr13L	2093	921	3.0	3.8	0.8	1.2	1.8	0.5	0.8	chr14	chr14	True	ok
chr13R	1455	778	1.0	0.4	-0.6	1.0	0.3	0.0	0.0	chr15R	chr15R	True	ok
chr14L	496	219	22.0	18.3	-3.7	6.7	5.5	14.9	12.8	chr14L	chr14L	True	ok
chr14R	1996	890	1.7	0.8	-0.9	0.7	0.0	0.6	0.4	chr12		True	ok
chr15L	2524	1161	0.6	0.3	-0.3	0.6	0.3	0.0	0.0	chr13L	chr12R	False	ok
chr15R	1315	606	0.8	0.5	-0.3	0.2	0.5	0.4	0.0	chr12R	chr4R	False	ok
chr16L	1340	598	1.3	1.0	-0.3	0.7	1.0	0.2	0.0	chr14L	chr12R	False	ok
chr16R	2392	1132	0.3	0.8	0.5	0.2	0.7	0.0	0.0	chr10L	chr14	False	ok
