sample	chr_end	n	n_status_changed	n_source_changed	n_detected_changed	n_detected_a	n_detected_b	n_ambiguous_a	n_ambiguous_b	mean_dconf
6991_day0_with_selection	chr10L	1289	0	3	0	20	20	12	12	-0.001
6991_day0_with_selection	chr10R	1622	0	18	0	81	81	1	0	0.002
6991_day0_with_selection	chr11L	1503	0	6	0	10	10	0	0	0.0
6991_day0_with_selection	chr11R	1920	0	11	0	39	39	0	0	0.001
6991_day0_with_selection	chr12L	2409	0	0	0	8	8	2	2	0.0
6991_day0_with_selection	chr12R	309	0	8	0	83	83	47	47	-0.007
6991_day0_with_selection	chr13L	2093	0	14	0	63	63	22	23	0.0
6991_day0_with_selection	chr13R	1455	0	11	0	15	15	0	9	0.001
6991_day0_with_selection	chr14L	496	0	23	0	109	109	86	83	-0.008
6991_day0_with_selection	chr14R	1996	0	5	0	33	33	19	19	0.0
6991_day0_with_selection	chr15L	2524	0	8	0	15	15	1	6	0.0
6991_day0_with_selection	chr15R	1315	0	2	0	10	10	4	4	-0.001
6991_day0_with_selection	chr16L	1340	0	10	0	18	18	5	5	-0.0
6991_day0_with_selection	chr16R	2392	0	1	0	8	8	4	5	0.0
6991_day0_with_selection	chr1L	1376	0	1	0	26	26	5	5	0.0
6991_day0_with_selection	chr1R	498	0	2	0	9	9	0	0	0.0
6991_day0_with_selection	chr2L	1840	0	4	0	16	16	6	7	0.0
6991_day0_with_selection	chr2R	1954	0	9	0	50	50	0	0	0.001
6991_day0_with_selection	chr3L	1993	0	0	0	12	12	0	0	0.0
6991_day0_with_selection	chr3R	2110	0	5	0	17	17	0	1	0.0
6991_day0_with_selection	chr4L	1199	0	2	0	22	22	0	0	0.0
6991_day0_with_selection	chr4R	388	0	8	0	70	70	64	62	-0.01
6991_day0_with_selection	chr5L	2376	0	3	0	11	11	6	8	-0.0
6991_day0_with_selection	chr5R	2368	0	9	0	22	22	4	6	0.0
6991_day0_with_selection	chr6L	1525	0	0	0	21	21	16	16	-0.001
6991_day0_with_selection	chr6R	2630	0	0	0	0	0	0	0	0.0
6991_day0_with_selection	chr7L	2524	0	7	0	19	19	0	3	0.0
6991_day0_with_selection	chr7R	1619	0	13	0	19	19	3	3	0.0
6991_day0_with_selection	chr8L	2406	0	4	0	10	10	5	4	0.001
6991_day0_with_selection	chr8R	590	0	1	0	22	22	13	13	-0.002
6991_day0_with_selection	chr9L	1113	0	0	0	7	7	5	5	-0.001
6991_day0_with_selection	chr9R	2301	0	1	0	13	13	0	0	0.0
6991_day0_with_selection_repeat	chr10L	572	0	1	0	4	4	3	3	0.0
6991_day0_with_selection_repeat	chr10R	709	0	9	0	35	35	0	0	0.003
6991_day0_with_selection_repeat	chr11L	1069	0	1	0	5	5	0	0	0.001
6991_day0_with_selection_repeat	chr11R	891	0	2	0	20	20	0	0	0.001
6991_day0_with_selection_repeat	chr12L	1118	0	0	0	2	2	2	2	-0.0
6991_day0_with_selection_repeat	chr12R	121	0	2	0	47	47	26	26	-0.007
6991_day0_with_selection_repeat	chr13L	921	0	4	0	35	35	9	9	-0.0
6991_day0_with_selection_repeat	chr13R	778	0	1	0	3	3	0	1	0.0
6991_day0_with_selection_repeat	chr14L	219	0	3	0	40	40	36	36	-0.006
6991_day0_with_selection_repeat	chr14R	890	0	0	0	7	7	7	7	-0.0
6991_day0_with_selection_repeat	chr15L	1161	0	1	0	3	3	0	1	0.0
6991_day0_with_selection_repeat	chr15R	606	0	1	0	3	3	2	2	0.0
6991_day0_with_selection_repeat	chr16L	598	0	6	0	6	6	0	0	0.0
6991_day0_with_selection_repeat	chr16R	1132	0	2	0	9	9	4	4	0.0
6991_day0_with_selection_repeat	chr1L	455	0	0	0	7	7	3	3	0.0
6991_day0_with_selection_repeat	chr1R	156	0	0	0	0	0	0	0	0.0
6991_day0_with_selection_repeat	chr2L	838	0	0	0	2	2	2	2	0.0
6991_day0_with_selection_repeat	chr2R	928	0	2	0	13	13	0	1	0.0
6991_day0_with_selection_repeat	chr3L	880	0	0	0	0	0	0	0	0.0
6991_day0_with_selection_repeat	chr3R	894	0	3	0	4	4	0	0	0.0
6991_day0_with_selection_repeat	chr4L	565	0	2	0	16	16	0	0	0.001
6991_day0_with_selection_repeat	chr4R	178	0	0	0	32	32	32	32	-0.008
6991_day0_with_selection_repeat	chr5L	1026	0	0	0	3	3	3	3	-0.0
6991_day0_with_selection_repeat	chr5R	1028	0	8	0	11	11	2	3	-0.0
6991_day0_with_selection_repeat	chr6L	663	0	0	0	4	4	4	4	-0.001
6991_day0_with_selection_repeat	chr6R	1143	0	0	0	0	0	0	0	0.0
6991_day0_with_selection_repeat	chr7L	1133	0	2	0	4	4	0	1	-0.0
6991_day0_with_selection_repeat	chr7R	807	0	4	0	6	6	2	2	0.0
6991_day0_with_selection_repeat	chr8L	1099	0	1	0	2	2	0	0	0.0
6991_day0_with_selection_repeat	chr8R	294	0	0	0	11	11	4	4	-0.002
6991_day0_with_selection_repeat	chr9L	508	0	0	0	3	3	2	2	-0.001
6991_day0_with_selection_repeat	chr9R	969	0	2	0	2	2	0	0	0.0
6991_day0_with_selection_repeat2	chr10L	259	0	2	0	5	5	2	2	0.001
6991_day0_with_selection_repeat2	chr10R	308	0	1	0	11	11	0	0	0.002
6991_day0_with_selection_repeat2	chr11L	446	0	0	0	0	0	0	0	0.0
6991_day0_with_selection_repeat2	chr11R	401	0	0	0	3	3	0	0	0.0
6991_day0_with_selection_repeat2	chr12L	519	0	0	0	1	1	1	1	-0.0
6991_day0_with_selection_repeat2	chr12R	28	0	1	0	8	8	4	4	-0.0
6991_day0_with_selection_repeat2	chr13L	381	0	3	0	9	9	2	2	0.0
6991_day0_with_selection_repeat2	chr13R	355	0	0	0	2	2	0	0	0.001
6991_day0_with_selection_repeat2	chr14L	74	0	2	0	15	15	13	13	-0.005
6991_day0_with_selection_repeat2	chr14R	392	0	0	0	5	5	4	4	-0.0
6991_day0_with_selection_repeat2	chr15L	508	0	0	0	1	1	0	0	0.0
6991_day0_with_selection_repeat2	chr15R	244	0	0	0	1	1	1	1	0.0
6991_day0_with_selection_repeat2	chr16L	265	0	2	0	2	2	0	0	0.0
6991_day0_with_selection_repeat2	chr16R	472	0	0	0	3	3	3	3	0.0
6991_day0_with_selection_repeat2	chr1L	213	0	0	0	7	7	3	3	0.0
6991_day0_with_selection_repeat2	chr1R	58	0	0	0	0	0	0	0	0.0
6991_day0_with_selection_repeat2	chr2L	400	0	0	0	2	2	2	2	0.0
6991_day0_with_selection_repeat2	chr2R	419	0	2	0	8	8	0	0	0.0
6991_day0_with_selection_repeat2	chr3L	421	0	0	0	0	0	0	0	0.0
6991_day0_with_selection_repeat2	chr3R	448	0	2	0	4	4	0	0	0.001
6991_day0_with_selection_repeat2	chr4L	254	0	1	0	2	2	0	0	0.0
6991_day0_with_selection_repeat2	chr4R	68	0	0	0	12	12	12	12	-0.004
6991_day0_with_selection_repeat2	chr5L	478	0	0	0	1	1	1	1	-0.0
6991_day0_with_selection_repeat2	chr5R	446	0	2	0	5	5	0	0	0.0
6991_day0_with_selection_repeat2	chr6L	319	0	0	0	6	6	5	5	-0.001
6991_day0_with_selection_repeat2	chr6R	572	0	0	0	0	0	0	0	0.0
6991_day0_with_selection_repeat2	chr7L	523	0	2	0	3	3	0	1	0.0
6991_day0_with_selection_repeat2	chr7R	330	0	3	0	3	3	0	0	0.0
6991_day0_with_selection_repeat2	chr8L	484	0	1	0	2	2	1	1	0.001
