expected_element	donor_element	expected_len	donor_len	n_blocks	total_homologous_bp	longest_block_bp	longest_block_identity	longest_block_in_expected	longest_block_in_donor	usable_for_crossover
chr10L-1	chr16L-1	6869	6653	2	7048	5010	97.13%	3-5001	49-5032	yes
chr10L-1	chr7R-1	6869	6654	2	7048	5010	97.15%	3-5001	49-5032	yes
chr10L-1	chr13L-1	6869	5483	3	5709	2058	95.67%	2944-5001	1826-3859	yes
chr10L-1	chr5R-1	6869	6692	2	7037	4999	96.86%	3-5001	137-5070	yes
chr12L-1	chr2L-1	5190	5975	2	5511	3473	97.98%	119-3580	387-3858	yes
chr12L-1	chr8L-1	5190	5058	1	5056	5056	97.92%	151-5185	1-5054	yes
chr13L-1	chr7R-1	5483	6654	2	5317	3656	99.59%	1826-5481	2999-6650	yes
chr13L-1	chr15R-1	5483	6649	2	5307	3656	99.56%	1826-5481	2994-6645	yes
chr13L-1	chr16L-1	5483	6653	2	5317	3656	99.59%	1826-5481	2999-6650	yes
chr13L-1	chr14L-2	5483	6652	2	5307	3656	99.64%	1826-5481	2994-6649	yes
chr13L-1	chr2L-1	5483	5975	2	5917	3883	97.12%	1-3870	3-3858	yes
chr13L-1	chr6L-1	5483	5975	2	5918	3884	97.27%	1-3870	1-3858	yes
chr13L-1	chr8R-1	5483	5468	1	5495	5495	98.54%	2-5483	1-5467	yes
chr13L-1	chr5R-1	5483	6692	1	3656	3656	99.59%	1826-5481	3037-6688	yes
chr14L-1	chr7R-1	5720	6654	1	5721	5721	99.95%	1-5720	1-5721	yes
chr14L-1	chr16L-1	5720	6653	1	5721	5721	99.93%	1-5720	1-5721	yes
chr14R-1	chr9L-1	6530	6870	2	6840	4903	97.88%	48-4926	3-4905	yes
chr14R-1	chr7R-1	6530	6654	2	6919	4973	96.70%	1-4926	2-4971	yes
chr16L-1	chr10L-1	6653	6869	2	7048	5010	97.13%	49-5032	3-5001	yes
chr16R-1	chr14L-4	5302	5485	2	5624	3588	98.55%	1-3583	295-3871	yes
chr16R-1	chr13L-1	5302	5483	2	5626	3588	98.61%	1-3583	295-3870	yes
chr2L-1	chr8R-1	5975	5468	2	5888	3855	99.14%	4-3858	1-3855	yes
chr5R-1	chr10L-1	6692	6869	2	7037	4999	96.86%	137-5070	3-5001	yes
chr6L-1	chr14L-4	5975	5485	2	5923	3884	97.35%	1-3858	1-3871	yes
chr6L-1	chr14L-5	5975	5484	2	5922	3884	97.35%	1-3858	1-3871	yes
chr7R-1	chr8R-1	6654	5468	2	5317	3657	99.07%	2999-6650	1809-5465	yes
chr8L-1	chr9L-1	5058	6870	2	3281	2063	95.01%	1384-3445	2945-4977	yes
chr8L-1	chr2L-1	5058	5975	2	5497	3457	97.37%	1-3445	419-3858	yes
chr8R-1	chr2L-1	5468	5975	2	5888	3855	99.14%	1-3855	4-3858	yes
