read_id	chr_end	y_prime_observed_array	y_prime_gained_segment	y_prime_path	cat	recombination_source	overall_confidence
SRR33298450.390026	chr10R	ID2,ID1,ID2,ID1,ID2	ID2,ID1,ID2,ID1,ID2	chr13L[1-2]:ID2,ID1,ID2,ID1,ID2(circ x2.5 strong)	unique donor by IDs	chr13L	1.0
SRR33298450.521266	chr10R	ID2,ID1,ID2,ID1	ID2,ID1,ID2,ID1	chr13L[1-4]:ID2,ID1,ID2,ID1	unique donor by IDs	chr13L	1.0
SRR33298450.6056	chr10R	ID2,ID1,ID2	ID2,ID1,ID2	chr13L[1-3]:ID2,ID1,ID2	unique donor by IDs	chr13L	0.66
SRR33298450.569831	chr10R	ID2,ID1,ID2	ID2,ID1,ID2	chr13L[1-3]:ID2,ID1,ID2	unique donor by IDs	chr13L	0.66
SRR33298450.222396	chr11L	ID5,ID1,ID1	ID5,ID1,ID1	chr12R[1-3]:ID5,ID1,ID1	unique donor by IDs	chr12R	1.0
SRR33298450.292554	chr11R	ID2,ID1,ID2,ID1	ID2,ID1,ID2,ID1	chr13L[1-4]:ID2,ID1,ID2,ID1	unique donor by IDs	chr13L	0.66
SRR33298450.336080	chr11R	ID2,ID1,ID2,ID1	ID2,ID1,ID2,ID1	chr13L[1-4]:ID2,ID1,ID2,ID1	unique donor by IDs	chr13L	0.66
SRR33298450.500957	chr11R	ID2,ID1,ID2,ID1	ID2,ID1,ID2,ID1	chr13L[1-3]:ID2,ID1,ID2 > chr12R|chr13L|chr14L|chr15R|chr16L|chr4R|chr5R|chr7R:ID1	unique donor by IDs	chr13L	0.66
SRR33298450.73471	chr12L	ID2,ID1,ID1,ID1	ID1,ID1,ID1	chr12R|chr14L|chr4R:ID1,ID1,ID1(circ x1.5)	unresolved	chr12R	0.33
SRR33298450.46802	chr12L	ID2,ID1,ID2,ID1	ID1,ID2,ID1	chr13L[2-4]:ID1,ID2,ID1	unique donor by IDs	chr13L	0.66
SRR33298450.530733	chr12L	ID2,ID1,ID2,ID1	ID1,ID2,ID1	chr13L[2-4]:ID1,ID2,ID1	unique donor by IDs	chr13L	0.66
SRR33298450.292399	chr12L	ID2,ID2,ID2,ID2	ID2,ID2,ID2	chr14L[3-4]:ID2,ID2,ID2(circ x1.5 moderate | alt chr14L[3] + chr14L[3-4])	unique donor by IDs	chr14L	0.66
SRR33298450.81875	chr12L	ID2,ID1,ID1	ID1,ID1	chr12R|chr14L|chr4R:ID1,ID1	unresolved	chr12R	0.33
SRR33298450.9453	chr12L	ID2,ID2,ID1	ID2,ID1	chr13L[1-2]:ID2,ID1	unique donor by IDs	chr13L	0.44
SRR33298450.262845	chr12L	ID2,ID2,ID1	ID2,ID1	chr13L[1-2]:ID2,ID1	unique donor by IDs	chr13L	0.44
SRR33298450.317089	chr12L	ID2,ID2,ID1	ID2,ID1	chr13L[1-2]:ID2,ID1	unique donor by IDs	chr13L	0.44
SRR33298450.111984	chr12R	ID5,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1,ID1	self[2]:ID1,ID1,ID1,ID1,ID1,ID1(circ x6.0 moderate | alt chr12R[2-6] + chr12R[2])	self (tandem amplification)	chr4R	0.66
SRR33298450.557450	chr12R	ID5,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1	self[2-4]:ID1,ID1,ID1	self (tandem amplification)	chr12R	0.33
SRR33298450.481191	chr12R	ID5,ID1,ID1,ID1,ID1,ID1,ID1,ID3	ID1,ID3	self[2]:ID1 > chr10L|chr9L:ID3	self (tandem amplification)	chr4	0.3
SRR33298450.410774	chr12R	ID5,ID1,ID1,ID1,ID1,ID1,ID1,ID1	ID1,ID1	self[2-3]:ID1,ID1	self (tandem amplification)	chr12R	0.33
