strain	read_id	own_elem	breakpoint_found	breakpoint_bp	donor	first_half_len	second_half_len	id_vs_recipient_first_half	id_vs_donor_second_half	pass
6991	SRR33298384.498901	chr10L-1	True	6000	chr12R-2	6000	594	90.0	98.48	True
6991	SRR33298384.151130	chr10L-1	True	900	chr2L-1	900	5668	90.33	69.51	False
6991	SRR33298461.57209	chr10L-1	True	900	chr14R-1	900	5682	92.22	93.8	True
6991	SRR33298373.545529	chr10L-1	True	6000	chr12R-2	6000	582	90.0	91.07	True
6991	SRR33298373.491903	chr10L-1	True	900	chr14R-1	900	5693	92.22	94.26	True
6991	SRR33298373.122658	chr10L-1	True	900	chr14R-1	900	5727	90.11	91.5	True
6991	SRR33298384.220455	chr13L-1	True	2700	chr8R-1	2700	2582	47.48	47.48	False
6991	SRR33298461.44252	chr13L-1	True	1500	chr14L-1	1500	4250	94.93	82.87	False
6991	SRR33298373.897522	chr14R-1	True	2400	chr9L-1	2400	4681	98.04	87.63	False
6991	SRR33298377.726683	chr14R-1	True	900	chr13L-1	900	5689	47.11	48.58	False
6991	SRR33298373.1266643	chr14R-1	True	1200	chr13L-1	1200	5415	47.58	47.59	False
6991	SRR33298434.79614	chr16L-1	True	2400	chr2L-1	2400	3981	47.25	46.87	False
6991	SRR33298384.538094	chr16R-1	True	4200	chr12L-1	4200	1004	93.52	89.04	False
6991	SRR33298434.64148	chr16R-1	True	1200	chr12L-1	1200	3980	86.5	90.58	False
6991	SRR33298434.378016	chr16R-1	True	4200	chr12L-1	4200	998	91.62	89.18	False
6991	SRR33298377.644709	chr16R-1	True	4200	chr12L-1	4200	983	93.19	88.2	False
6991	SRR33298377.534605	chr16R-1	True	2100	chr12L-1	2100	3076	98.05	97.01	True
6991	SRR33298384.248800	chr16R-1	True	3300	chr12L-1	3300	1889	99.76	98.62	True
6991	SRR33298373.72733	chr16R-1	True	4200	chr12L-1	4200	983	94.43	91.96	True
6991	SRR33298373.260098	chr5L-1	True	1200	chr2L-1	1200	5508	48.08	47.88	False
6991	SRR33298434.226995	chr5L-1	True	5700	chr14R-1	5700	607	92.91	90.94	True
6991	SRR33298434.116145	chr5L-1	True	1500	chr2L-1	1500	4811	46.47	47.41	False
6991	SRR33298434.164214	chr7R-1	True	5700	chr14R-1	5700	887	93.05	98.08	True
6991	SRR33298377.221175	chr8R-1	True	900	chr6L-1	900	4552	47.33	47.52	False
7172	SRR33298432.177252	chr16R-1	True	4200	chr12L-1	4200	994	94.55	98.49	True
7172	SRR33298432.315476	chr16R-1	True	2700	chr10L-1	2700	2495	46.96	47.54	False
7302	SRR33298452.573441	chr10L-1	True	900	chr5R-1	900	5605	46.78	48.12	False
7302	SRR33298452.217955	chr14R-1	True	2400	chr13L-1	2400	4216	47.62	47.49	False
7302	SRR33298452.246202	chr14R-1	True	5400	chr12R-2	5400	1223	95.72	98.2	True
7302	SRR33298452.485827	chr5R-1	True	1200	chr10L-1	1200	5875	47.25	48.26	False
7302	SRR33298452.241882	chr5R-1	True	900	chr10L-1	900	5602	48.44	47.98	False
