strain	sample	read_id	chr_end	copy	expected_element	expected_group	donor_element	donor_group	program_assigned_yprime	program_status	program_source	program_mechanism	program_path	anchorHalf_vs_expected	anchorHalf_vs_donor	anchor_margin	teloHalf_vs_expected	teloHalf_vs_donor	telo_margin	pair_longest_homology_bp	pair_homology_identity	evidence	explanation	telo_side
6991	6991_day0_with_selection_repeat2	SRR33298384.498901	chr10L	1/1	chr10L-1	G7	chr7R-1	G8	E-chr7R-1	1st Y' Change	chr7R	donor_transfer	chr7R[1]:E-chr7R-1	99.68%	98.13%	+1.55	94.86%	99.65%	+4.79	5010	97.15%	strong	mid-Y' recombination (both halves favour the right reference)	end
6991	6991_day0_with_selection_repeat2	SRR33298384.285744	chr14R	1/1	chr14R-1	G10	chr6L-1	G1	E-chr6L-1	1st Y' Change	chr6L	donor_transfer	chr6L[1]:E-chr6L-1	99.51%	93.51%	+6.00	96.23%	99.63%	+3.40	1963	96.23%	strong	mid-Y' recombination (both halves favour the right reference)	beginning
6991	6991_day0_with_selection_repeat2	SRR33298384.129326	chr15R	1/1	chr15R-1	G8	chr9L-1	G7	E-chr9L-1	1st Y' Change	chr9L	donor_transfer	chr9L[1]:E-chr9L-1	100.00%	96.39%	+3.61	96.03%	99.23%	+3.20	5016	96.89%	strong	mid-Y' recombination (both halves favour the right reference)	end
6991	6991_day0_with_selection_repeat2	SRR33298384.538094	chr16R	1/1	chr16R-1	G6	chr13L-1	G2	E-chr13L-1	1st Y' Change	chr13L	donor_transfer	chr13L[1]:E-chr13L-1	98.24%	96.64%	+1.60	95.40%	98.24%	+2.84	3588	98.61%	strong	mid-Y' recombination (both halves favour the right reference)	beginning
6991	6991_day0_with_selection_repeat2	SRR33298384.248800	chr16R	1/1	chr16R-1	G6	chr14L-5	G2	E-chr14L-5	1st Y' Change	chr14L	donor_transfer	chr14L[5]:E-chr14L-5	100.00%	98.39%	+1.61	96.51%	99.29%	+2.78	3588	98.55%	strong	mid-Y' recombination (both halves favour the right reference)	end
6991	6991_day0_with_selection_repeat2	SRR33298384.151130	chr10L	1/1	chr10L-1	G7	chr7R-1	G8	E-chr7R-1	1st Y' Change	chr7R	donor_transfer	chr7R[1]:E-chr7R-1	95.83%	94.44%	+1.39	93.29%	96.36%	+3.07	5010	97.15%	weak	mid-Y' recombination (correct direction, margins < 1.5 %)	beginning
6991	6991_day0_with_selection_repeat2	SRR33298384.443822	chr12L	1/1	chr12L-1	G4	chr14L-5	G2	E-chr14L-5	1st Y' Change	chr14L	donor_transfer	chr14L[5]:E-chr14L-5	99.14%	98.38%	+0.76	98.86%	99.73%	+0.87	5193	99.15%	weak	mid-Y' recombination (correct direction, margins < 1.5 %)	beginning
6991	6991_day0_with_selection_repeat2	SRR33298384.550794	chr12L	1/1	chr12L-1	G4	chr13L-1	G2	E-chr13L-1	1st Y' Change	chr13L	donor_transfer	chr13L[1]:E-chr13L-1	98.69%	97.96%	+0.73	98.19%	99.06%	+0.87	5188	99.19%	weak	mid-Y' recombination (correct direction, margins < 1.5 %)	end
6991	6991_day0_with_selection_repeat2	SRR33298384.220455	chr13L	1/1	chr13L-1	G2	chr16R-1	G6	E-chr16R-1	1st Y' Change	chr16R	donor_transfer	chr16R[1]:E-chr16R-1	98.68%	95.69%	+2.99	98.81%	99.34%	+0.53	3588	98.61%	weak	mid-Y' recombination (correct direction, margins < 1.5 %)	end
6991	6991_day0_with_selection_repeat2	SRR33298384.185796	chr13L	1/1	chr13L-1	G2	chr6L-1	G1	E-chr6L-1	1st Y' Change	chr6L	subtelomere_switch	chr6L[1]:E-chr6L-1	98.54%	99.12%	-0.58	95.29%	98.56%	+3.27	3884	97.27%	FAILS	not supported: no half is better explained by the donor	beginning
6991	6991_day0_with_selection_repeat2	SRR33298384.45869	chr13L	1/1	chr13L-1	G2	chr6L-1	G1	E-chr6L-1	1st Y' Change	chr6L	subtelomere_switch	chr6L[1]:E-chr6L-1							3884	97.27%	no junction	no junction found; donor wins across the element or signal too weak	beginning
6991	6991_day0_with_selection_repeat2	SRR33298384.467718	chr2L	1/1	chr2L-1	G1	chr8R-1	G3	E-chr8R-1	1st Y' Change	chr8R	donor_transfer	chr8R[1]:E-chr8R-1							3855	99.14%	no junction	no junction found; donor wins across the element or signal too weak	beginning
6991	6991_day0_with_selection_repeat2	SRR33298384.313055	chr2L	1/1	chr2L-1	G1	chr8R-1	G3	E-chr8R-1	1st Y' Change	chr8R	donor_transfer	chr8R[1]:E-chr8R-1							3855	99.14%	no junction	no junction found; donor wins across the element or signal too weak	beginning
