chr_end	n_reads	ref_yprimes	n_loss	pct_loss	real_contraction	rm_miss	unconfirmed_end	other	pct_real	pct_rm_miss	rm_miss_flag
chr1L	308	0	0	0.0	0	0	0	0	0.0	0.0	
chr1R	130	0	0	0.0	0	0	0	0	0.0	0.0	
chr2L	248	1	0	0.0	0	0	0	0	0.0	0.0	
chr2R	327	0	0	0.0	0	0	0	0	0.0	0.0	
chr3L	442	0	0	0.0	0	0	0	0	0.0	0.0	
chr3R	470	0	0	0.0	0	0	0	0	0.0	0.0	
chr4L	194	0	0	0.0	0	0	0	0	0.0	0.0	
chr4R	64	7	5	7.8	4	0	1	0	80.0	0.0	
chr5L	370	1	1	0.3	0	0	1	0	0.0	0.0	
chr5R	345	1	0	0.0	0	0	0	0	0.0	0.0	
chr6L	414	1	5	1.2	2	0	3	0	40.0	0.0	
chr6R	558	0	0	0.0	0	0	0	0	0.0	0.0	
chr7L	356	0	0	0.0	0	0	0	0	0.0	0.0	
chr7R	233	1	0	0.0	0	0	0	0	0.0	0.0	
chr8L	393	1	1	0.3	1	0	0	0	100.0	0.0	
chr8R	126	1	3	2.4	1	0	2	0	33.3	0.0	
chr9L	275	1	0	0.0	0	0	0	0	0.0	0.0	
chr9R	419	0	0	0.0	0	0	0	0	0.0	0.0	
chr10L	208	1	0	0.0	0	0	0	0	0.0	0.0	
chr10R	271	0	0	0.0	0	0	0	0	0.0	0.0	
chr11L	333	0	0	0.0	0	0	0	0	0.0	0.0	
chr11R	296	0	0	0.0	0	0	0	0	0.0	0.0	
chr12L	326	1	0	0.0	0	0	0	0	0.0	0.0	
chr12R	51	8	6	11.8	4	0	2	0	66.7	0.0	
chr13L	339	1	1	0.3	0	0	1	0	0.0	0.0	
chr13R	275	0	0	0.0	0	0	0	0	0.0	0.0	
chr14L	144	3	7	4.9	6	0	1	0	85.7	0.0	
chr14R	305	1	3	1.0	1	0	2	0	33.3	0.0	
chr15L	387	0	0	0.0	0	0	0	0	0.0	0.0	
chr15R	226	1	0	0.0	0	0	0	0	0.0	0.0	
chr16L	139	3	9	6.5	5	0	4	0	55.6	0.0	
chr16R	345	1	0	0.0	0	0	0	0	0.0	0.0	
