strain	sample	read_id	chr_end	copy	expected_element	expected_group	donor_element	donor_group	anchorHalf_vs_expected	anchorHalf_vs_donor	anchor_margin	teloHalf_vs_expected	teloHalf_vs_donor	telo_margin	pair_longest_homology_bp	pair_homology_identity	evidence	explanation	telo_side
6991	6991_day0_with_selection	SRR33298395.1154314	chr10L	1/1	chr10L-1	G7	chr16L-1	G8	92.33%	90.32%	+2.01	90.91%	94.31%	+3.40	5010	97.13%	strong	mid-Y' recombination (both halves favour the right reference)	beginning
6991	6991_day0_with_selection	SRR33298395.850311	chr10L	1/1	chr10L-1	G7	chr16L-1	G8	98.90%	96.76%	+2.14	96.31%	99.42%	+3.11	5010	97.13%	strong	mid-Y' recombination (both halves favour the right reference)	beginning
6991	6991_day0_with_selection	SRR33298395.1509441	chr10L	1/1	chr10L-1	G7	chr7R-1	G8	99.48%	97.93%	+1.55	95.10%	99.75%	+4.65	5010	97.15%	strong	mid-Y' recombination (both halves favour the right reference)	end
6991	6991_day0_with_selection	SRR33298395.1158890	chr10L	1/1	chr10L-1	G7	chr13L-1	G2	99.80%	95.56%	+4.24	95.10%	99.01%	+3.91	2058	95.67%	strong	mid-Y' recombination (both halves favour the right reference)	beginning
6991	6991_day0_with_selection	SRR33298395.1438229	chr13L	1/1	chr13L-1	G2	chr2L-1	G1	99.68%	97.86%	+1.82	96.27%	99.26%	+2.99	3883	97.12%	strong	mid-Y' recombination (both halves favour the right reference)	beginning
6991	6991_day0_with_selection	SRR33298395.1400154	chr13L	1/1	chr13L-1	G2	chr2L-1	G1	99.51%	97.37%	+2.14	96.51%	99.66%	+3.15	3883	97.12%	strong	mid-Y' recombination (both halves favour the right reference)	beginning
6991	6991_day0_with_selection	SRR33298395.836889	chr13L	1/1	chr13L-1	G2	chr2L-1	G1	99.79%	95.42%	+4.37	96.22%	98.93%	+2.71	3883	97.12%	strong	mid-Y' recombination (both halves favour the right reference)	beginning
6991	6991_day0_with_selection	SRR33298395.705953	chr13L	1/1	chr13L-1	G2	chr2L-1	G1	99.16%	97.38%	+1.78	96.74%	99.28%	+2.54	3883	97.12%	strong	mid-Y' recombination (both halves favour the right reference)	end
6991	6991_day0_with_selection	SRR33298395.931252	chr13L	1/1	chr13L-1	G2	chr2L-1	G1	99.12%	97.14%	+1.98	96.27%	98.91%	+2.64	3883	97.12%	strong	mid-Y' recombination (both halves favour the right reference)	end
6991	6991_day0_with_selection	SRR33298395.614488	chr14R	1/1	chr14R-1	G11	chr7R-1	G8	98.24%	95.31%	+2.93	95.33%	98.39%	+3.06	4973	96.70%	strong	mid-Y' recombination (both halves favour the right reference)	beginning
6991	6991_day0_with_selection	SRR33298395.349274	chr14R	1/1	chr14R-1	G11	chr7R-1	G8	98.08%	95.79%	+2.29	93.32%	96.47%	+3.15	4973	96.70%	strong	mid-Y' recombination (both halves favour the right reference)	beginning
6991	6991_day0_with_selection	SRR33298395.279078	chr14R	1/1	chr14R-1	G11	chr7R-1	G8	99.15%	96.15%	+3.00	92.85%	96.74%	+3.89	4973	96.70%	strong	mid-Y' recombination (both halves favour the right reference)	end
6991	6991_day0_with_selection	SRR33298395.1459324	chr14R	1/1	chr14R-1	G11	chr7R-1	G8	94.04%	92.12%	+1.92	92.49%	94.87%	+2.38	4973	96.70%	strong	mid-Y' recombination (both halves favour the right reference)	end
6991	6991_day0_with_selection	SRR33298395.1099939	chr16L	1/1	chr16L-1	G8	chr10L-1	G7	99.38%	97.83%	+1.55	94.57%	99.17%	+4.60	5010	97.13%	strong	mid-Y' recombination (both halves favour the right reference)	end
6991	6991_day0_with_selection	SRR33298395.517366	chr16R	1/1	chr16R-1	G6	chr14L-4	G2	99.95%	98.31%	+1.64	96.76%	99.42%	+2.66	3588	98.55%	strong	mid-Y' recombination (both halves favour the right reference)	beginning
6991	6991_day0_with_selection	SRR33298395.555288	chr16R	1/1	chr16R-1	G6	chr13L-1	G2	99.85%	98.23%	+1.62	96.76%	99.28%	+2.52	3588	98.61%	strong	mid-Y' recombination (both halves favour the right reference)	end
6991	6991_day0_with_selection	SRR33298395.1657397	chr5R	1/1	chr5R-1	G9	chr10L-1	G7	98.64%	96.96%	+1.68	94.85%	98.60%	+3.75	4999	96.86%	strong	mid-Y' recombination (both halves favour the right reference)	beginning
6991	6991_day0_with_selection	SRR33298395.580888	chr5R	1/1	chr5R-1	G9	chr10L-1	G7	98.68%	95.28%	+3.40	95.72%	98.94%	+3.22	4999	96.86%	strong	mid-Y' recombination (both halves favour the right reference)	end
6991	6991_day0_with_selection	SRR33298395.319132	chr6L	1/1	chr6L-1	G1	chr14L-4	G2	99.11%	96.96%	+2.15	96.81%	98.92%	+2.11	3884	97.35%	strong	mid-Y' recombination (both halves favour the right reference)	beginning
6991	6991_day0_with_selection	SRR33298395.1011445	chr6L	1/1	chr6L-1	G1	chr14L-5	G2	93.64%	91.68%	+1.96	92.47%	94.19%	+1.72	3884	97.35%	strong	mid-Y' recombination (both halves favour the right reference)	end
6991	6991_day0_with_selection	SRR33298395.1020823	chr13L	1/1	chr13L-1	G2	chr16L-1	G8	96.69%	95.87%	+0.82	96.87%	97.25%	+0.38	3656	99.59%	weak	mid-Y' recombination (correct direction, margins < 1.5 %)	end
6991	6991_day0_with_selection	SRR33298395.1669606	chr14R	1/1	chr14R-1	G11	chr9L-1	G7	99.35%	98.31%	+1.04	95.85%	97.36%	+1.51	4903	97.88%	weak	mid-Y' recombination (correct direction, margins < 1.5 %)	end
6991	6991_day0_with_selection	SRR33298395.88506	chr14R	1/1	chr14R-1	G11	chr9L-1	G7	99.42%	98.37%	+1.05	97.42%	98.97%	+1.55	4903	97.88%	weak	mid-Y' recombination (correct direction, margins < 1.5 %)	beginning
6991	6991_day0_with_selection	SRR33298395.614991	chr14R	1/1	chr14R-1	G11	chr9L-1	G7	99.08%	98.00%	+1.08	96.76%	98.70%	+1.94	4903	97.88%	weak	mid-Y' recombination (correct direction, margins < 1.5 %)	beginning
6991	6991_day0_with_selection	SRR33298395.807323	chr6L	1/1	chr6L-1	G1	chr14L-5	G2	98.63%	96.60%	+2.03	94.29%	95.10%	+0.81	3884	97.35%	weak	mid-Y' recombination (correct direction, margins < 1.5 %)	end
6991	6991_day0_with_selection	SRR33298395.1740335	chr13L	1/1	chr13L-1	G2	chr2L-1	G1	99.68%	97.22%	+2.46	97.50%	97.37%	-0.13	3883	97.12%	FAILS	not supported: no half is better explained by the donor	end
6991	6991_day0_with_selection	SRR33298395.240085	chr13L	1/1	chr13L-1	G2	chr2L-1	G1	99.61%	97.42%	+2.19	93.78%	91.59%	-2.19	3883	97.12%	FAILS	not supported: no half is better explained by the donor	beginning
6991	6991_day0_with_selection	SRR33298395.91673	chr13L	1/1	chr13L-1	G2	chr6L-1	G1	98.77%	97.03%	+1.74	93.83%	91.49%	-2.34	3884	97.27%	FAILS	not supported: no half is better explained by the donor	beginning
6991	6991_day0_with_selection	SRR33298395.167741	chr13L	1/1	chr13L-1	G2	chr2L-1	G1	99.60%	97.34%	+2.26	94.75%	92.44%	-2.31	3883	97.12%	FAILS	not supported: no half is better explained by the donor	end
