strain	sample	read_id	chr_end	copy	expected_element	expected_group	donor_element	donor_group	split_anchor_bp	split_telo_bp	split_total_bp	split_pct_from_anchor	program_assigned_yprime	program_status	program_source	program_mechanism	program_path	anchorHalf_vs_expected	anchorHalf_vs_donor	anchor_margin	teloHalf_vs_expected	teloHalf_vs_donor	telo_margin	pair_longest_homology_bp	pair_homology_identity	evidence	explanation	telo_side
6991	6991_day0	SRR33298461.57209	chr10L	1/1	chr10L-1	G7	chr7R-1	G8	4201	2700	6901	60.9	E-chr7R-1	1st Y' Change	chr7R	donor_transfer	chr7R[1]:E-chr7R-1	99.15%	97.54%	+1.61	94.52%	98.63%	+4.11	5010	97.15%	strong	mid-Y' recombination (both halves favour the right reference)	beginning
6991	6991_day0	SRR33298461.181020	chr6L	1/1	chr6L-1	G1	chr13L-1	G2	2368	3450	5818	40.7	E-chr13L-1	1st Y' Change	chr13L	donor_transfer	chr13L[1]:E-chr13L-1	97.55%	95.20%	+2.35	95.35%	98.58%	+3.23	3884	97.27%	strong	mid-Y' recombination (both halves favour the right reference)	beginning
6991	6991_day0_TeloTag	SRR33298460.274149	chr14R	1/1	chr14R-1	G11	chr14L-1	G9	4209	2775	6984	60.3	E-chr14L-1	1st Y' Change	chr14L	donor_transfer	chr14L[1]:E-chr14L-1	98.92%	96.54%	+2.38	94.47%	98.15%	+3.68	4973	96.70%	strong	mid-Y' recombination (both halves favour the right reference)	beginning
6991	6991_day0_TeloTag	SRR33298460.568401	chr14R	1/1	chr14R-1	G11	chr14L-1	G9	4125	2829	6954	59.3	E-chr14L-1	1st Y' Change	chr14L	donor_transfer	chr14L[1]:E-chr14L-1	99.52%	97.13%	+2.39	95.38%	98.66%	+3.28	4973	96.70%	strong	mid-Y' recombination (both halves favour the right reference)	end
6991	6991_day0_TeloTag_with_selection	SRR33298434.94939	chr2L	1/1	chr2L-1	G1	chr16L-1	G8	1435	5475	6910	20.8	E-chr16L-1	1st Y' Change	chr16L	donor_transfer	chr16L[1]:E-chr16L-1	99.25%	95.53%	+3.72	95.69%	98.24%	+2.55	2047	97.36%	strong	mid-Y' recombination (both halves favour the right reference)	beginning
6991	6991_day0_TeloTag_with_selection	SRR33298434.226995	chr5L	1/1	chr5L-1	G12	chr12R-1	G11	4232	2475	6707	63.1	E-chr12R-1	1st Y' Change	chr12R	donor_transfer	chr12R[1]:E-chr12R-1	99.40%	97.88%	+1.52	95.20%	97.68%	+2.48	4719	97.03%	strong	mid-Y' recombination (both halves favour the right reference)	beginning
6991	6991_day0_TeloTag_with_selection	SRR33298434.116145	chr5L	1/1	chr5L-1	G12	chr12R-1	G11	4050	2576	6626	61.1	E-chr12R-1	1st Y' Change	chr12R	donor_transfer	chr12R[1]:E-chr12R-1	99.19%	97.64%	+1.55	96.22%	98.47%	+2.25	4719	97.03%	strong	mid-Y' recombination (both halves favour the right reference)	end
6991	6991_day0_TeloTag_with_selection	SRR33298434.164214	chr7R	1/1	chr7R-1	G8	chr14R-1	G10	4212	2775	6987	60.3	E-chr14R-1	1st Y' Change	chr14R	donor_transfer	chr14R[1]:E-chr14R-1	96.47%	94.34%	+2.13	92.94%	97.10%	+4.16	4973	96.70%	strong	mid-Y' recombination (both halves favour the right reference)	beginning
6991	6991_day0_TeloTag_with_selection	SRR33298434.515556	chr8R	1/1	chr8R-1	G3	chr14R-1	G10	1200	5719	6919	17.3	E-chr14R-1	1st Y' Change	chr14R	donor_transfer	chr14R[1]:E-chr14R-1	99.50%	93.61%	+5.89	95.88%	99.22%	+3.34	1960	96.53%	strong	mid-Y' recombination (both halves favour the right reference)	end
6991	6991_day0_reference	SRR33298378.265251	chr13L	1/1	chr13L-1	G2	chr2L-1	G1	2700	3578	6278	43.0	E-chr2L-1	1st Y' Change	chr2L	donor_transfer	chr2L[1]:E-chr2L-1	98.37%	96.55%	+1.82	94.48%	97.56%	+3.08	3883	97.12%	strong	mid-Y' recombination (both halves favour the right reference)	end
6991	6991_day0_reference	SRR33298378.240117	chr14R	1/1	chr14R-1	G10	chr5L-1	G12	1725	5163	6888	25.0	E-chr5L-1	1st Y' Change	chr5L	donor_transfer	chr5L[1]:E-chr5L-1	98.36%	90.09%	+8.27	94.66%	98.30%	+3.64	2842	96.23%	strong	mid-Y' recombination (both halves favour the right reference)	end
6991	6991_day0_reference	SRR33298378.306956	chr14R	1/1	chr14R-1	G10	chr15R-1	G8	1430	5550	6980	20.5	E-chr15R-1	1st Y' Change	chr15R	donor_transfer	chr15R[1]:E-chr15R-1	98.50%	94.56%	+3.94	95.80%	99.21%	+3.41	4978	96.50%	strong	mid-Y' recombination (both halves favour the right reference)	beginning
6991	6991_day0_reference	SRR33298378.305547	chr16L	1/1	chr16L-1	G8	chr5L-1	G12	900	5945	6845	13.1	E-chr5L-1	1st Y' Change	chr5L	donor_transfer	chr5L[1]:E-chr5L-1	98.20%	90.88%	+7.32	94.99%	99.01%	+4.02	2925	95.93%	strong	mid-Y' recombination (both halves favour the right reference)	end
6991	6991_day0_reference	SRR33298378.400808	chr16R	1/1	chr16R-1	G6	chr14L-5	G2	2175	3353	5528	39.3	E-chr14L-5	1st Y' Change	chr14L	donor_transfer	chr14L[5]:E-chr14L-5	97.99%	96.39%	+1.60	94.40%	97.30%	+2.90	3588	98.55%	strong	mid-Y' recombination (both halves favour the right reference)	end
6991	6991_day0_reference	SRR33298378.334381	chr5L	1/1	chr5L-1	G12	chr5R-1	G9	1858	4875	6733	27.6	E-chr5R-1	1st Y' Change	chr5R	donor_transfer	chr5R[1]:E-chr5R-1	96.13%	93.55%	+2.58	93.48%	97.28%	+3.80	2925	95.97%	strong	mid-Y' recombination (both halves favour the right reference)	beginning
6991	6991_day0_reference	SRR33298378.151924	chr6L	1/1	chr6L-1	G1	chr14L-5	G2	2477	3375	5852	42.3	E-chr14L-5	1st Y' Change	chr14L	donor_transfer	chr14L[5]:E-chr14L-5	98.95%	96.76%	+2.19	95.07%	98.56%	+3.49	3884	97.35%	strong	mid-Y' recombination (both halves favour the right reference)	beginning
6991	6991_day0_reference	SRR33298378.95349	chr6L	1/1	chr6L-1	G1	chr13L-1	G2	2175	3506	5681	38.3	E-chr13L-1	1st Y' Change	chr13L	donor_transfer	chr13L[1]:E-chr13L-1	99.24%	97.61%	+1.63	95.74%	98.96%	+3.22	3884	97.27%	strong	mid-Y' recombination (both halves favour the right reference)	end
6991	6991_day0_reference	SRR33298378.180346	chr6L	1/1	chr6L-1	G1	chr14L-5	G2	2250	3402	5652	39.8	E-chr14L-5	1st Y' Change	chr14L	donor_transfer	chr14L[5]:E-chr14L-5	98.99%	96.75%	+2.24	95.79%	98.72%	+2.93	3884	97.35%	strong	mid-Y' recombination (both halves favour the right reference)	end
6991	6991_day0_reference	SRR33298378.296817	chr6L	1/1	chr6L-1	G1	chr14L-5	G2	2994	2775	5769	51.9	E-chr14L-5	1st Y' Change	chr14L	donor_transfer	chr14L[5]:E-chr14L-5	98.95%	97.03%	+1.92	96.53%	99.56%	+3.03	3884	97.35%	strong	mid-Y' recombination (both halves favour the right reference)	beginning
6991	6991_day0_reference_promethion	SRR33298377.267122	chr13L	1/1	chr13L-1	G2	chr2L-1	G1	1183	5175	6358	18.6	E-chr2L-1	1st Y' Change	chr2L	donor_transfer	chr2L[1]:E-chr2L-1	97.50%	93.10%	+4.40	94.49%	96.56%	+2.07	3883	97.12%	strong	mid-Y' recombination (both halves favour the right reference)	beginning
6991	6991_day0_reference_promethion	SRR33298377.125819	chr13L	1/1	chr13L-1	G2	chr2L-1	G1	1200	5095	6295	19.1	E-chr2L-1	1st Y' Change	chr2L	donor_transfer	chr2L[1]:E-chr2L-1	98.61%	93.90%	+4.71	94.64%	96.83%	+2.19	3883	97.12%	strong	mid-Y' recombination (both halves favour the right reference)	end
6991	6991_day0_reference_promethion	SRR33298377.534605	chr16R	1/1	chr16R-1	G6	chr13L-1	G2	2175	3376	5551	39.2	E-chr13L-1	1st Y' Change	chr13L	donor_transfer	chr13L[1]:E-chr13L-1	98.44%	96.94%	+1.50	94.75%	97.73%	+2.98	3588	98.61%	strong	mid-Y' recombination (both halves favour the right reference)	end
6991	6991_day0_with_selection	SRR33298395.1154314	chr10L	1/1	chr10L-1	G7	chr16L-1	G8	2057	4950	7007	29.4	E-chr16L-1	1st Y' Change	chr16L	donor_transfer	chr16L[1]:E-chr16L-1	92.33%	90.32%	+2.01	90.91%	94.31%	+3.40	5010	97.13%	strong	mid-Y' recombination (both halves favour the right reference)	beginning
6991	6991_day0_with_selection	SRR33298395.850311	chr10L	1/1	chr10L-1	G7	chr16L-1	G8	2035	4950	6985	29.1	E-chr16L-1	1st Y' Change	chr16L	donor_transfer	chr16L[1]:E-chr16L-1	98.90%	96.76%	+2.14	96.31%	99.42%	+3.11	5010	97.13%	strong	mid-Y' recombination (both halves favour the right reference)	beginning
6991	6991_day0_with_selection	SRR33298395.1509441	chr10L	1/1	chr10L-1	G7	chr7R-1	G8	4425	2483	6908	64.1	E-chr7R-1	1st Y' Change	chr7R	donor_transfer	chr7R[1]:E-chr7R-1	99.48%	97.93%	+1.55	95.10%	99.75%	+4.65	5010	97.15%	strong	mid-Y' recombination (both halves favour the right reference)	end
6991	6991_day0_with_selection	SRR33298395.1158890	chr10L	1/1	chr10L-1	G7	chr13L-1	G2	1236	4500	5736	21.5	E-chr13L-1	1st Y' Change	chr13L	donor_transfer	chr13L[1]:E-chr13L-1	99.80%	95.56%	+4.24	95.10%	99.01%	+3.91	2058	95.67%	strong	mid-Y' recombination (both halves favour the right reference)	beginning
6991	6991_day0_with_selection	SRR33298395.1438229	chr13L	1/1	chr13L-1	G2	chr2L-1	G1	2704	3675	6379	42.4	E-chr2L-1	1st Y' Change	chr6L	subtelomere_switch	chr2L[1]:E-chr2L-1	99.68%	97.86%	+1.82	96.27%	99.26%	+2.99	3883	97.12%	strong	mid-Y' recombination (both halves favour the right reference)	beginning
6991	6991_day0_with_selection	SRR33298395.1400154	chr13L	1/1	chr13L-1	G2	chr2L-1	G1	3900	2475	6375	61.2	E-chr2L-1	1st Y' Change	chr2L	donor_transfer	chr2L[1]:E-chr2L-1	99.51%	97.37%	+2.14	96.51%	99.66%	+3.15	3883	97.12%	strong	mid-Y' recombination (both halves favour the right reference)	beginning
