expected_element	donor_element	expected_len	donor_len	n_blocks	total_homologous_bp	longest_block_bp	longest_block_identity	longest_block_in_expected	longest_block_in_donor	usable_for_crossover
chr12L-1	chr2L-1	5191	5975	2	5512	3473	97.98%	119-3580	387-3858	yes
chr12L-1	chr16R-1	5191	5302	2	5620	3589	98.41%	2-3580	1-3583	yes
chr12L-1	chr13L-1	5191	5482	1	5188	5188	99.17%	2-5186	295-5478	yes
chr13L-1	chr9L-1	5482	6870	3	5708	2058	95.58%	1826-3859	2945-5002	yes
chr13L-1	chr10L-1	5482	6869	3	5708	2058	95.67%	1826-3859	2944-5001	yes
chr13L-1	chr2L-1	5482	5975	2	5916	3883	97.12%	1-3870	3-3858	yes
chr14R-1	chr9L-1	6530	6870	2	6840	4903	97.88%	48-4926	3-4905	yes
chr14R-1	chr5L-1	6530	6480	3	5319	2842	96.23%	2105-4926	1777-4616	yes
chr14R-1	chr15R-1	6530	6650	2	6925	4978	96.50%	1-4926	2-4966	yes
chr15R-1	chr13L-1	6650	5482	2	5307	3656	99.56%	2994-6646	1826-5480	yes
chr16L-1	chr10L-1	6653	6869	2	7048	5010	97.13%	49-5032	3-5001	yes
chr16L-1	chr5L-1	6653	6480	3	5484	2925	95.93%	2138-5043	1777-4688	yes
chr16R-1	chr14L-5	5302	5485	2	5624	3588	98.55%	1-3583	295-3871	yes
chr2L-1	chr14L-5	5975	5485	2	5922	3883	97.24%	3-3858	1-3871	yes
chr2L-1	chr8R-1	5975	5469	2	5889	3855	99.14%	4-3858	1-3855	yes
chr5L-1	chr5R-1	6480	6693	4	6723	2925	95.97%	1777-4688	2176-5081	yes
chr5L-1	chr12R-1	6480	6483	2	6751	4718	97.05%	1-4688	174-4872	yes
chr6L-1	chr14L-5	5975	5485	2	5923	3884	97.35%	1-3858	1-3871	yes
chr6L-1	chr13L-1	5975	5482	2	5917	3884	97.27%	1-3858	1-3870	yes
chr8L-1	chr2L-1	5058	5975	2	5497	3457	97.37%	1-3445	419-3858	yes
chr8R-1	chr2L-1	5469	5975	2	5889	3855	99.14%	1-3855	4-3858	yes
