sample	read_id	chr_end	true_element	matched_element	verdict	pattern
6991_day0	SRR33298461.57209	chr10L	E-chr10L-1	E-chr7R-1	RECOMBINANT	.BBBBBB-B-BBBB-------AA------AAAAAAAAA---AA..
6991_day0	SRR33298461.44252	chr13L	E-chr13L-1	E-chr2L-1	RECOMBINANT	.------B---ABB-B------------AA----AAA-.
6991_day0	SRR33298461.168936	chr14L	E-chr14L-5	E-chr4R-6	RECOMBINANT	.................-.......................-.....B......-...--...................A-....-...................A........--------......---------BBBBBBBBBBB-----------------------.
6991_day0	SRR33298461.181020	chr6L	E-chr6L-1	E-chr13L-1	RECOMBINANT	.BBB----B--BBB-----------------AAA--.
6991_day0_TeloTag	SRR33298460.150620	chr13L	E-chr13L-1	E-chr8R-1	single	.-----------AA---....-A---AA----AAA-.
6991_day0_TeloTag	SRR33298460.274149	chr14R	E-chr14R-1	E-chr14L-1	RECOMBINANT	.BB----BB-BBBBB------AA-A----AAAAAAAAAA---AA.
6991_day0_TeloTag	SRR33298460.568401	chr14R	E-chr14R-1	E-chr14L-1	RECOMBINANT	.AAAA--AAAAAAAAA----AAAA------BBBBB-BB-B---B.
6991_day0_TeloTag	SRR33298460.108378	chr14R	E-chr14R-1	E-chr13L-1	RECOMBINANT	.AA-BB---BBBBB-B--B----BBBB--BB-BBBBB
6991_day0_TeloTag	SRR33298460.275124	chr16R	E-chr16R-1	E-chr13L-1	single	.AAAA------------------AA........
6991_day0_TeloTag	SRR33298460.128649	chr7R	E-chr7R-1	E-chr5R-1	single	.----------------------------------BBB-BBB-A..
6991_day0_TeloTag_with_selection	SRR33298434.76895	chr13L	E-chr13L-1	E-chr15R-1	single	.B-BB-------------------BBBBBBBBBB----------.
6991_day0_TeloTag_with_selection	SRR33298434.530414	chr14L	E-chr14L-1	E-chr12R-1	mixed	.ABB-------AA-----------...A----A-AA...-BB-------AA-----------..AA----AAAA..A-BB------AA------------..A-A--AAAAA..A-B-------AA----------------AAA--AA---AAAAA..A-AA--AA--AA----------------AAA.AAAAA-AAAA..
6991_day0_TeloTag_with_selection	SRR33298434.79614	chr16L	E-chr16L-1	E-chr12R-1	single	.AAA-A-AAAAA-A.----------------AA-------A-A.
6991_day0_TeloTag_with_selection	SRR33298434.378016	chr16R	E-chr16R-1	E-chr14L-5	RECOMBINANT	.-AA------BBB------------------AAA.
6991_day0_TeloTag_with_selection	SRR33298434.64148	chr16R	E-chr16R-1	E-chr14L-3	RECOMBINANT	.AAA-------------------BB------AA-.
6991_day0_TeloTag_with_selection	SRR33298434.94939	chr2L	E-chr2L-1	E-chr16L-1	RECOMBINANT	.BBB----B--BBB----------BBBBBBBBBB----AAAA-..
6991_day0_TeloTag_with_selection	SRR33298434.226995	chr5L	E-chr5L-1	E-chr12R-1	RECOMBINANT	.A--BB-----BBBB--A---------A--------A--A-A.
6991_day0_TeloTag_with_selection	SRR33298434.116145	chr5L	E-chr5L-1	E-chr12R-1	RECOMBINANT	.A----A--------A--AA---AA---BBB------BB--A.
6991_day0_TeloTag_with_selection	SRR33298434.164214	chr7R	E-chr7R-1	E-chr14R-1	RECOMBINANT	.BBBBB--BB-BBBB------AAAA----AAAAAAA-AA---AA.
