strain	sample	read_id	chr_end	copy	expected_element	expected_group	donor_element	donor_group	program_assigned_yprime	program_status	program_source	program_mechanism	program_path	anchorHalf_vs_expected	anchorHalf_vs_donor	anchor_margin	teloHalf_vs_expected	teloHalf_vs_donor	telo_margin	pair_longest_homology_bp	pair_homology_identity	evidence	explanation	telo_side
7302	7302_day0_with_selection	SRR33298452.246202	chr14R	1/1	chr14R-1	G10	chr14L-1	G8	E-chr14L-1	1st Y' Change	chr14L	donor_transfer	chr14L[1]:E-chr14L-1	99.71%	97.36%	+2.35	95.48%	99.27%	+3.79	4973	96.70%	strong	mid-Y' recombination (both halves favour the right reference)	beginning
7302	7302_day0_with_selection	SRR33298452.217955	chr14R	1/1	chr14R-1	G10	chr14L-1	G8	E-chr14L-1	1st Y' Change	chr14L	donor_transfer	chr14L[1]:E-chr14L-1	99.34%	96.40%	+2.94	96.07%	99.61%	+3.54	4973	96.70%	strong	mid-Y' recombination (both halves favour the right reference)	end
7302	7302_day0_with_selection	SRR33298452.241882	chr5R	1/1	chr5R-1	G9	chr14R-1	G10	E-chr14R-1	1st Y' Change	chr14R	donor_transfer	chr14R[1]:E-chr14R-1	99.35%	95.32%	+4.03	96.45%	99.55%	+3.10	4962	96.41%	strong	mid-Y' recombination (both halves favour the right reference)	end
7302	7302_day0_with_selection	SRR33298452.485661	chr6L	1/1	chr6L-1	G1	chr16L-1	G8	E-chr16L-1	1st Y' Change	chr16L	donor_transfer	chr16L[1]:E-chr16L-1	99.48%	97.05%	+2.43	97.22%	99.82%	+2.60	2047	97.36%	strong	mid-Y' recombination (both halves favour the right reference)	beginning
7302	7302_day0_with_selection	SRR33298452.419935	chr6L	1/1	chr6L-1	G1	chr14R-1	G10	E-chr14R-1	1st Y' Change	chr14R	donor_transfer	chr14R[1]:E-chr14R-1	99.77%	95.50%	+4.27	95.78%	99.27%	+3.49	1963	96.23%	strong	mid-Y' recombination (both halves favour the right reference)	end
7302	7302_day0_with_selection	SRR33298452.400002	chr6L	1/1	chr6L-1	G1	chr14L-5	G2	E-chr14L-5	1st Y' Change	chr14L	donor_transfer	chr14L[5]:E-chr14L-5	99.86%	97.62%	+2.24	96.72%	99.55%	+2.83	3884	97.35%	strong	mid-Y' recombination (both halves favour the right reference)	beginning
7302	7302_day0_with_selection	SRR33298452.272227	chr6L	1/1	chr6L-1	G1	chr14L-5	G2	E-chr14L-5	1st Y' Change	chr14L	donor_transfer	chr14L[5]:E-chr14L-5	99.04%	96.79%	+2.25	95.39%	98.15%	+2.76	3884	97.35%	strong	mid-Y' recombination (both halves favour the right reference)	end
7302	7302_day0_with_selection	SRR33298452.220014	chr6L	1/1	chr6L-1	G1	chr8R-1	G3	E-chr8R-1	1st Y' Change	chr8R	donor_transfer	chr8R[1]:E-chr8R-1	96.92%	94.83%	+2.09	95.79%	98.16%	+2.37	3864	97.67%	strong	mid-Y' recombination (both halves favour the right reference)	beginning
7302	7302_day0_with_selection	SRR33298452.573441	chr10L	1/1	chr10L-1	G7	chr14R-1	G10	E-chr14R-1	1st Y' Change	chr14R	donor_transfer	chr14R[1]:E-chr14R-1	99.55%	98.33%	+1.22	97.68%	99.67%	+1.99	4902	97.63%	weak	mid-Y' recombination (correct direction, margins < 1.5 %)	end
7302	7302_day0_with_selection	SRR33298452.427945	chr6L	1/1	chr6L-1	G1	chr14L-5	G2	E-chr14L-5	1st Y' Change	chr14L	donor_transfer	chr14L[5]:E-chr14L-5	97.58%	96.94%	+0.64	98.42%	99.41%	+0.99	3884	97.35%	weak	mid-Y' recombination (correct direction, margins < 1.5 %)	beginning
7302	7302_day0_with_selection	SRR33298452.400093	chr6L	1/1	chr6L-1	G1	chr14L-5	G2	E-chr14L-5	1st Y' Change	chr14L	donor_transfer	chr14L[5]:E-chr14L-5	95.08%	92.99%	+2.09	93.96%	95.30%	+1.34	3884	97.35%	weak	mid-Y' recombination (correct direction, margins < 1.5 %)	end
7302	7302_day0_with_selection	SRR33298452.485827	chr5R	1/1	chr5R-1	G9	chr10L-1	G7	E-chr10L-1	1st Y' Change	chr10L	donor_transfer	chr10L[1]:E-chr10L-1	98.86%	96.85%	+2.01	96.28%	92.34%	-3.94	4999	96.86%	FAILS	not supported: no half is better explained by the donor	end
7302	7302_day0_with_selection	SRR33298452.59861	chr2L	1/1	chr2L-1	G1	chr8R-1	G3	E-chr8R-1	1st Y' Change	chr8R	donor_transfer	chr8R[1]:E-chr8R-1							3855	99.14%	no junction	no junction found; donor wins across the element or signal too weak	end
7302	7302_day0_with_selection	SRR33298452.555243	chr8R	1/1	chr8R-1	G3	chr2L-1	G1	E-chr2L-1	1st Y' Change	chr2L	donor_transfer	chr2L[1]:E-chr2L-1							3855	99.14%	no junction	no junction found; donor wins across the element or signal too weak	beginning
