sample	read_id	chr_end	copy_index	n_copies	true_element	true_group	matched_element	matched_group	donor_end	same_end	telo_side	read_length	yp_start	yp_end
6991_day0_reference_promethion	SRR33298377.260642	chr13L	1	1	E-chr13L-1	G2	E-chr6L-1	G1	chr6L	False	beginning	16495	199	6163
6991_day0_reference_promethion	SRR33298377.267122	chr13L	1	1	E-chr13L-1	G2	E-chr2L-1	G1	chr2L	False	beginning	16422	162	6158
6991_day0_reference_promethion	SRR33298377.272313	chr13L	1	1	E-chr13L-1	G2	E-chr6L-1	G1	chr6L	False	end	16414	10312	16278
6991_day0_reference_promethion	SRR33298377.125819	chr13L	1	1	E-chr13L-1	G2	E-chr2L-1	G1	chr2L	False	end	16408	10300	16265
6991_day0_reference_promethion	SRR33298377.726683	chr14R	1	1	E-chr14R-1	G10	E-chr9L-1	G7	chr9L	False	end	15917	9210	15799
6991_day0_reference_promethion	SRR33298377.93825	chr14R	1	1	E-chr14R-1	G10	E-chr2L-1	G1	chr2L	False	end	12497	6418	12382
6991_day0_reference_promethion	SRR33298377.644709	chr16R	1	1	E-chr16R-1	G6	E-chr13L-1	G2	chr13L	False	beginning	11736	195	5378
6991_day0_reference_promethion	SRR33298377.534605	chr16R	1	1	E-chr16R-1	G6	E-chr13L-1	G2	chr13L	False	end	11702	6351	11527
6991_day0_reference_promethion	SRR33298377.541858	chr2L	1	1	E-chr2L-1	G1	E-chr8R-1	G3	chr8R	False	end	15385	9744	15272
6991_day0_reference_promethion	SRR33298377.75463	chr5R	1	1	E-chr5R-1	G9	E-chr9L-1	G7	chr9L	False	end	14277	7278	14117
6991_day0_reference_promethion	SRR33298377.763070	chr8L	1	1	E-chr8L-1	G5	E-chr13L-1	G2	chr13L	False	beginning	11049	229	5257
6991_day0_reference_promethion	SRR33298377.221175	chr8R	1	1	E-chr8R-1	G3	E-chr14L-5	G2	chr14L	False	end	40813	35255	40707
