chr_end	n_reads	ref_yprimes	n_loss	pct_loss	real_contraction	rm_miss	unconfirmed_end	other	pct_real	pct_rm_miss	rm_miss_flag
chr1L	428	0	0	0.0	0	0	0	0	0.0	0.0	
chr1R	213	0	0	0.0	0	0	0	0	0.0	0.0	
chr2L	424	1	1	0.2	0	0	1	0	0.0	0.0	
chr2R	507	0	0	0.0	0	0	0	0	0.0	0.0	
chr3L	627	0	0	0.0	0	0	0	0	0.0	0.0	
chr3R	628	0	0	0.0	0	0	0	0	0.0	0.0	
chr4L	273	0	0	0.0	0	0	0	0	0.0	0.0	
chr4R	113	7	13	11.5	11	0	2	0	84.6	0.0	
chr5L	609	1	0	0.0	0	0	0	0	0.0	0.0	
chr5R	582	1	1	0.2	0	0	1	0	0.0	0.0	
chr6L	595	1	13	2.2	9	0	4	0	69.2	0.0	
chr6R	817	0	0	0.0	0	0	0	0	0.0	0.0	
chr7L	557	0	0	0.0	0	0	0	0	0.0	0.0	
chr7R	418	1	0	0.0	0	0	0	0	0.0	0.0	
chr8L	600	1	0	0.0	0	0	0	0	0.0	0.0	
chr8R	228	1	1	0.4	0	0	1	0	0.0	0.0	
chr9L	371	1	0	0.0	0	0	0	0	0.0	0.0	
chr9R	639	0	0	0.0	0	0	0	0	0.0	0.0	
chr10L	359	1	0	0.0	0	0	0	0	0.0	0.0	
chr10R	395	0	0	0.0	0	0	0	0	0.0	0.0	
chr11L	436	0	0	0.0	0	0	0	0	0.0	0.0	
chr11R	519	0	0	0.0	0	0	0	0	0.0	0.0	
chr12L	513	1	1	0.2	1	0	0	0	100.0	0.0	
chr12R	123	6	8	6.5	8	0	0	0	100.0	0.0	
chr13L	292	4	12	4.1	7	0	5	0	58.3	0.0	
chr13R	432	0	0	0.0	0	0	0	0	0.0	0.0	
chr14L	133	5	13	9.8	13	0	0	0	100.0	0.0	
chr14R	536	1	1	0.2	1	0	0	0	100.0	0.0	
chr15L	533	0	0	0.0	0	0	0	0	0.0	0.0	
chr15R	363	1	0	0.0	0	0	0	0	0.0	0.0	
chr16L	349	1	0	0.0	0	0	0	0	0.0	0.0	
chr16R	590	1	0	0.0	0	0	0	0	0.0	0.0	
