chr_end	donor	unit	repeats	support	read_id	path	source
chr11L	chr13L[1-4]	ID7,ID2,ID7,ID2	1.2	strong	SRR33298447.490537	chr13L[1-4]:ID7,ID2,ID7,ID2,ID7(circ x1.2 strong) > chr14L[3]:ID3,ID3,ID3,ID3,ID3,ID3(circ x6.0 strong)	chr13L
chr11L	chr14L[3]	ID3	6.0	strong	SRR33298447.490537	chr13L[1-4]:ID7,ID2,ID7,ID2,ID7(circ x1.2 strong) > chr14L[3]:ID3,ID3,ID3,ID3,ID3,ID3(circ x6.0 strong)	chr13L
chr11R	chr13L[1-3]	ID7,ID2,ID7	1.7	strong	SRR33298447.268817	chr13L[1-3]:ID7,ID2,ID7,ID7,ID2(circ x1.7 strong) > chr12R|chr13L|chr14L|chr15R|chr4R:ID2	chr13L
chr12L	chr12R|chr13L|chr14L|chr4R	ID2	9.0	na	SRR33298447.254996	chr12R|chr13L|chr14L|chr4R:ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2(circ x9.0)	chr4R
chr12L	chr13L[2-3]	ID2,ID7	1.5	moderate	SRR33298447.28086	chr13L[2-3]:ID2,ID7,ID2(circ x1.5 moderate | alt chr13L[2-3] + chr13L[2])	chr13L
chr12R	self[2-4]	ID2,ID2,ID2	1.3	moderate	SRR33298447.133475	chr13L?[2]:ID2 > self[2-4]:ID2,ID2,ID2,ID2(circ x1.3 moderate | alt chr12R[2] + chr12R[2-4])	chr12R
chr12R	self[2-5]	ID2,ID2,ID2,ID2	1.2	moderate	SRR33298447.230089	self[2-5]:ID2,ID2,ID2,ID2,ID2(circ x1.2 moderate | alt chr12R[2-5] + chr12R[2])	chr12R
chr12R	self[2-4]	ID2,ID2,ID2	1.3	moderate	SRR33298447.484056	self[2-4]:ID2,ID2,ID2,ID2(circ x1.3 moderate | alt chr12R[2] + chr12R[2-4])	chr12R
chr13L	self[1-2]	ID2,ID7	3.5	strong	SRR33298447.234153	self[1]:ID7 > self[1-2]:ID2,ID7,ID2,ID7,ID2,ID7,ID2(circ x3.5 strong) > self[2-3]:ID2,ID7	chr13L
chr13L	self[2-4]	ID2,ID2,ID7	1.3	moderate	SRR33298447.285573	self[1-2]:ID7,ID2 > self[2-4]:ID2,ID2,ID7,ID2(circ x1.3 moderate | alt chr13L[2] + chr13L[2-4])	chr13L
chr13L	self[1-3]	ID7,ID7,ID2	1.3	moderate	SRR33298447.28156	self[1-3]:ID7,ID7,ID2,ID7(circ x1.3 moderate | alt chr13L[1] + chr13L[1-3])	chr13L
chr13R	chr4R[3-5]	ID2,ID2,ID2	1.7	moderate	SRR33298447.230163	chr4R[1-3]:ID2,ID2,ID2 > chr4R[3-5]:ID2,ID2,ID2,ID2,ID2(circ x1.7 moderate | alt chr4R[1] + chr4R[3-6]) > chr14L|chr16L|chr7R:ID5 > chr12R|chr13L|chr14L|chr15R|chr4R:ID2	chr14L
chr13R	chr4R[2-4]	ID2,ID2,ID2	1.3	moderate	SRR33298447.247443	chr4R[1-5]:ID2,ID2,ID2,ID2,ID2 > chr4R[2-4]:ID2,ID2,ID2,ID2(circ x1.3 moderate | alt chr4R[1-2] + chr4R[1-2])	chr4R
chr14L	self[2-4]	ID2,ID3,ID3	1.3	moderate	SRR33298447.14392	self[1-5]:ID5,ID2,ID3,ID3,ID3 > self[2-4]:ID2,ID3,ID3,ID2(circ x1.3 moderate | alt chr14L[2-4] + chr14L[2])	chr14L
chr14L	self[3]	ID3	4.0	moderate	SRR33298447.138740	self[3]:ID3,ID3,ID3,ID3(circ x4.0 moderate | alt chr14L[3-5] + chr14L[3])	chr14L
chr14R	chr4R[2-5]	ID2,ID2,ID2,ID2	1.2	moderate	SRR33298447.490698	chr4R[2-5]:ID2,ID2,ID2,ID2,ID2(circ x1.2 moderate | alt chr4R[1] + chr4R[2-5])	chr4R
chr14R	chr13L[1-2]	ID2,ID7	2.0	moderate	SRR33298447.85642	chr13L[1-2]:ID2,ID7,ID2,ID7(circ x2.0 moderate | alt chr13L[2-4] + chr13L[1])	chr13L
chr15R	chr13L[1-2]	ID7,ID2	2.0	weak	SRR33298447.151294	chr13L[1-2]:ID7,ID2,ID7,ID2(circ x2.0 weak | alt chr13L[1-4]) > self[1]:ID2	chr13L
chr15R	chr12R|chr4R	ID2,ID2	1.5	na	SRR33298447.62578	chr12R|chr4R:ID2,ID2,ID2(circ x1.5)	chr12R
chr16L	chr14L[1-2]	ID2,ID5	1.5	moderate	SRR33298447.342521	chr14L[1-2]:ID2,ID5,ID2(circ x1.5 moderate | alt chr14L[2] + chr14L[1-2])	chr14L
chr16R	chr4R[1-5]	ID2,ID2,ID2,ID2,ID2	1.2	moderate	SRR33298447.340905	chr4R[1-5]:ID2,ID2,ID2,ID2,ID2,ID2(circ x1.2 moderate | alt chr4R[3-7] + chr4R[1])	chr4R
chr16R	chr12R[2-3]	ID2,ID2	1.5	moderate	SRR33298447.502469	chr12R[2-3]:ID2,ID2,ID2(circ x1.5 moderate | alt chr12R[2] + chr12R[2-3]) > chr14L[3]:ID3 > chr12R|chr13L|chr14L|chr15R|chr4R:ID2	chr14L
chr16R	chr14L[3]	ID3	3.0	weak	SRR33298447.483779	chr14L[3]:ID3,ID3,ID3(circ x3.0 weak | alt chr14L[3-5]) > chr12R|chr13L|chr14L|chr15R|chr4R:ID2	chr14L
