dataset	recipient_end	recipient_total	donor_group	donor_group_members	donor_group_ends	count	pct_of_recipient
6991_day0	chr10L	1	G8	chr12R-2;chr12R-3;chr12R-4;chr12R-5;chr12R-6;chr12R-7;chr14L-1;chr14L-2;chr15R-1;chr16L-1;chr4R-1;chr4R-2;chr4R-3;chr4R-4;chr4R-5;chr4R-6;chr4R-7;chr7R-1	chr12R;chr14L;chr15R;chr16L;chr4R;chr7R	1	100.0
6991_day0	chr6L	1	G2	chr13L-1;chr14L-3;chr14L-4;chr14L-5	chr13L;chr14L	1	100.0
6991_day0	chr13L	1	G1	chr2L-1;chr6L-1	chr2L;chr6L	1	100.0
6991_day0	chr14L	1	G8	chr12R-2;chr12R-3;chr12R-4;chr12R-5;chr12R-6;chr12R-7;chr14L-1;chr14L-2;chr15R-1;chr16L-1;chr4R-1;chr4R-2;chr4R-3;chr4R-4;chr4R-5;chr4R-6;chr4R-7;chr7R-1	chr12R;chr14L;chr15R;chr16L;chr4R;chr7R	1	100.0
6991_day0_TeloTag	chr14R	3	G9	chr14L-1;chr16L-1;chr7R-1	chr14L;chr16L;chr7R	2	66.7
6991_day0_TeloTag	chr14R	3	G2	chr13L-1;chr14L-3;chr14L-4;chr14L-5	chr13L;chr14L	1	33.3
6991_day0_TeloTag	chr7R	1	G10	chr5R-1	chr5R	1	100.0
6991_day0_TeloTag	chr13L	1	G3	chr8R-1	chr8R	1	100.0
6991_day0_TeloTag	chr16R	1	G2	chr13L-1;chr14L-3;chr14L-4;chr14L-5	chr13L;chr14L	1	100.0
6991_day0_TeloTag_with_selection	chr2L	1	G8	chr12R-2;chr12R-3;chr12R-4;chr12R-5;chr12R-6;chr12R-7;chr14L-1;chr14L-2;chr15R-1;chr16L-1;chr4R-1;chr4R-2;chr4R-3;chr4R-4;chr4R-5;chr4R-6;chr4R-7;chr7R-1	chr12R;chr14L;chr15R;chr16L;chr4R;chr7R	1	100.0
6991_day0_TeloTag_with_selection	chr5L	2	G11	chr12R-1	chr12R	2	100.0
6991_day0_TeloTag_with_selection	chr7R	1	G10	chr14R-1	chr14R	1	100.0
6991_day0_TeloTag_with_selection	chr8R	1	G10	chr14R-1	chr14R	1	100.0
6991_day0_TeloTag_with_selection	chr14L	1	G11	chr12R-1	chr12R	1	100.0
6991_day0_TeloTag_with_selection	chr16R	2	G2	chr13L-1;chr14L-3;chr14L-4;chr14L-5	chr13L;chr14L	2	100.0
6991_day0_TeloTag_with_selection	chr8L	1	G1	chr2L-1;chr6L-1	chr2L;chr6L	1	100.0
6991_day0_TeloTag_with_selection	chr13L	1	G8	chr12R-2;chr12R-3;chr12R-4;chr12R-5;chr12R-6;chr12R-7;chr14L-1;chr14L-2;chr15R-1;chr16L-1;chr4R-1;chr4R-2;chr4R-3;chr4R-4;chr4R-5;chr4R-6;chr4R-7;chr7R-1	chr12R;chr14L;chr15R;chr16L;chr4R;chr7R	1	100.0
6991_day0_TeloTag_with_selection	chr16L	1	G11	chr12R-1	chr12R	1	100.0
6991_day0_reference	chr13L	4	G1	chr2L-1;chr6L-1	chr2L;chr6L	2	50.0
6991_day0_reference	chr13L	4	G7	chr10L-1;chr9L-1	chr10L;chr9L	2	50.0
6991_day0_reference	chr14R	5	G12	chr5L-1	chr5L	1	20.0
6991_day0_reference	chr14R	5	G8	chr12R-2;chr12R-3;chr12R-4;chr12R-5;chr12R-6;chr14L-1;chr14L-2;chr15R-1;chr16L-1;chr4R-1;chr4R-2;chr4R-3;chr4R-4;chr4R-5;chr4R-6;chr4R-7;chr7R-1	chr12R;chr14L;chr15R;chr16L;chr4R;chr7R	1	20.0
6991_day0_reference	chr14R	5	G7	chr10L-1;chr9L-1	chr10L;chr9L	3	60.0
6991_day0_reference	chr16L	2	G12	chr5L-1	chr5L	1	50.0
6991_day0_reference	chr16L	2	G7	chr10L-1;chr9L-1	chr10L;chr9L	1	50.0
6991_day0_reference	chr16R	1	G2	chr13L-1;chr14L-3;chr14L-4;chr14L-5	chr13L;chr14L	1	100.0
6991_day0_reference	chr5L	2	G9	chr5R-1	chr5R	1	50.0
